[4/17/23 11:03AM] Entropy used command ::refer fpk merk | Player rights = PLAYER	
[4/17/23 10:48PM] Entropy used command ::shop | Player rights = CLERIC_DONATOR	
[4/17/23 10:48PM] Entropy used command ::shops | Player rights = CLERIC_DONATOR	
[4/17/23 10:48PM] Entropy used command ::store | Player rights = CLERIC_DONATOR	
[4/17/23 11:11PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:12PM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:22PM] Entropy used command ::skills | Player rights = CLERIC_DONATOR	
[4/17/23 11:22PM] Entropy used command ::skilling | Player rights = CLERIC_DONATOR	
[4/17/23 11:22PM] Entropy used command ::skill | Player rights = CLERIC_DONATOR	
[4/17/23 11:41PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:42PM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:13AM] Entropy used command ::totem | Player rights = CLERIC_DONATOR	
[4/18/23 12:15AM] Entropy used command ::commands | Player rights = CLERIC_DONATOR	
[4/18/23 12:40AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:09AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:37AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:38AM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:38AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:38AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:10AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:39AM] Entropy used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 02:39AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Entropy used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Entropy used command ::reward 2 | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Entropy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Entropy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Entropy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Entropy used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 03:11AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:40AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:42AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:10AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:38AM] Entropy used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 04:40AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:42AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:43AM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:44AM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 09:11AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:14AM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 09:41AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:42AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:11AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:39AM] Entropy used command ::totem | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:42AM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:42AM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 10:43AM] Entropy used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 11:11AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:12AM] Entropy used command ::yell Buying x2 & x3 kc | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:16PM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:40PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:49PM] Entropy used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:11PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:11PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:15PM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 04:15PM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:39PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:41PM] Entropy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:42PM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:42PM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 04:52PM] Entropy used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 04:53PM] Entropy used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 04:55PM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:11PM] Entropy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:30PM] Entropy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:32PM] Entropy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 05:35PM] Entropy used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:42PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:43PM] Entropy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:13PM] Entropy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 06:41PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:43PM] Entropy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 06:43PM] Entropy used command ::store | Player rights = TORMENTED_DONATOR	
[4/18/23 06:45PM] Entropy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 06:58PM] Entropy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 06:58PM] Entropy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 07:11PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:41PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:43PM] Entropy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 07:44PM] Entropy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 08:00PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 08:02PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 08:03PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 08:04PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 08:06PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 08:07PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 08:12PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:24PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 08:31PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 08:40PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:43PM] Entropy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 08:45PM] Entropy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 08:47PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 08:51PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 09:02PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 09:10PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 09:11PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:22PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/18/23 09:41PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:43PM] Entropy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 09:48PM] Entropy used command ::afk | Player rights = TORMENTED_DONATOR	
[4/18/23 11:33PM] Entropy used command ::edge | Player rights = TORMENTED_DONATOR	
[4/18/23 11:34PM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 11:38PM] Entropy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 11:57PM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/19/23 12:01AM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/19/23 12:05AM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:12AM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/19/23 12:16AM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/19/23 12:21AM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/19/23 12:26AM] Entropy used command ::slayer | Player rights = TORMENTED_DONATOR	
[4/19/23 12:29AM] Entropy used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 12:35AM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:43AM] Entropy used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:51AM] Entropy used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:05AM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:10AM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:11AM] Entropy used command ::pos | Player rights = PLAYER	
[4/19/23 08:16AM] Entropy used command ::veigar | Player rights = PLAYER	
[4/19/23 08:46AM] Entropy used command ::veigar | Player rights = PLAYER	
[4/19/23 08:47AM] Entropy used command ::ninetails | Player rights = PLAYER	
[4/19/23 08:49AM] Entropy used command ::veigar | Player rights = PLAYER	
[4/19/23 08:50AM] Entropy used command ::skin | Player rights = PLAYER	
[4/19/23 08:50AM] Entropy used command ::char | Player rights = PLAYER	
[4/19/23 08:50AM] Entropy used command ::character | Player rights = PLAYER	
[4/19/23 08:50AM] Entropy used command ::makeover | Player rights = PLAYER	
[4/19/23 08:50AM] Entropy used command ::commands | Player rights = PLAYER	
[4/19/23 11:41AM] Entropy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 11:42AM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 11:42AM] Entropy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 11:44AM] Entropy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 11:45AM] Entropy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 11:46AM] Entropy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 11:47AM] Entropy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 11:54AM] Entropy used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 11:55AM] Entropy used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/19/23 11:57AM] Entropy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 11:57AM] Entropy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 11:57AM] Entropy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 11:58AM] Entropy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 11:58AM] Entropy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:00PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:01PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:13PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:15PM] Entropy used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:15PM] Entropy used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:17PM] Entropy used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:18PM] Entropy used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:26PM] Entropy used command ::wr3cked | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:33PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:33PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:33PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:43PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:45PM] Entropy used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:11PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:11PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:13PM] Entropy used command ::commands | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:14PM] Entropy used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:15PM] Entropy used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:16PM] Entropy used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:17PM] Entropy used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:33PM] Entropy used command ::yzone | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:34PM] Entropy used command ::yellowzone | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:35PM] Entropy used command ::home | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:35PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:35PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:39PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:43PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:43PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:45PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:46PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:49PM] Entropy used command ::home | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:13PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:13PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:15PM] Entropy used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:27PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:27PM] Entropy used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:34PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:37PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:39PM] Entropy used command ::noble | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:40PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:44PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:46PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:49PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:51PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:54PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:58PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:05PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:08PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:12PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:15PM] Entropy used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:16PM] Entropy used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:17PM] Entropy used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:19PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:21PM] Entropy used command ::home | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:28PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:40PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:42PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:45PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:51PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:51PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:51PM] Entropy used command ::slayer | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:13PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:13PM] Entropy used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:13PM] Entropy used command ::ddr | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:15PM] Entropy used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:21PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:38PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:40PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:43PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:43PM] Entropy used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:43PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:45PM] Entropy used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:48PM] Entropy used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:50PM] Entropy used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:56PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:58PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:01PM] Entropy used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:13PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:15PM] Entropy used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:16PM] Entropy used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:21PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:35PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:42PM] Entropy used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:43PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:45PM] Entropy used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:47PM] Entropy used command ::gamble | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:13PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:15PM] Entropy used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:15PM] Entropy used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:19PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:26PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:34PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:43PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:13PM] Entropy used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:15PM] Entropy used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:20PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:20PM] Entropy used command ::home | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:22PM] Entropy used command ::train | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:27PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:33PM] Entropy used command ::home | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:34PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:38PM] Entropy used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:42PM] Entropy used command ::home | Player rights = MYSTICAL_DONATOR	
