[4/17/23 11:19AM] 2147m used command ::ref | Player rights = PLAYER	
[4/17/23 12:32PM] 2147m used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] 2147m used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] 2147m used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] 2147m used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40PM] 2147m used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:41PM] 2147m used command ::yell buying a weapon of 700k | Player rights = CLERIC_DONATOR	
[4/17/23 12:41PM] 2147m used command ::stats | Player rights = CLERIC_DONATOR	
[4/17/23 12:50PM] 2147m used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] 2147m used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:39PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 03:08PM] 2147m used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 03:11PM] 2147m used command ::voted | Player rights = CLERIC_DONATOR	
[4/17/23 03:11PM] 2147m used command ::voted | Player rights = CLERIC_DONATOR	
[4/17/23 03:11PM] 2147m used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/17/23 03:11PM] 2147m used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 03:14PM] 2147m used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 03:14PM] 2147m used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 03:14PM] 2147m used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 03:32PM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:00AM] 2147m used command ::curses | Player rights = CLERIC_DONATOR	
[4/18/23 10:02AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 10:03AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 10:05AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 10:06AM] 2147m used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 10:09AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 10:11AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 10:11AM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:15AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:51PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:54PM] 2147m used command ::yell sell blood vitur and coll necla 2 | Player rights = CLERIC_DONATOR	
[4/18/23 06:00PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:01PM] 2147m used command ::elo | Player rights = CLERIC_DONATOR	
[4/18/23 06:03PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:03PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:04PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:54AM] 2147m used command ::teleport | Player rights = CLERIC_DONATOR	
[4/22/23 08:54AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:57AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:00AM] 2147m used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 09:00AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:01AM] 2147m used command ::yell sell double dr scroll 1 hour | Player rights = CLERIC_DONATOR	
[4/22/23 09:02AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:02AM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:04AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:06AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:08AM] 2147m used command ::dismiss | Player rights = CLERIC_DONATOR	
[4/22/23 09:08AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 09:13AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:42PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:44PM] 2147m used command ::yell sell double dr scroll 1hr | Player rights = CLERIC_DONATOR	
[4/22/23 12:48PM] 2147m used command ::daily | Player rights = CLERIC_DONATOR	
[4/22/23 12:48PM] 2147m used command ::auth  | Player rights = CLERIC_DONATOR	
[4/22/23 12:49PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:49PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:56PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 10:49AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 10:51AM] 2147m used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:55AM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 11:00AM] 2147m used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 11:04AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:05AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:18AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:19AM] 2147m used command ::ref | Player rights = CLERIC_DONATOR	
[4/23/23 11:21AM] 2147m used command ::ref | Player rights = CLERIC_DONATOR	
[4/23/23 11:26AM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:35AM] 2147m used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 11:41AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:44AM] 2147m used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 11:51AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 11:52AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] 2147m used command ::ninenatails | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] 2147m used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:06PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:08PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:09PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:11PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:13PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:15PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:17PM] 2147m used command ::referral | Player rights = CLERIC_DONATOR	
[4/23/23 12:21PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:27PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:37PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:40PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 12:48PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 08:59AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 09:01AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 09:06AM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 09:07AM] 2147m used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 09:08AM] 2147m used command ::ref | Player rights = CLERIC_DONATOR	
[4/26/23 09:09AM] 2147m used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 09:12AM] 2147m used command ::lano | Player rights = CLERIC_DONATOR	
[4/26/23 09:15AM] 2147m used command ::curses | Player rights = CLERIC_DONATOR	
[4/26/23 09:15AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 09:20AM] 2147m used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 09:23AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 09:24AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 09:26AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 09:26AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 09:31AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 09:31AM] 2147m used command ::lano | Player rights = CLERIC_DONATOR	
[4/26/23 09:33AM] 2147m used command ::yell sell yasuda scythe with 1.5 damage perk 7m my pos | Player rights = CLERIC_DONATOR	
[4/26/23 09:35AM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:48AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 09:51AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 09:51AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 09:53AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 09:54AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 09:55AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 09:58AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 09:59AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:00AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:00AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:01AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:02AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:02AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:05AM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:06AM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 10:07AM] 2147m used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:08AM] 2147m used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:09AM] 2147m used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:09AM] 2147m used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:10AM] 2147m used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 10:11AM] 2147m used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:11AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 10:13AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:14AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:19AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 10:19AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 10:21AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:22AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 10:23AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 10:24AM] 2147m used command ::lano | Player rights = CLERIC_DONATOR	
[4/26/23 10:25AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 10:30AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 10:30AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 10:34AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:35AM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 10:36AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:41AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:41AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:44AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:47AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:48AM] 2147m used command ::slayer | Player rights = CLERIC_DONATOR	
[4/26/23 10:48AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 10:51AM] 2147m used command ::Yell buy aoe 6x6 for aoe 3x3/9m :d | Player rights = CLERIC_DONATOR	
[4/26/23 10:51AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 11:05AM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 11:06AM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 11:07AM] 2147m used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 11:08AM] 2147m used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 11:53AM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:03PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:05PM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 12:05PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:06PM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 12:07PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:07PM] 2147m used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 12:10PM] 2147m used command ::yell buy fazula staff | Player rights = CLERIC_DONATOR	
[4/26/23 12:12PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:13PM] 2147m used command ::yell buy fazula staff | Player rights = CLERIC_DONATOR	
[4/26/23 12:13PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:16PM] 2147m used command ::yell buy fazula staff | Player rights = CLERIC_DONATOR	
[4/26/23 12:30PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:31PM] 2147m used command ::yell buy fazula staff | Player rights = CLERIC_DONATOR	
[4/26/23 12:37PM] 2147m used command ::yell buy fazula staff | Player rights = CLERIC_DONATOR	
[4/26/23 12:37PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:42PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:43PM] 2147m used command ::yell buy fazula staff | Player rights = CLERIC_DONATOR	
[4/26/23 12:44PM] 2147m used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 12:44PM] 2147m used command ::yell buy fazula staff or bow!! | Player rights = CLERIC_DONATOR	
[4/26/23 12:45PM] 2147m used command ::yell buy fazula staff or bow cash+$ | Player rights = CLERIC_DONATOR	
[4/26/23 12:46PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:55PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 12:56PM] 2147m used command ::yell buy fazula staff | Player rights = CLERIC_DONATOR	
[4/26/23 01:00PM] 2147m used command ::yell buy fazula staff bow or book | Player rights = CLERIC_DONATOR	
[4/26/23 01:05PM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:06PM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 01:06PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 01:06PM] 2147m used command ::yell buy fazula staff bow or book | Player rights = CLERIC_DONATOR	
[4/26/23 01:07PM] 2147m used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 01:07PM] 2147m used command ::Yell buy fazula staff or book pm me  | Player rights = CLERIC_DONATOR	
[4/26/23 01:12PM] 2147m used command ::yell buy fazula staff or book | Player rights = CLERIC_DONATOR	
[4/26/23 01:13PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 01:17PM] 2147m used command ::yell buy fazula book or staff | Player rights = CLERIC_DONATOR	
[4/26/23 01:20PM] 2147m used command ::Yell buy fazula book or staff | Player rights = CLERIC_DONATOR	
[4/26/23 01:23PM] 2147m used command ::Yell buy fazula book | Player rights = CLERIC_DONATOR	
[4/26/23 01:55PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 01:55PM] 2147m used command ::yell buy fazula staff or book | Player rights = CLERIC_DONATOR	
[4/26/23 02:05PM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 02:07PM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 02:09PM] 2147m used command ::yell buy fazula book or staff | Player rights = CLERIC_DONATOR	
[4/26/23 02:56PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 02:56PM] 2147m used command ::yell buy fazula staff or book pm me | Player rights = CLERIC_DONATOR	
[4/26/23 03:04PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 03:05PM] 2147m used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/26/23 03:06PM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 03:07PM] 2147m used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 03:08PM] 2147m used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 03:09PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 03:11PM] 2147m used command ::yell anyone got fazula book or staff for sale  | Player rights = CLERIC_DONATOR	
[4/26/23 03:27PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 03:34PM] 2147m used command ::yell buy fazula staff or book cmon already like 3hr buying that :c | Player rights = CLERIC_DONATOR	
[4/26/23 03:35PM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 03:37PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 03:39PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 03:39PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 03:41PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 03:46PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 03:48PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 04:05PM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 04:06PM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 03:51PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 03:52PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 03:54PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:03PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:04PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:05PM] 2147m used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 04:06PM] 2147m used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 04:06PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 04:06PM] 2147m used command ::pos | Player rights = CLERIC_DONATOR	
