[4/15/23 06:01PM] Vihtic used command ::empty | Player rights = DEVELOPER	
[4/25/23 05:40PM] Vihtic used command ::item 15251 1 | Player rights = DEVELOPER	
[4/25/23 05:40PM] Vihtic used command ::item 10835 15000000 | Player rights = DEVELOPER	
[4/25/23 05:40PM] Vihtic used command ::item 13333 | Player rights = DEVELOPER	
[4/25/23 05:40PM] Vihtic used command ::slayer | Player rights = DEVELOPER	
[4/25/23 05:55PM] Vihtic used command ::voteboss | Player rights = DEVELOPER	
[4/25/23 06:01PM] Vihtic used command ::veigar | Player rights = DEVELOPER	
[4/25/23 06:06PM] Vihtic used command ::yell just for vid, wont be in eco haha | Player rights = DEVELOPER	
[4/25/23 08:45PM] Vihtic used command ::vihtic | Player rights = DEVELOPER	
[4/25/23 08:46PM] Vihtic used command ::yell New vid just uploaded + juicy giveaway!!! ::vihtic | Player rights = DEVELOPER	
[4/25/23 08:50PM] Vihtic used command ::yell New vid + juivy giveaway ::vihtic  | Player rights = DEVELOPER	
[4/25/23 08:50PM] Vihtic used command ::yell juicy :P | Player rights = DEVELOPER	
[4/25/23 08:59PM] Vihtic used command ::voteboss | Player rights = DEVELOPER	
[4/25/23 08:59PM] Vihtic used command ::votre | Player rights = DEVELOPER	
[4/25/23 08:59PM] Vihtic used command ::vote | Player rights = DEVELOPER	
[4/25/23 09:01PM] Vihtic used command ::veigar | Player rights = DEVELOPER	
[4/25/23 09:04PM] Vihtic used command ::claimvote | Player rights = DEVELOPER	
[4/25/23 09:04PM] Vihtic used command ::voted | Player rights = DEVELOPER	
[4/25/23 09:05PM] Vihtic used command ::reward 1 all | Player rights = DEVELOPER	
[4/25/23 09:08PM] Vihtic used command ::yell new vid + juicy giveaway ::vihtic | Player rights = DEVELOPER	
[4/25/23 09:09PM] Vihtic used command ::kabal | Player rights = YOUTUBER	
[4/25/23 09:09PM] Vihtic used command ::yell Kabal #1 streamer live right now!! youtube/kabal | Player rights = YOUTUBER	
[4/25/23 09:21PM] Vihtic used command ::yell vibin hard on Kabals stream! +giveaways --- youtube/kabal | Player rights = YOUTUBER	
[4/25/23 09:22PM] Vihtic used command ::yell #tarnontop kinda goes crazy | Player rights = YOUTUBER	
[4/25/23 09:23PM] Vihtic used command ::yell im a sucker for alliteration | Player rights = YOUTUBER	
[4/25/23 09:31PM] Vihtic used command ::yell new video + giveaway! ::vihtic | Player rights = YOUTUBER	
