[4/15/23 12:44AM] Mysterious used command ::ref | Player rights = PLAYER	
[4/15/23 02:32AM] Mysterious used command ::collection | Player rights = CLERIC_DONATOR	
[4/15/23 02:45AM] Mysterious used command ::collection | Player rights = CLERIC_DONATOR	
[4/15/23 02:55AM] Mysterious used command ::vboss | Player rights = CLERIC_DONATOR	
[4/15/23 03:00AM] Mysterious used command ::progression | Player rights = CLERIC_DONATOR	
[4/15/23 03:00AM] Mysterious used command ::achievement | Player rights = CLERIC_DONATOR	
[4/15/23 03:00AM] Mysterious used command ::achievements | Player rights = CLERIC_DONATOR	
[4/15/23 03:02AM] Mysterious used command ::achievements | Player rights = CLERIC_DONATOR	
[4/15/23 03:27AM] Mysterious used command ::collection | Player rights = CLERIC_DONATOR	
[4/15/23 03:28AM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 03:28AM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 03:28AM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 03:30AM] Mysterious used command ::achievement | Player rights = CLERIC_DONATOR	
[4/15/23 03:31AM] Mysterious used command ::achievements | Player rights = CLERIC_DONATOR	
[4/15/23 03:39AM] Mysterious used command ::collection | Player rights = CLERIC_DONATOR	
[4/15/23 03:39AM] Mysterious used command ::collection | Player rights = CLERIC_DONATOR	
[4/15/23 03:40AM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 03:43AM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 04:06AM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 04:10AM] Mysterious used command ::afk | Player rights = CLERIC_DONATOR	
[4/15/23 12:45PM] Mysterious used command ::homer | Player rights = CLERIC_DONATOR	
[4/15/23 12:45PM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 12:45PM] Mysterious used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 12:50PM] Mysterious used command ::::donate | Player rights = CLERIC_DONATOR	
[4/15/23 12:50PM] Mysterious used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 01:03PM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/15/23 01:11PM] Mysterious used command ::kc | Player rights = CLERIC_DONATOR	
[4/15/23 01:11PM] Mysterious used command ::kills | Player rights = CLERIC_DONATOR	
[4/15/23 01:13PM] Mysterious used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/15/23 01:13PM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/15/23 01:21PM] Mysterious used command ::progression | Player rights = CLERIC_DONATOR	
[4/15/23 01:21PM] Mysterious used command ::progression | Player rights = CLERIC_DONATOR	
[4/15/23 01:21PM] Mysterious used command ::progress | Player rights = CLERIC_DONATOR	
[4/15/23 01:21PM] Mysterious used command ::collection | Player rights = CLERIC_DONATOR	
[4/15/23 01:21PM] Mysterious used command ::progression | Player rights = CLERIC_DONATOR	
[4/15/23 01:29PM] Mysterious used command ::::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 01:29PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 01:33PM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 01:40PM] Mysterious used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 01:46PM] Mysterious used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 01:47PM] Mysterious used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 01:48PM] Mysterious used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 02:15PM] Mysterious used command ::dzone | Player rights = CLERIC_DONATOR	
[4/15/23 02:15PM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 02:15PM] Mysterious used command ::czone | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Mysterious used command ::king | Player rights = CLERIC_DONATOR	
[4/15/23 03:26PM] Mysterious used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/15/23 03:26PM] Mysterious used command ::yell ALL TO ::VOTEBOSS | Player rights = CLERIC_DONATOR	
[4/15/23 03:26PM] Mysterious used command ::yell ALL TO ::VOTEBOSS | Player rights = CLERIC_DONATOR	
[4/15/23 03:28PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 03:31PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 03:35PM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 03:36PM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 04:01PM] Mysterious used command ::donate | Player rights = CLERIC_DONATOR	
[4/15/23 04:03PM] Mysterious used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 04:16PM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/15/23 04:19PM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 04:19PM] Mysterious used command ::afk | Player rights = CLERIC_DONATOR	
[4/15/23 05:46PM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 05:59PM] Mysterious used command ::VEIGAR'= | Player rights = CLERIC_DONATOR	
[4/15/23 05:59PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:45AM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 12:53AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:14AM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:17AM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:20AM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 01:21AM] Mysterious used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/16/23 01:21AM] Mysterious used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/16/23 01:21AM] Mysterious used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/16/23 01:21AM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 01:23AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:28AM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] Mysterious used command ::muruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:32AM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 01:53AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:55AM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 01:55AM] Mysterious used command ::mermum | Player rights = CLERIC_DONATOR	
[4/16/23 01:55AM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:00AM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:06PM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 10:09PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:10PM] Mysterious used command ::dps | Player rights = CLERIC_DONATOR	
[4/16/23 10:13PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:09PM] Mysterious used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/16/23 11:09PM] Mysterious used command ::veigare | Player rights = CLERIC_DONATOR	
[4/16/23 11:09PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:11PM] Mysterious used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:12PM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:14PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:15PM] Mysterious used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:52PM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:53PM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:08AM] Mysterious used command ::donate | Player rights = CLERIC_DONATOR	
[4/17/23 12:09AM] Mysterious used command ::forums | Player rights = CLERIC_DONATOR	
[4/17/23 12:13AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:39AM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:39AM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:47AM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:48AM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:55AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:56AM] Mysterious used command ::yell buying gf @ ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:58AM] Mysterious used command ::yell everyone ::vote lets get a vote boss happening | Player rights = CLERIC_DONATOR	
[4/17/23 01:01AM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 01:02AM] Mysterious used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:03AM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 01:03AM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 01:10AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:48AM] Mysterious used command ::refer fpk merk | Player rights = CLERIC_DONATOR	
[4/17/23 01:51AM] Mysterious used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:29PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:44PM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 09:54PM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 09:55PM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 09:55PM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 09:55PM] Mysterious used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/17/23 09:55PM] Mysterious used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/17/23 09:56PM] Mysterious used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:00PM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:00PM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:23PM] Mysterious used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:26PM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 11:26PM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 11:27PM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 11:41PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:05AM] Mysterious used command ::wboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:05AM] Mysterious used command ::worldboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:05AM] Mysterious used command ::yellowzone | Player rights = CLERIC_DONATOR	
[4/18/23 12:05AM] Mysterious used command ::yellowboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:16AM] Mysterious used command ::Pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:24AM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:25AM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:27AM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:31AM] Mysterious used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 12:43AM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:43AM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:11AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:12AM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 01:26AM] Mysterious used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Mysterious used command ::totem | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:02PM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 08:03PM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 08:11PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:12PM] Mysterious used command ::store | Player rights = CLERIC_DONATOR	
[4/18/23 08:26PM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 08:31PM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 08:41PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:43PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:45PM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:46PM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:47PM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:11PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:15PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 09:26PM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 09:27PM] Mysterious used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 09:41PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:43PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 09:46PM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 09:51PM] Mysterious used command ::raids | Player rights = CLERIC_DONATOR	
[4/18/23 09:53PM] Mysterious used command ::herblore | Player rights = CLERIC_DONATOR	
[4/18/23 09:54PM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:11PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:12PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:35PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:40PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:45PM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:46PM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:48PM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 11:05PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:09PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 11:11PM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 11:28PM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 11:33PM] Mysterious used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 11:37PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:47PM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 11:47PM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 11:47PM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 11:47PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 11:47PM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:33AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:34AM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:35AM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:43AM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:54AM] Mysterious used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:54AM] Mysterious used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:58AM] Mysterious used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 01:02AM] Mysterious used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:05AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:22AM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 01:23AM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:49AM] Mysterious used command ::players | Player rights = CLERIC_DONATOR	
[4/20/23 01:18PM] Mysterious used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Mysterious used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Mysterious used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Mysterious used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Mysterious used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Mysterious used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Mysterious used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Mysterious used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/20/23 01:29PM] Mysterious used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Mysterious used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Mysterious used command ::auth https://discord.com/channels/846576181088092240/868235693418225694::veiga | Player rights = TORMENTED_DONATOR	
[4/20/23 01:49PM] Mysterious used command ::veigaer | Player rights = TORMENTED_DONATOR	
[4/20/23 01:49PM] Mysterious used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 02:19PM] Mysterious used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 06:29PM] Mysterious used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 06:40PM] Mysterious used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/20/23 06:41PM] Mysterious used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 06:42PM] Mysterious used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 07:31PM] Mysterious used command ::deals | Player rights = TORMENTED_DONATOR	
[4/20/23 08:22PM] Mysterious used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 08:24PM] Mysterious used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 08:24PM] Mysterious used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 08:34PM] Mysterious used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 08:35PM] Mysterious used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 08:36PM] Mysterious used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 08:38PM] Mysterious used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 12:25AM] Mysterious used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 12:57AM] Mysterious used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 12:08AM] Mysterious used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 12:10AM] Mysterious used command ::reward 1 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 12:10AM] Mysterious used command ::reward 1 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 12:10AM] Mysterious used command ::reward 1 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 12:10AM] Mysterious used command ::reward 1 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 12:10AM] Mysterious used command ::reward 1 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 12:10AM] Mysterious used command ::reward 1 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 12:10AM] Mysterious used command ::reward 1 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 12:11AM] Mysterious used command ::reward 1 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 12:36AM] Mysterious used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 12:36AM] Mysterious used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 12:36AM] Mysterious used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 07:39PM] Mysterious used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 07:40PM] Mysterious used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 08:03PM] Mysterious used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33PM] Mysterious used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34PM] Mysterious used command ::meurem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34PM] Mysterious used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:35PM] Mysterious used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 09:49PM] Mysterious used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 09:54PM] Mysterious used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 09:55PM] Mysterious used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 10:03PM] Mysterious used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:07PM] Mysterious used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 10:13PM] Mysterious used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 10:22PM] Mysterious used command ::donate | Player rights = TORMENTED_DONATOR	
[4/22/23 11:33PM] Mysterious used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:33PM] Mysterious used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 11:34PM] Mysterious used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 11:35PM] Mysterious used command ::golden | Player rights = TORMENTED_DONATOR	
<<<<<<< Updated upstream
[4/26/23 01:45AM] Mysterious used command ::vote | Player rights = TORMENTED_DONATOR	
[4/26/23 01:46AM] Mysterious used command ::claimvote | Player rights = TORMENTED_DONATOR	
[4/26/23 01:46AM] Mysterious used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
=======
[4/23/23 01:20PM] Mysterious used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 11:24PM] Mysterious used command ::vote | Player rights = TORMENTED_DONATOR	
[4/23/23 11:25PM] Mysterious used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 11:26PM] Mysterious used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 11:27PM] Mysterious used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 11:27PM] Mysterious used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 11:28PM] Mysterious used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 11:28PM] Mysterious used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 11:30PM] Mysterious used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 11:31PM] Mysterious used command ::pos | Player rights = TORMENTED_DONATOR	
[4/23/23 11:31PM] Mysterious used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 11:33PM] Mysterious used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 11:36PM] Mysterious used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 11:36PM] Mysterious used command ::golden | Player rights = TORMENTED_DONATOR	
[4/25/23 10:54PM] Mysterious used command ::claimvote | Player rights = TORMENTED_DONATOR	
[4/25/23 10:54PM] Mysterious used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
