[4/19/23 09:44PM] Daddyhoho16 used command ::reff | Player rights = PLAYER	
[4/19/23 10:38PM] Daddyhoho16 used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:49PM] Daddyhoho16 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:53PM] Daddyhoho16 used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:54PM] Daddyhoho16 used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:54PM] Daddyhoho16 used command ::shop | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:54PM] Daddyhoho16 used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:54PM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:57PM] Daddyhoho16 used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:37AM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:40AM] Daddyhoho16 used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:46AM] Daddyhoho16 used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:48AM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:49AM] Daddyhoho16 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:50AM] Daddyhoho16 used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:52AM] Daddyhoho16 used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:53AM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:02AM] Daddyhoho16 used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:02AM] Daddyhoho16 used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:10AM] Daddyhoho16 used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:10AM] Daddyhoho16 used command ::achievement | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:10AM] Daddyhoho16 used command ::auth  | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:11AM] Daddyhoho16 used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:15AM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:18AM] Daddyhoho16 used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:19AM] Daddyhoho16 used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:19AM] Daddyhoho16 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:19AM] Daddyhoho16 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:19AM] Daddyhoho16 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:20AM] Daddyhoho16 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:21AM] Daddyhoho16 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:22AM] Daddyhoho16 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:24AM] Daddyhoho16 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:28AM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:29AM] Daddyhoho16 used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:49AM] Daddyhoho16 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:51AM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:53AM] Daddyhoho16 used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:55AM] Daddyhoho16 used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:55AM] Daddyhoho16 used command ::reward | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:55AM] Daddyhoho16 used command ::reward1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:55AM] Daddyhoho16 used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:55AM] Daddyhoho16 used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:55AM] Daddyhoho16 used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:57AM] Daddyhoho16 used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:05PM] Daddyhoho16 used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:06PM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:16PM] Daddyhoho16 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:16PM] Daddyhoho16 used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:19PM] Daddyhoho16 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:20PM] Daddyhoho16 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:21PM] Daddyhoho16 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:22PM] Daddyhoho16 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:23PM] Daddyhoho16 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:24PM] Daddyhoho16 used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:25PM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:27PM] Daddyhoho16 used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:47PM] Daddyhoho16 used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:14PM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:15PM] Daddyhoho16 used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:15PM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:19PM] Daddyhoho16 used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:20PM] Daddyhoho16 used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21PM] Daddyhoho16 used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:22PM] Daddyhoho16 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:23PM] Daddyhoho16 used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:23PM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:25PM] Daddyhoho16 used command ::wboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:26PM] Daddyhoho16 used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:30PM] Daddyhoho16 used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:30PM] Daddyhoho16 used command ::achievement | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:30PM] Daddyhoho16 used command ::achievements | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:36PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 03:42PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 03:43PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 03:49PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:51PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 04:00PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 04:02PM] Daddyhoho16 used command ::achievements | Player rights = CLERIC_DONATOR	
[4/20/23 10:02PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:22PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:23PM] Daddyhoho16 used command ::achievements | Player rights = CLERIC_DONATOR	
[4/20/23 10:32PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:36PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:40PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:51PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 10:55PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:00PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:02PM] Daddyhoho16 used command ::achievements | Player rights = CLERIC_DONATOR	
[4/20/23 11:02PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:05PM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 09:50AM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:51AM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 09:53AM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 10:10PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:15PM] Daddyhoho16 used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:17PM] Daddyhoho16 used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 10:19PM] Daddyhoho16 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 10:20PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:21PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:22PM] Daddyhoho16 used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 10:31PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:36PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:41PM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 12:48AM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 06:30PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 06:31PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 06:32PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 06:34PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 06:35PM] Daddyhoho16 used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 06:39PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 06:54PM] Daddyhoho16 used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 06:56PM] Daddyhoho16 used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 06:57PM] Daddyhoho16 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 06:58PM] Daddyhoho16 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 07:01PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 07:03PM] Daddyhoho16 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 07:10PM] Daddyhoho16 used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 07:10PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 07:24PM] Daddyhoho16 used command ::donate | Player rights = CLERIC_DONATOR	
[4/23/23 07:24PM] Daddyhoho16 used command ::discord | Player rights = CLERIC_DONATOR	
[4/23/23 07:26PM] Daddyhoho16 used command ::donate | Player rights = CLERIC_DONATOR	
[4/23/23 07:45PM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 07:45PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 07:45PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 07:46PM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 08:54PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:01PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:07PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:07PM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/23/23 09:11PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:15PM] Daddyhoho16 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:17PM] Daddyhoho16 used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 09:19PM] Daddyhoho16 used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 09:19PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 09:20PM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/24/23 01:31PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 01:32PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 01:34PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 01:50PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 02:01PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:14PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 02:51PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 02:54PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 02:56PM] Daddyhoho16 used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 02:59PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 03:01PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 03:02PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 03:23PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 03:23PM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/24/23 05:36PM] Daddyhoho16 used command ::vote | Player rights = CLERIC_DONATOR	
[4/24/23 05:37PM] Daddyhoho16 used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/24/23 05:38PM] Daddyhoho16 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/24/23 05:46PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 05:49PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 05:53PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 05:57PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 05:58PM] Daddyhoho16 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 06:00PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 06:01PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 06:03PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 06:03PM] Daddyhoho16 used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 06:07PM] Daddyhoho16 used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 06:08PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 06:15PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 06:26PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 06:31PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 06:32PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 06:34PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 06:35PM] Daddyhoho16 used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 06:36PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 06:43PM] Daddyhoho16 used command ::yellowzone | Player rights = CLERIC_DONATOR	
[4/24/23 06:54PM] Daddyhoho16 used command ::bank | Player rights = CLERIC_DONATOR	
[4/24/23 06:54PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 07:01PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 07:03PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 07:31PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 07:34PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 07:35PM] Daddyhoho16 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 07:42PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 08:16PM] Daddyhoho16 used command ::dr | Player rights = CLERIC_DONATOR	
[4/24/23 08:21PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 08:32PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 08:33PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 08:35PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 08:45PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 08:50PM] Daddyhoho16 used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 09:01PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:15PM] Daddyhoho16 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 09:19PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 09:21PM] Daddyhoho16 used command ::yell ty 4 spawns | Player rights = CLERIC_DONATOR	
[4/24/23 09:21PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 09:31PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:32PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 09:34PM] Daddyhoho16 used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:36PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 09:47PM] Daddyhoho16 used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 10:30PM] Daddyhoho16 used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 10:31PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 10:33PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 10:35PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 10:38PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 10:45PM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/25/23 09:44AM] Daddyhoho16 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 09:46AM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 09:52AM] Daddyhoho16 used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 09:58AM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 10:01AM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 10:01AM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 10:04AM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 10:09AM] Daddyhoho16 used command ::vbos | Player rights = CLERIC_DONATOR	
[4/25/23 10:09AM] Daddyhoho16 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 10:12AM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 10:28AM] Daddyhoho16 used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 10:31AM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 10:32AM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 10:33AM] Daddyhoho16 used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 10:35AM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 10:50AM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
[4/25/23 10:09PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 10:10PM] Daddyhoho16 used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 10:12PM] Daddyhoho16 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/25/23 10:26PM] Daddyhoho16 used command :::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 10:26PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 10:26PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 10:26PM] Daddyhoho16 used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 10:27PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 10:29PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 10:29PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 10:29PM] Daddyhoho16 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 10:29PM] Daddyhoho16 used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 10:30PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 10:31PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 10:33PM] Daddyhoho16 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 10:34PM] Daddyhoho16 used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 10:36PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 10:56PM] Daddyhoho16 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 10:59PM] Daddyhoho16 used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 11:02PM] Daddyhoho16 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 11:06PM] Daddyhoho16 used command ::afk | Player rights = CLERIC_DONATOR	
