[4/16/23 08:38AM] Duke used command ::train | Player rights = PLAYER	
[4/17/23 08:42AM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:09AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:23AM] Duke used command ::upgrade | Player rights = CLERIC_DONATOR	
[4/17/23 09:29AM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 09:29AM] Duke used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:39AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:42AM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:45AM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:29AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:33AM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Duke used command ::mureum | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:35AM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:46AM] Duke used command ::fpk | Player rights = CLERIC_DONATOR	
[4/17/23 11:02AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Duke used command ::taks | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Duke used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:27AM] Duke used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Duke used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Duke used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Duke used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Duke used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:34PM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Duke used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Duke used command ::viegar | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Duke used command ::inetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:46PM] Duke used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Duke used command ::mereum | Player rights = CLERIC_DONATOR	
[4/18/23 08:51AM] Duke used command ::Vote | Player rights = CLERIC_DONATOR	
[4/18/23 08:53AM] Duke used command ::redeem 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 08:53AM] Duke used command ::redeem 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 08:54AM] Duke used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 09:11AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:14AM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 09:41AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:42AM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 01:05PM] Duke used command ::totem | Player rights = CLERIC_DONATOR	
[4/18/23 01:10PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:19PM] Duke used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42PM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:11PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42PM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:50PM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:59PM] Duke used command ::discord | Player rights = CLERIC_DONATOR	
[4/19/23 05:27AM] Duke used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 05:27AM] Duke used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 05:28AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:34AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:36AM] Duke used command ::benefits | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:42AM] Duke used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:43AM] Duke used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:45AM] Duke used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 10:54AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:59AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:59AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:05AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:07AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:08AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:08AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:09AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:10AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:29AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:37AM] Duke used command ::wr3ckedyou | Player rights = CLERIC_DONATOR	
[4/19/23 11:42AM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:55AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:01PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:07PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:10PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:16PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Duke used command ::mereum | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Duke used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:19PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:20PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:44PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Duke used command ::muruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:20PM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:22PM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:43PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:57PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:13PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:24PM] Duke used command ::kills | Player rights = CLERIC_DONATOR	
[4/19/23 02:27PM] Duke used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:56PM] Duke used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 03:12PM] Duke used command ::verium | Player rights = CLERIC_DONATOR	
[4/19/23 03:30PM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 03:46PM] Duke used command ::bonle | Player rights = CLERIC_DONATOR	
[4/19/23 04:07PM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 04:24PM] Duke used command ::pow | Player rights = CLERIC_DONATOR	
[4/19/23 04:24PM] Duke used command ::pow | Player rights = CLERIC_DONATOR	
[4/19/23 04:24PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:26PM] Duke used command ::kills | Player rights = CLERIC_DONATOR	
[4/19/23 04:30PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:41PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:41PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:42PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:43PM] Duke used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:45PM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:45PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:46PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:48PM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 04:50PM] Duke used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 04:50PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Duke used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 10:21PM] Duke used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:24PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:32PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:45PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:51PM] Duke used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 11:15PM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:23PM] Duke used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:53PM] Duke used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:57PM] Duke used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 11:57PM] Duke used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 12:00AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:09AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:10AM] Duke used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:27AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 12:40AM] Duke used command ::benefits | Player rights = TORMENTED_DONATOR	
[4/20/23 12:40AM] Duke used command ::benefits | Player rights = TORMENTED_DONATOR	
[4/20/23 12:44AM] Duke used command ::perks | Player rights = TORMENTED_DONATOR	
[4/20/23 12:44AM] Duke used command ::benefits | Player rights = TORMENTED_DONATOR	
[4/20/23 01:19AM] Duke used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 01:37AM] Duke used command ::bis | Player rights = TORMENTED_DONATOR	
[4/20/23 02:00AM] Duke used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 02:01AM] Duke used command ::vbss | Player rights = TORMENTED_DONATOR	
[4/20/23 02:01AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 02:21AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 02:38AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 02:51AM] Duke used command ::poa | Player rights = TORMENTED_DONATOR	
[4/20/23 02:51AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 03:24AM] Duke used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 03:26AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 03:28AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 03:35AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 03:59AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 04:01AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 05:00AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 05:04AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 05:18AM] Duke used command ::dr | Player rights = TORMENTED_DONATOR	
[4/20/23 05:40AM] Duke used command ::wr3cked | Player rights = TORMENTED_DONATOR	
[4/20/23 05:53AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 06:11AM] Duke used command ::Daily | Player rights = TORMENTED_DONATOR	
[4/20/23 06:11AM] Duke used command ::daily | Player rights = TORMENTED_DONATOR	
[4/20/23 06:11AM] Duke used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/20/23 12:32PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 12:41PM] Duke used command ::upgrade | Player rights = TORMENTED_DONATOR	
[4/20/23 12:46PM] Duke used command ::zone | Player rights = TORMENTED_DONATOR	
[4/20/23 12:46PM] Duke used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 12:50PM] Duke used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 01:30PM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:27AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:29AM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:31AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32AM] Duke used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:33AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:34AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 08:34AM] Duke used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35AM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:36AM] Duke used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 08:36AM] Duke used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 08:37AM] Duke used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:40AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:43AM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 08:45AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 09:16AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:27AM] Duke used command ::pow | Player rights = TORMENTED_DONATOR	
[4/21/23 09:27AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:29AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:31AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:34AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 09:53AM] Duke used command ::pow | Player rights = TORMENTED_DONATOR	
[4/21/23 09:53AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:54AM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 09:54AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:58AM] Duke used command ::home | Player rights = TORMENTED_DONATOR	
[4/21/23 10:00AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 10:33AM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 10:34AM] Duke used command ::mureum | Player rights = TORMENTED_DONATOR	
[4/21/23 10:35AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:04AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:05AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Duke used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:45AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:54AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:55AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:56AM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:00PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:00PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:06PM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:25PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:26PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:34PM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 12:35PM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 12:35PM] Duke used command ::muruem | Player rights = TORMENTED_DONATOR	
[4/21/23 12:37PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:37PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:51PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:53PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:11PM] Duke used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 02:11PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:30PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:33PM] Duke used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 02:34PM] Duke used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 02:35PM] Duke used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 02:36PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:37PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:46PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:57PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 02:58PM] Duke used command ::kills | Player rights = TORMENTED_DONATOR	
[4/21/23 03:00PM] Duke used command ::pos | Player rights = TORMENTED_DONATOR	
