[4/15/23 03:46AM] Don Chapo used command ::totem | Player rights = PLAYER	
[4/16/23 05:25AM] Don Chapo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:26AM] Don Chapo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:27AM] Don Chapo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:30AM] Don Chapo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:01AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:02AM] Don Chapo used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Don Chapo used command ::veiogar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:38AM] Don Chapo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Don Chapo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24AM] Don Chapo used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:29AM] Don Chapo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:53AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23AM] Don Chapo used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:24AM] Don Chapo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:33AM] Don Chapo used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:54AM] Don Chapo used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:09AM] Don Chapo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:10AM] Don Chapo used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:18AM] Don Chapo used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:41AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:43AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:48AM] Don Chapo used command ::yell tarn rsps 2023 | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:52AM] Don Chapo used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:43AM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:46PM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:11PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:13PM] Don Chapo used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 10:21PM] Don Chapo used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 10:39PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:42PM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:13PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:36PM] Don Chapo used command ::ref fpk merk | Player rights = CLERIC_DONATOR	
[4/16/23 11:39PM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:39PM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:39PM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:45PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:46PM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:49PM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:49PM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:52PM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:05AM] Don Chapo used command ::stats | Player rights = CLERIC_DONATOR	
[4/17/23 12:05AM] Don Chapo used command ::stats | Player rights = CLERIC_DONATOR	
[4/17/23 12:05AM] Don Chapo used command ::collectionglog | Player rights = CLERIC_DONATOR	
[4/17/23 12:05AM] Don Chapo used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 12:11AM] Don Chapo used command ::achievements | Player rights = CLERIC_DONATOR	
[4/17/23 12:15AM] Don Chapo used command ::::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:15AM] Don Chapo used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:28AM] Don Chapo used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 12:28AM] Don Chapo used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 12:28AM] Don Chapo used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:41AM] Don Chapo used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 12:46AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:47AM] Don Chapo used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 12:50AM] Don Chapo used command ::achievements | Player rights = CLERIC_DONATOR	
[4/17/23 12:54AM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:00AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:10AM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:11AM] Don Chapo used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 01:16AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:40AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:40AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:41AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:10AM] Don Chapo used command :::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:10AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:10AM] Don Chapo used command ::Dr | Player rights = CLERIC_DONATOR	
[4/17/23 02:40AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:41AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:26AM] Don Chapo used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 03:39AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:41AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:42AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:00AM] Don Chapo used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 04:09AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:09AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:41AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:42AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 05:45AM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 06:10AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 06:42AM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:12PM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:14PM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:20PM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:43PM] Don Chapo used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:43PM] Don Chapo used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Don Chapo used command :::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Don Chapo used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:59PM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 11:12PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:42PM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Don Chapo used command ::veigart | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:11AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 03:11AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:42AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:11AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:42AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:43AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:44AM] Don Chapo used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:11AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:11AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:26AM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 06:42AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:42AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:43AM] Don Chapo used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 07:11AM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:42AM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 09:11PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:43PM] Don Chapo used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:11PM] Don Chapo used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:15PM] Don Chapo used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 10:15PM] Don Chapo used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 10:17PM] Don Chapo used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:48AM] Don Chapo used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:49AM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:49AM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:49AM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:49AM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:49AM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:49AM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 01:49AM] Don Chapo used command ::bank | Player rights = CLERIC_DONATOR	
