[4/16/23 03:18AM] Resi used command ::Ref | Player rights = PLAYER	
[4/17/23 04:14PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:15PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:16PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:20PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:21PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:23PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:23PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 08:03AM] Resi used command ::vote | Player rights = TORMENTED_DONATOR	
[4/18/23 08:04AM] Resi used command ::claim | Player rights = TORMENTED_DONATOR	
[4/18/23 08:08AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 08:11AM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:12AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 08:14AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 08:41AM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:42AM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 08:42AM] Resi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 08:43AM] Resi used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 09:10AM] Resi used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 09:10AM] Resi used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 09:11AM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:14AM] Resi used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 09:36AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 09:41AM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 09:42AM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 09:44AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 09:45AM] Resi used command ::totem | Player rights = TORMENTED_DONATOR	
[4/18/23 10:11AM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 10:12AM] Resi used command ::Claim | Player rights = TORMENTED_DONATOR	
[4/18/23 10:41AM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 10:41AM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 10:42AM] Resi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 10:42AM] Resi used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 12:11PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 12:16PM] Resi used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 12:19PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 12:26PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 12:33PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 12:41PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 12:41PM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 12:42PM] Resi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 12:42PM] Resi used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 01:08PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 01:11PM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 01:29PM] Resi used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Resi used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 02:41PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:41PM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 02:42PM] Resi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 02:47PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:48PM] Resi used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/18/23 02:48PM] Resi used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 02:49PM] Resi used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 02:49PM] Resi used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 02:56PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:56PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:58PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:58PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:58PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 03:11PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 03:14PM] Resi used command ::Claim | Player rights = TORMENTED_DONATOR	
[4/19/23 08:46AM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 08:47AM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 08:57AM] Resi used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 09:21AM] Resi used command ::claim | Player rights = TORMENTED_DONATOR	
[4/19/23 09:21AM] Resi used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 09:22AM] Resi used command ::Pos | Player rights = TORMENTED_DONATOR	
[4/19/23 09:33AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 09:34AM] Resi used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 09:34AM] Resi used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 09:35AM] Resi used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 09:35AM] Resi used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 09:43AM] Resi used command ::vEIGAR | Player rights = TORMENTED_DONATOR	
[4/19/23 09:57AM] Resi used command ::store | Player rights = TORMENTED_DONATOR	
[4/19/23 10:05AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:13AM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:14AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:15AM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 10:16AM] Resi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 10:17AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 10:22AM] Resi used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 10:22AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:23AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:23AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 10:26AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 10:43AM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 11:19AM] Resi used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 11:41AM] Resi used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 11:47AM] Resi used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 11:49AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 11:51AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:01PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:03PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:03PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:12PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:13PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:14PM] Resi used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 12:14PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:15PM] Resi used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 12:15PM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 12:17PM] Resi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 12:18PM] Resi used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/19/23 12:19PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 12:21PM] Resi used command ::Dropoff | Player rights = TORMENTED_DONATOR	
[4/19/23 12:30PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:30PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:31PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:43PM] Resi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:14PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:14PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:28PM] Resi used command ::claim | Player rights = TORMENTED_DONATOR	
[4/19/23 04:32PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:33PM] Resi used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/19/23 04:36PM] Resi used command ::Reward 1 all | Player rights = TORMENTED_DONATOR	
[4/19/23 04:44PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:44PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:45PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:45PM] Resi used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 04:48PM] Resi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 05:00PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:12PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 05:13PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 05:14PM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 05:16PM] Resi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 05:16PM] Resi used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 05:20PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:20PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:23PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 05:24PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:26PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 05:26PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:14PM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 06:15PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:15PM] Resi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 06:16PM] Resi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 06:16PM] Resi used command ::Golden | Player rights = TORMENTED_DONATOR	
[4/19/23 06:18PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:20PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:20PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:25PM] Resi used command ::instance | Player rights = TORMENTED_DONATOR	
[4/19/23 06:44PM] Resi used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 06:48PM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 07:44PM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 04:39AM] Resi used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 04:42AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 04:43AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 04:46AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 04:49AM] Resi used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 04:49AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 04:59AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 04:59AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 04:59AM] Resi used command ::zones | Player rights = TORMENTED_DONATOR	
[4/20/23 04:59AM] Resi used command ::npc  | Player rights = TORMENTED_DONATOR	
[4/20/23 04:59AM] Resi used command ::teleport | Player rights = TORMENTED_DONATOR	
[4/20/23 04:59AM] Resi used command ::home | Player rights = TORMENTED_DONATOR	
[4/20/23 05:00AM] Resi used command ::upgrade | Player rights = TORMENTED_DONATOR	
[4/20/23 05:00AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 05:00AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 05:02AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 05:04AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 05:05AM] Resi used command ::Claim | Player rights = TORMENTED_DONATOR	
[4/20/23 05:12AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 05:13AM] Resi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 05:15AM] Resi used command ::pos | Player rights = TORMENTED_DONATOR	
