[4/18/23 07:52AM] Forest used command ::ref | Player rights = PLAYER	
[4/19/23 08:49AM] Forest used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:56AM] Forest used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:07AM] Forest used command ::save | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:10AM] Forest used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:10AM] Forest used command ::verigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:10AM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:15AM] Forest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:16AM] Forest used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:18AM] Forest used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:20AM] Forest used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:21AM] Forest used command ::Dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:48AM] Forest used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:13AM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:43AM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:15AM] Forest used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:15AM] Forest used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:16AM] Forest used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:19AM] Forest used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:44PM] Forest used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:48PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:51PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:53PM] Forest used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 02:54PM] Forest used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 03:11PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:15PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 03:16PM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:17PM] Forest used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 03:33PM] Forest used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 03:42PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:03PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:13PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:15PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 04:25PM] Forest used command :::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:25PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:29PM] Forest used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 04:30PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:30PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:33PM] Forest used command ::kills | Player rights = CLERIC_DONATOR	
[4/19/23 04:38PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:40PM] Forest used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 04:41PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:42PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:44PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 04:45PM] Forest used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 04:48PM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 04:49PM] Forest used command ::giolden | Player rights = CLERIC_DONATOR	
[4/19/23 04:50PM] Forest used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 04:50PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 04:51PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:13PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 05:14PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 05:15PM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 05:19PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:59AM] Forest used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 05:59AM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:00AM] Forest used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:02AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:03AM] Forest used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:06AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:08AM] Forest used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 06:08AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:10AM] Forest used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:12AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:14AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:16AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:17AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Forest used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:25AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:29AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Forest used command ::dropodd | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Forest used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/20/23 06:31AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Forest used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:36AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:39AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:42AM] Forest used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:45AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:50AM] Forest used command ::yell all to ::wr3cked x2 sacred box giveaway! | Player rights = CLERIC_DONATOR	
[4/20/23 06:53AM] Forest used command ::wboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:03AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:06AM] Forest used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:11AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:14AM] Forest used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:19AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:24AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:28AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:35AM] Forest used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:35AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:42AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:46AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:47AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:57AM] Forest used command ::::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 07:57AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:01AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:03AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:07AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:23AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:26AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:30AM] Forest used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:33AM] Forest used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:37AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 08:41AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:11AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:15AM] Forest used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Forest used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:51AM] Forest used command ::Home | Player rights = CLERIC_DONATOR	
[4/20/23 11:13AM] Forest used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 11:16AM] Forest used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 11:16AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:25AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 11:49AM] Forest used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:08PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Forest used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 12:22PM] Forest used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:24PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:26PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::zones | Player rights = CLERIC_DONATOR	
[4/20/23 12:27PM] Forest used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:15PM] Forest used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 01:15PM] Forest used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 01:16PM] Forest used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Forest used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Forest used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:51PM] Forest used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 02:03PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Forest used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:20PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Forest used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Forest used command ::Vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:54PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:55PM] Forest used command ::::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:56PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:01PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:01PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:08PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:08PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:11PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:18PM] Forest used command ::::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:18PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:19PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:20PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:21PM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:22PM] Forest used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:23PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:25PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:26PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:27PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:28PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:28PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:29PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:30PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:37PM] Forest used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 03:40PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:49PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 03:50PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:19PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:20PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 04:40PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:49PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:51PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:59PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:03PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:06PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:19PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Forest used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 05:21PM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:34PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:41PM] Forest used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 05:48PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:49PM] Forest used command ::mydr | Player rights = CLERIC_DONATOR	
[4/20/23 05:51PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:54PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:55PM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:14PM] Forest used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 06:19PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20PM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Forest used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:40PM] Forest used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:49PM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:03PM] Forest used command ::kills | Player rights = CLERIC_DONATOR	
[4/21/23 04:02AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:13AM] Forest used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/21/23 04:14AM] Forest used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 04:16AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 04:19AM] Forest used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 04:19AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:23AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:28AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:31AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:32AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:36AM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:38AM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 04:40AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:41AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 04:42AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:03AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:07AM] Forest used command ::mydr | Player rights = CLERIC_DONATOR	
[4/21/23 06:12AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:12AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:13AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:16AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:16AM] Forest used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:17AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:20AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:24AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:27AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:31AM] Forest used command ::slayer | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Forest used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Forest used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Forest used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Forest used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36AM] Forest used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Forest used command ::reward 1 ALL | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Forest used command ::voteboss | Player rights = CLERIC_DONATOR	
