[4/19/23 05:40AM] Xlee used command ::ref | Player rights = PLAYER	
[4/19/23 08:56AM] Xlee used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:10AM] Xlee used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:29AM] Xlee used command ::upgrades | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:29AM] Xlee used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:43AM] Xlee used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:45AM] Xlee used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:05AM] Xlee used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:14AM] Xlee used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:53AM] Xlee used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:54AM] Xlee used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:55AM] Xlee used command ::redeem | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:55AM] Xlee used command ::redeem 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:55AM] Xlee used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:56AM] Xlee used command ::store | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:57AM] Xlee used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:06AM] Xlee used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:26AM] Xlee used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:31AM] Xlee used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 06:32AM] Xlee used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:36AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:36AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:44AM] Xlee used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 07:49AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:34AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:38AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:01AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:18AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Xlee used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:21AM] Xlee used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Xlee used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:27AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:27AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:27AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:39AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:18AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Xlee used command ::nailtails | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Xlee used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Xlee used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Xlee used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Xlee used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:36AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Xlee used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Xlee used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Xlee used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:52AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:55AM] Xlee used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:56AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:32AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:44PM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 04:45PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:46PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:47PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:48PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:48PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:49PM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:50PM] Xlee used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/20/23 04:50PM] Xlee used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 04:54PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:56PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:56PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:04PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:16PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:19PM] Xlee used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:19PM] Xlee used command ::viegar | Player rights = CLERIC_DONATOR	
[4/20/23 06:19PM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20PM] Xlee used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:21PM] Xlee used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:22PM] Xlee used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:40PM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:50AM] Xlee used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 07:51AM] Xlee used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 07:51AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:57AM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:11AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:18AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:29AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Xlee used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Xlee used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Xlee used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Xlee used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Xlee used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Xlee used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Xlee used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Xlee used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:42AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:44AM] Xlee used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:47AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:52AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:00AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:06AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:13AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:23AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:02AM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:52PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:53PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:55PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:10PM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:40PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:44PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:56PM] Xlee used command ::store | Player rights = CLERIC_DONATOR	
[4/21/23 02:06PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:27PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:32PM] Xlee used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:33PM] Xlee used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:34PM] Xlee used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:35PM] Xlee used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 02:46PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 05:30PM] Xlee used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 05:31PM] Xlee used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 05:31PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 05:34PM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 05:37PM] Xlee used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 01:34PM] Xlee used command ::vote | Player rights = CLERIC_DONATOR	
[4/27/23 01:40PM] Xlee used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 05:48PM] Xlee used command ::vboss | Player rights = CLERIC_DONATOR	
