[4/16/23 07:34AM] Remorse used command ::ref walk chaos | Player rights = PLAYER	
[4/17/23 08:50PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:51PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:58PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:59PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:59PM] Remorse used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/17/23 08:59PM] Remorse used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:00PM] Remorse used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:00PM] Remorse used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:01PM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:02PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:09PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:20PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:23PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:27PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:27PM] Remorse used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/17/23 09:28PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:12PM] Remorse used command ::donated | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:12PM] Remorse used command ::claim | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:12PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:12PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:13PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:17PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:19PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:25PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:30PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:40PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:41PM] Remorse used command ::Veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:43PM] Remorse used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:45PM] Remorse used command ::memuer | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:45PM] Remorse used command ::memuer | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:45PM] Remorse used command ::memeur | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:45PM] Remorse used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:46PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:53PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:59PM] Remorse used command ::home | Player rights = MYSTICAL_DONATOR	
[4/18/23 08:59PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:07PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:07PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:07PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:11PM] Remorse used command ::Veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:41PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:43PM] Remorse used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 09:43PM] Remorse used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:46PM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:13PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:14PM] Remorse used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:15PM] Remorse used command ::mureum | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:15PM] Remorse used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:17PM] Remorse used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:22PM] Remorse used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:25PM] Remorse used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:39PM] Remorse used command ::Vote | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:40PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:42PM] Remorse used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:42PM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:43PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:45PM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:46PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:47PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:47PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:48PM] Remorse used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:48PM] Remorse used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:54PM] Remorse used command ::gamble | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:55PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:56PM] Remorse used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:13PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:14PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:14PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:14PM] Remorse used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:15PM] Remorse used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:27PM] Remorse used command ::Donate | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:43PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:45PM] Remorse used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:23PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:23PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:27PM] Remorse used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:28PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:36PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:37PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:46PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:48PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:48PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:49PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:50PM] Remorse used command ::Vboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:01PM] Remorse used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:49PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:59PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:42PM] Remorse used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:44PM] Remorse used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:45PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:32PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:33PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:33PM] Remorse used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:34PM] Remorse used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:35PM] Remorse used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:35PM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:35PM] Remorse used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:35PM] Remorse used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:36PM] Remorse used command ::claimvote | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:36PM] Remorse used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:36PM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:38PM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:39PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:39PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:44PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:47PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:47PM] Remorse used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:01PM] Remorse used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:14PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:30PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:30PM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:33PM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:33PM] Remorse used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:34PM] Remorse used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:35PM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:36PM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 10:41PM] Remorse used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:16AM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:18AM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:18AM] Remorse used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:19AM] Remorse used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:27AM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:30AM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:33AM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:36AM] Remorse used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:37AM] Remorse used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:37AM] Remorse used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:38AM] Remorse used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:38AM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:38AM] Remorse used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:39AM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:40AM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:41AM] Remorse used command ::Reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:42AM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:43AM] Remorse used command ::Vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:46AM] Remorse used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:50AM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:53AM] Remorse used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:55AM] Remorse used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:55AM] Remorse used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:55AM] Remorse used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:55AM] Remorse used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:58AM] Remorse used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:58AM] Remorse used command ::hidepets | Player rights = MYSTICAL_DONATOR	
[4/23/23 10:01AM] Remorse used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 10:02AM] Remorse used command ::bank | Player rights = MYSTICAL_DONATOR	
