[4/16/23 10:24AM] Heropt used command ::ninetails | Player rights = PLAYER	
[4/17/23 12:17PM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 12:17PM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 12:18PM] Heropt used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 12:18PM] Heropt used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 12:19PM] Heropt used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/17/23 12:24PM] Heropt used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/17/23 12:32PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 12:33PM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 12:33PM] Heropt used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 12:35PM] Heropt used command ::boost | Player rights = TORMENTED_DONATOR	
[4/17/23 12:35PM] Heropt used command ::altar | Player rights = TORMENTED_DONATOR	
[4/17/23 12:35PM] Heropt used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 12:39PM] Heropt used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/17/23 01:02PM] Heropt used command ::beigar | Player rights = TORMENTED_DONATOR	
[4/17/23 01:02PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 01:25PM] Heropt used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 01:32PM] Heropt used command ::::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 01:32PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 01:33PM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 01:33PM] Heropt used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 01:33PM] Heropt used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 02:01PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:02PM] Heropt used command ::a:veig | Player rights = TORMENTED_DONATOR	
[4/17/23 02:02PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 02:07PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:26PM] Heropt used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 02:32PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 02:33PM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 02:33PM] Heropt used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 02:45PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:50PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:51PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:51PM] Heropt used command ::hom | Player rights = TORMENTED_DONATOR	
[4/17/23 02:51PM] Heropt used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 02:59PM] Heropt used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/17/23 03:02PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:30PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:30PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:32PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:33PM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 03:34PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:42PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:43PM] Heropt used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 03:46PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:47PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:47PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:54PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:54PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:57PM] Heropt used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 03:57PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:57PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:58PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:59PM] Heropt used command ::myudr | Player rights = TORMENTED_DONATOR	
[4/17/23 03:59PM] Heropt used command ::mydr | Player rights = TORMENTED_DONATOR	
[4/17/23 04:02PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:06PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:07PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:23PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 04:33PM] Heropt used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 04:33PM] Heropt used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 04:38PM] Heropt used command ::mydr | Player rights = TORMENTED_DONATOR	
[4/17/23 04:44PM] Heropt used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 05:02PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 01:39PM] Heropt used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Heropt used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Heropt used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Heropt used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 01:45PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 02:11PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:35PM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:37PM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:41PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:43PM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:56PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:56PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 05:58PM] Heropt used command ::mydr | Player rights = MYSTICAL_DONATOR	
[4/18/23 06:08PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/18/23 06:11PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:40AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:48AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:49AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:49AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:01AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:06AM] Heropt used command ::ref | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:19AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:19AM] Heropt used command ::totem | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:19AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:21AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:42AM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:42AM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:50AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:52AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:56AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:57AM] Heropt used command ::mydr | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:19AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:20AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:21AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:23AM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:23AM] Heropt used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:24AM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:25AM] Heropt used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:26AM] Heropt used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:46AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:49AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:49AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:50AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:06AM] Heropt used command ::mydr | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:13AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:13AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:13AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:13AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:16AM] Heropt used command ::mydr | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:17AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:19AM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:20AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:21AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:24AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:26AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:26AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:27AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:29AM] Heropt used command :::fps | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:30AM] Heropt used command ::fps | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:30AM] Heropt used command ::hideplayers | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:30AM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:30AM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:31AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:34AM] Heropt used command ::::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:34AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:38AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:42AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:45AM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:47AM] Heropt used command ::glden | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:47AM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:47AM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:49AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:49AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:54AM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:10AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:14AM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:19AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:20AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:20AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:20AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:21AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:22AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 11:45AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 12:49PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 12:50PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 12:51PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:19PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:20PM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:22PM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:34PM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:34PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:35PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:35PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:35PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:36PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 01:36PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:28PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:28PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:28PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:29PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:29PM] Heropt used command ::Afk | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:29PM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:29PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:01PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:19PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:20PM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:21PM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:23PM] Heropt used command ::Pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:23PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:24PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:24PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:24PM] Heropt used command ::Pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:24PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:39PM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:41PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:41PM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:41PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:50PM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:06PM] Heropt used command ::my | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:06PM] Heropt used command ::mydr | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:08PM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:08PM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:09PM] Heropt used command ::mydr | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:31AM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:31AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:32AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:32AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:32AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:34AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:35AM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:02AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:03AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:13AM] Heropt used command ::mydr | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:26AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:32AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:34AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:35AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:36AM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:38AM] Heropt used command ::votebsos | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:38AM] Heropt used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:50AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 06:55AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:03AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:08AM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:09AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:12AM] Heropt used command ::home | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:17AM] Heropt used command ::po | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:17AM] Heropt used command ::pso | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:17AM] Heropt used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:25AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:25AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:32AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:34AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:34AM] Heropt used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 07:40AM] Heropt used command ::Pos | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:28AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:29AM] Heropt used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:31AM] Heropt used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:32AM] Heropt used command ::::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:32AM] Heropt used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 08:33AM] Heropt used command ::veigar | Player rights = MYSTICAL_DONATOR	
