[4/18/23 06:45PM] Igotplugz used command ::ref fpk merk | Player rights = PLAYER	
[4/21/23 08:29PM] Igotplugz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:31PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34PM] Igotplugz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Igotplugz used command ::store | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35PM] Igotplugz used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:03PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:32PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:34PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:51PM] Igotplugz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:52PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:52PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:52PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:57PM] Igotplugz used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:58PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:02PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:15PM] Igotplugz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:19PM] Igotplugz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:20PM] Igotplugz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:23PM] Igotplugz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:25PM] Igotplugz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:27PM] Igotplugz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:29PM] Igotplugz used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:32PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:33PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34PM] Igotplugz used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:02PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:08PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:02PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:32PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:34PM] Igotplugz used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:41PM] Igotplugz used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:42PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:42PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:43PM] Igotplugz used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:44PM] Igotplugz used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:45PM] Igotplugz used command ::yell 42/50 for vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:49PM] Igotplugz used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:02PM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:08PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:08PM] Igotplugz used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:12PM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:03AM] Igotplugz used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:11AM] Igotplugz used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:43AM] Igotplugz used command ::afk | Player rights = CLERIC_DONATOR	
