[4/20/23 07:35AM] Jordu used command ::vboss | Player rights = PLAYER	
[4/23/23 02:58PM] Jordu used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 03:00PM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:03PM] Jordu used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 03:03PM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:04PM] Jordu used command ::noble | Player rights = CLERIC_DONATOR	
[4/23/23 03:04PM] Jordu used command ::ref noble | Player rights = CLERIC_DONATOR	
[4/23/23 03:06PM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:17PM] Jordu used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/23/23 03:31PM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:32PM] Jordu used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 03:33PM] Jordu used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:02AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:03AM] Jordu used command ::vote | Player rights = CLERIC_DONATOR	
[4/24/23 09:06AM] Jordu used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/24/23 09:15AM] Jordu used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/24/23 09:16AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:18AM] Jordu used command ::yellowveigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:21AM] Jordu used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 09:24AM] Jordu used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 09:25AM] Jordu used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:26AM] Jordu used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/24/23 09:31AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:32AM] Jordu used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 09:33AM] Jordu used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:33AM] Jordu used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/24/23 09:33AM] Jordu used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:34AM] Jordu used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:40AM] Jordu used command ::yell if double droprate is 100 is it always giving double drop then ? | Player rights = CLERIC_DONATOR	
[4/24/23 10:01AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 10:30AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 10:32AM] Jordu used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 10:33AM] Jordu used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 10:44AM] Jordu used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 03:56AM] Jordu used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/25/23 04:01AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:09AM] Jordu used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/25/23 04:13AM] Jordu used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 04:15AM] Jordu used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/25/23 04:31AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:33AM] Jordu used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 04:35AM] Jordu used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 04:36AM] Jordu used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 04:58AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 05:01AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 05:04AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 05:08AM] Jordu used command ::yell xtc i can buy it | Player rights = CLERIC_DONATOR	
[4/25/23 05:16AM] Jordu used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 05:31AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 05:33AM] Jordu used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 05:35AM] Jordu used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 05:37AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 05:47AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 06:49AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 06:51AM] Jordu used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/25/23 06:56AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 07:01AM] Jordu used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 07:03AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 07:05AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 07:21AM] Jordu used command ::pos | Player rights = CLERIC_DONATOR	
