[4/19/23 05:49PM] Xzarbraz used command ::refer | Player rights = PLAYER	
[4/20/23 08:12AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 08:15AM] Xzarbraz used command ::afkshop | Player rights = PLAYER	
[4/20/23 08:15AM] Xzarbraz used command ::pickaxe | Player rights = PLAYER	
[4/20/23 08:15AM] Xzarbraz used command ::commands | Player rights = PLAYER	
[4/20/23 08:15AM] Xzarbraz used command ::shops | Player rights = PLAYER	
[4/20/23 08:15AM] Xzarbraz used command :::shops | Player rights = PLAYER	
[4/20/23 08:15AM] Xzarbraz used command ::commands | Player rights = PLAYER	
[4/20/23 08:16AM] Xzarbraz used command ::afk | Player rights = PLAYER	
[4/20/23 08:17AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 08:17AM] Xzarbraz used command ::afk | Player rights = PLAYER	
[4/20/23 09:26AM] Xzarbraz used command ::voteboss | Player rights = PLAYER	
[4/20/23 09:30AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 10:00AM] Xzarbraz used command ::Afk | Player rights = PLAYER	
[4/20/23 10:19AM] Xzarbraz used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:22AM] Xzarbraz used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:26AM] Xzarbraz used command ::veigar | Player rights = PLAYER	
[4/20/23 10:27AM] Xzarbraz used command ::meruem | Player rights = PLAYER	
[4/20/23 10:31AM] Xzarbraz used command ::golden | Player rights = PLAYER	
[4/20/23 10:31AM] Xzarbraz used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:32AM] Xzarbraz used command ::meruem | Player rights = PLAYER	
[4/20/23 10:32AM] Xzarbraz used command ::golden | Player rights = PLAYER	
[4/20/23 10:32AM] Xzarbraz used command ::golden | Player rights = PLAYER	
[4/20/23 10:34AM] Xzarbraz used command ::veigar | Player rights = PLAYER	
[4/20/23 10:38AM] Xzarbraz used command ::ninetails | Player rights = PLAYER	
[4/20/23 10:42AM] Xzarbraz used command ::meruem | Player rights = PLAYER	
[4/20/23 10:45AM] Xzarbraz used command ::golden | Player rights = PLAYER	
[4/20/23 10:46AM] Xzarbraz used command ::golden | Player rights = PLAYER	
[4/20/23 10:46AM] Xzarbraz used command ::golden | Player rights = PLAYER	
[4/20/23 10:47AM] Xzarbraz used command ::voteboss | Player rights = PLAYER	
[4/20/23 10:49AM] Xzarbraz used command ::viegar | Player rights = PLAYER	
[4/20/23 10:49AM] Xzarbraz used command ::Veigar | Player rights = PLAYER	
[4/20/23 10:51AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 10:54AM] Xzarbraz used command ::voteboss | Player rights = PLAYER	
[4/20/23 11:07AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 11:18AM] Xzarbraz used command ::viegar | Player rights = PLAYER	
[4/20/23 11:18AM] Xzarbraz used command ::veigar | Player rights = PLAYER	
[4/20/23 11:21AM] Xzarbraz used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:22AM] Xzarbraz used command ::meruem | Player rights = PLAYER	
[4/20/23 11:23AM] Xzarbraz used command ::slayer | Player rights = PLAYER	
[4/20/23 11:23AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 11:24AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 11:34AM] Xzarbraz used command ::afk | Player rights = PLAYER	
[4/20/23 11:38AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 11:39AM] Xzarbraz used command ::afk | Player rights = PLAYER	
[4/20/23 11:45AM] Xzarbraz used command ::mining | Player rights = PLAYER	
[4/20/23 11:45AM] Xzarbraz used command ::mine | Player rights = PLAYER	
[4/20/23 11:45AM] Xzarbraz used command ::skill | Player rights = PLAYER	
[4/20/23 11:45AM] Xzarbraz used command ::skilltele | Player rights = PLAYER	
[4/20/23 11:47AM] Xzarbraz used command ::::afk | Player rights = PLAYER	
[4/20/23 11:47AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 11:47AM] Xzarbraz used command ::pos | Player rights = PLAYER	
[4/20/23 11:49AM] Xzarbraz used command ::Veigar | Player rights = PLAYER	
[4/20/23 11:52AM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 12:17PM] Xzarbraz used command ::vb | Player rights = PLAYER	
[4/20/23 12:17PM] Xzarbraz used command ::vboss | Player rights = PLAYER	
[4/20/23 12:19PM] Xzarbraz used command ::Veigar | Player rights = PLAYER	
[4/20/23 12:20PM] Xzarbraz used command ::ninetails | Player rights = PLAYER	
[4/20/23 12:21PM] Xzarbraz used command ::vboss | Player rights = PLAYER	
[4/20/23 12:22PM] Xzarbraz used command ::golden | Player rights = PLAYER	
[4/20/23 12:22PM] Xzarbraz used command ::golden | Player rights = PLAYER	
[4/20/23 12:22PM] Xzarbraz used command ::vboss | Player rights = PLAYER	
[4/20/23 12:44PM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 01:19PM] Xzarbraz used command ::Veigar | Player rights = PLAYER	
[4/20/23 01:21PM] Xzarbraz used command ::ninetails | Player rights = PLAYER	
[4/20/23 01:21PM] Xzarbraz used command ::meruem | Player rights = PLAYER	
[4/20/23 01:23PM] Xzarbraz used command ::golden | Player rights = PLAYER	
[4/20/23 01:23PM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 01:31PM] Xzarbraz used command ::vboss | Player rights = PLAYER	
[4/20/23 01:40PM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/20/23 01:49PM] Xzarbraz used command ::veigar | Player rights = PLAYER	
[4/20/23 02:00PM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/21/23 03:49PM] Xzarbraz used command ::elo | Player rights = PLAYER	
[4/21/23 04:35PM] Xzarbraz used command ::meruem | Player rights = PLAYER	
[4/21/23 04:36PM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/21/23 04:36PM] Xzarbraz used command ::afk | Player rights = PLAYER	
[4/21/23 05:15PM] Xzarbraz used command ::refer | Player rights = PLAYER	
[4/21/23 07:02PM] Xzarbraz used command ::veigar | Player rights = PLAYER	
[4/21/23 07:04PM] Xzarbraz used command ::veigar | Player rights = PLAYER	
[4/21/23 07:04PM] Xzarbraz used command ::afk | Player rights = PLAYER	
[4/21/23 09:57PM] Xzarbraz used command ::vboss | Player rights = PLAYER	
[4/21/23 10:02PM] Xzarbraz used command ::veigar | Player rights = PLAYER	
[4/21/23 10:04PM] Xzarbraz used command ::afk | Player rights = PLAYER	
[4/21/23 10:20PM] Xzarbraz used command ::meruem | Player rights = PLAYER	
[4/21/23 10:32PM] Xzarbraz used command ::veigar | Player rights = PLAYER	
[4/21/23 10:33PM] Xzarbraz used command ::ninetails | Player rights = PLAYER	
[4/21/23 10:34PM] Xzarbraz used command ::meruem | Player rights = PLAYER	
[4/21/23 10:36PM] Xzarbraz used command ::afk | Player rights = PLAYER	
[4/21/23 11:00PM] Xzarbraz used command ::home | Player rights = PLAYER	
[4/23/23 11:44AM] Xzarbraz used command ::vboss | Player rights = PLAYER	
[4/23/23 11:54AM] Xzarbraz used command ::Veigar | Player rights = PLAYER	
[4/23/23 11:54AM] Xzarbraz used command ::ninetails | Player rights = PLAYER	
[4/23/23 11:55AM] Xzarbraz used command ::home | Player rights = PLAYER	
