[4/22/23 07:39PM] Roger used command ::Voteboss | Player rights = PLAYER	
[4/24/23 08:33AM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 08:56AM] Roger used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 09:01AM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:03AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 09:03AM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 09:03AM] Roger used command ::home | Player rights = CLERIC_DONATOR	
[4/24/23 09:04AM] Roger used command ::wr3ckedyou | Player rights = CLERIC_DONATOR	
[4/24/23 09:05AM] Roger used command ::wr3ckedyou | Player rights = CLERIC_DONATOR	
[4/24/23 09:07AM] Roger used command ::Home | Player rights = CLERIC_DONATOR	
[4/24/23 09:08AM] Roger used command ::slayer | Player rights = CLERIC_DONATOR	
[4/24/23 09:16AM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:21AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 09:24AM] Roger used command ::meruen | Player rights = CLERIC_DONATOR	
[4/24/23 09:24AM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 09:25AM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 09:26AM] Roger used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 09:29AM] Roger used command ::yellowzone | Player rights = CLERIC_DONATOR	
[4/24/23 09:29AM] Roger used command ::wzone | Player rights = CLERIC_DONATOR	
[4/24/23 09:29AM] Roger used command ::wzone | Player rights = CLERIC_DONATOR	
[4/24/23 09:29AM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 09:32AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 09:33AM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 11:32AM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 11:32AM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 11:34AM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 11:34AM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 11:34AM] Roger used command ::meruen | Player rights = CLERIC_DONATOR	
[4/24/23 11:34AM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 11:34AM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 12:01PM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 12:06PM] Roger used command ::ref noble | Player rights = CLERIC_DONATOR	
[4/24/23 12:16PM] Roger used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/24/23 12:16PM] Roger used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/24/23 12:20PM] Roger used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 12:22PM] Roger used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/24/23 12:30PM] Roger used command ::slayer | Player rights = CLERIC_DONATOR	
[4/24/23 12:31PM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 12:32PM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 12:32PM] Roger used command ::dropon | Player rights = CLERIC_DONATOR	
[4/24/23 12:33PM] Roger used command ::Meruem | Player rights = CLERIC_DONATOR	
[4/24/23 12:34PM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 01:29PM] Roger used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/24/23 01:30PM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 01:32PM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 01:43PM] Roger used command ::slayer | Player rights = CLERIC_DONATOR	
[4/24/23 02:02PM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:03PM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 02:31PM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:32PM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 02:32PM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 02:47PM] Roger used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 02:47PM] Roger used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 02:47PM] Roger used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/24/23 02:48PM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:51PM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 02:54PM] Roger used command ::MERUEM | Player rights = CLERIC_DONATOR	
[4/24/23 02:54PM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 02:56PM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 03:00PM] Roger used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 03:02PM] Roger used command ::slayer | Player rights = CLERIC_DONATOR	
[4/25/23 08:38AM] Roger used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 08:39AM] Roger used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/25/23 08:42AM] Roger used command ::Home | Player rights = CLERIC_DONATOR	
[4/25/23 08:58AM] Roger used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 09:35AM] Roger used command ::npc malvek | Player rights = CLERIC_DONATOR	
[4/25/23 02:52PM] Roger used command ::noble | Player rights = CLERIC_DONATOR	
[4/25/23 03:31PM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/25/23 03:32PM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 03:34PM] Roger used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 03:35PM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 03:35PM] Roger used command ::Home | Player rights = CLERIC_DONATOR	
[4/25/23 03:58PM] Roger used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/25/23 04:02PM] Roger used command ::slayer | Player rights = CLERIC_DONATOR	
[4/25/23 04:04PM] Roger used command ::slayer | Player rights = CLERIC_DONATOR	
[4/25/23 04:04PM] Roger used command ::slayer | Player rights = CLERIC_DONATOR	
[4/25/23 04:08PM] Roger used command ::Slayer | Player rights = CLERIC_DONATOR	
[4/25/23 04:10PM] Roger used command ::slayer | Player rights = CLERIC_DONATOR	
[4/25/23 04:12PM] Roger used command ::slayer | Player rights = CLERIC_DONATOR	
[4/25/23 04:30PM] Roger used command ::Dr | Player rights = CLERIC_DONATOR	
[4/25/23 04:31PM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:32PM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 04:34PM] Roger used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 04:35PM] Roger used command ::Home | Player rights = CLERIC_DONATOR	
[4/25/23 04:36PM] Roger used command ::Vote | Player rights = CLERIC_DONATOR	
[4/25/23 05:20PM] Roger used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/25/23 05:23PM] Roger used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 05:25PM] Roger used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 08:02PM] Roger used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/25/23 08:02PM] Roger used command ::Vote | Player rights = CLERIC_DONATOR	
[4/25/23 08:03PM] Roger used command ::ninetails | Player rights = CLERIC_DONATOR	
