[4/15/23 06:12PM] Professor used command ::vote | Player rights = PLAYER	
[4/16/23 09:24AM] Professor used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:24AM] Professor used command ::meruem | Player rights = PLAYER	
[4/16/23 09:40AM] Professor used command ::meruem | Player rights = PLAYER	
[4/16/23 09:42AM] Professor used command ::veigar | Player rights = PLAYER	
[4/16/23 09:44AM] Professor used command ::ninetails | Player rights = PLAYER	
[4/16/23 09:45AM] Professor used command ::golden | Player rights = PLAYER	
[4/16/23 09:46AM] Professor used command ::Golden | Player rights = PLAYER	
[4/16/23 09:47AM] Professor used command ::vote boss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Professor used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:48AM] Professor used command ::yell TARN RSPS 2023!!!!!!!!!! | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Professor used command ::meurem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Professor used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:43AM] Professor used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:50AM] Professor used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:50AM] Professor used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:52AM] Professor used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:53AM] Professor used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:57AM] Professor used command ::Yell buying coll neck pm me! | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:42PM] Professor used command ::body | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:53PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:22PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23PM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:24PM] Professor used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:34PM] Professor used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:41PM] Professor used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:53PM] Professor used command ::veigaR | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:39AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40AM] Professor used command ::nine | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:40AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:47AM] Professor used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:55AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:56AM] Professor used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:58AM] Professor used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:04AM] Professor used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:10AM] Professor used command ::veigart | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:10AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:10AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:39AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:41AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:09AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:12AM] Professor used command ::yell thanks peep! | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:39AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:41AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:42AM] Professor used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:43AM] Professor used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:03AM] Professor used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:06AM] Professor used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:09AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:08AM] Professor used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:09AM] Professor used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:10AM] Professor used command ::Yell peep get yo ass to veigar bro  | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:14AM] Professor used command ::store | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:39AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:41AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:42AM] Professor used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:45AM] Professor used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:33PM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:34PM] Professor used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 01:03PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:15AM] Professor used command ::starter | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:15AM] Professor used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:16AM] Professor used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:41AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 03:42AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:08AM] Professor used command ::buff | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:09AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:40AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:43AM] Professor used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:44AM] Professor used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:06AM] Professor used command ::buff | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:10AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:32AM] Professor used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:42AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:56AM] Professor used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:11PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:17PM] Professor used command ::home | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:29PM] Professor used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:40PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:40PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Professor used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:12PM] Professor used command ::Store | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:54PM] Professor used command ::yell is pos down? | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:57PM] Professor used command ::wr3cked | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:58PM] Professor used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:19PM] Professor used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:22PM] Professor used command ::Yell buying votes 17.5k ea | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:22PM] Professor used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:25PM] Professor used command ::yell buying votes 17.5k ea | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:27PM] Professor used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:34PM] Professor used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:37PM] Professor used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:38PM] Professor used command ::yell buying 40 votes for 25$ bond | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:39PM] Professor used command ::Yell sell 25 bond pm | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:02PM] Professor used command ::yell selling bonds, buying votes | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:12PM] Professor used command ::yell selling bonds buying votes pm me | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:13PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:17PM] Professor used command ::Yell buying votes selling bonds pm me | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:20PM] Professor used command ::yell crystal come home ill sell u some | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:23PM] Professor used command ::yell selling bonds buying votes | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:29PM] Professor used command ::Yell selling bonds buying votes | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:29PM] Professor used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:33PM] Professor used command ::yell only read pm | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:36PM] Professor used command ::Yell buying 1 vote 25k | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:36PM] Professor used command ::Yell buying 1 vote at home 25k | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:41PM] Professor used command ::yell buying votes pm me!!! | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:42PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:45PM] Professor used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:55AM] Professor used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:09AM] Professor used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:10AM] Professor used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:11AM] Professor used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:19AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:21AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:23AM] Professor used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:19AM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:21AM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:34PM] Professor used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:32PM] Professor used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:33PM] Professor used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:34PM] Professor used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:35PM] Professor used command ::golden | Player rights = GRACEFUL_DONATOR	
