[4/17/23 12:03PM] Cyber used command ::ref fpk merk | Player rights = PLAYER	
[4/17/23 12:51PM] Cyber used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:59PM] Cyber used command ::slayer | Player rights = CLERIC_DONATOR	
[4/17/23 12:59PM] Cyber used command ::task | Player rights = CLERIC_DONATOR	
[4/17/23 01:00PM] Cyber used command ::Dr | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Cyber used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Cyber used command ::Dr | Player rights = CLERIC_DONATOR	
[4/17/23 01:11PM] Cyber used command ::Dissolveall | Player rights = CLERIC_DONATOR	
[4/17/23 01:11PM] Cyber used command ::dall | Player rights = CLERIC_DONATOR	
[4/17/23 01:11PM] Cyber used command ::dissolve | Player rights = CLERIC_DONATOR	
[4/17/23 01:12PM] Cyber used command ::voted | Player rights = CLERIC_DONATOR	
[4/17/23 01:12PM] Cyber used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 01:12PM] Cyber used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Cyber used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:05PM] Cyber used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 09:06PM] Cyber used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 09:11PM] Cyber used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:12PM] Cyber used command ::dr | Player rights = CLERIC_DONATOR	
[4/18/23 09:12PM] Cyber used command ::voted | Player rights = CLERIC_DONATOR	
[4/18/23 09:12PM] Cyber used command ::reward 1 all | Player rights = CLERIC_DONATOR	
