[4/17/23 04:59AM] Fishnoob used command ::ref | Player rights = PLAYER	
[4/20/23 06:19AM] Fishnoob used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21AM] Fishnoob used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:22AM] Fishnoob used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:25AM] Fishnoob used command ::Pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:26AM] Fishnoob used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:26AM] Fishnoob used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:26AM] Fishnoob used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:28AM] Fishnoob used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:32AM] Fishnoob used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49AM] Fishnoob used command ::vegiar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49AM] Fishnoob used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:01AM] Fishnoob used command ::HOme | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:03AM] Fishnoob used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:05AM] Fishnoob used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:13AM] Fishnoob used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:21AM] Fishnoob used command ::shops | Player rights = CLERIC_DONATOR	
[4/21/23 06:32AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:34AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Fishnoob used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Fishnoob used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:42AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:51AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:53AM] Fishnoob used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 07:02AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:07AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:09AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:33AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:36AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:52AM] Fishnoob used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 07:53AM] Fishnoob used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 07:53AM] Fishnoob used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 07:53AM] Fishnoob used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 07:53AM] Fishnoob used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 07:54AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:57AM] Fishnoob used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:58AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:59AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:01AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:04AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:05AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:09AM] Fishnoob used command ::ps | Player rights = CLERIC_DONATOR	
[4/21/23 08:09AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:11AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:15AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:26AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:28AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:28AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:29AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:29AM] Fishnoob used command ::vegiar | Player rights = CLERIC_DONATOR	
[4/21/23 08:29AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:29AM] Fishnoob used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Fishnoob used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Fishnoob used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Fishnoob used command ::mureum | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Fishnoob used command ::mureum | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Fishnoob used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Fishnoob used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:41AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:41AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:42AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Fishnoob used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:44AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:47AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:48AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:49AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:50AM] Fishnoob used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:52AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:53AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:55AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:56AM] Fishnoob used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:57AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:58AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:02AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:08AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:27AM] Fishnoob used command ::empty | Player rights = CLERIC_DONATOR	
[4/22/23 01:45AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:49AM] Fishnoob used command ::POS | Player rights = CLERIC_DONATOR	
[4/22/23 01:50AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:58AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:03AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:13AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:22AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:32AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:34AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:36AM] Fishnoob used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:37AM] Fishnoob used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:39AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:49AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:49AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:49AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:50AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:02AM] Fishnoob used command ::veiga | Player rights = CLERIC_DONATOR	
[4/22/23 03:02AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:32AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:32AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:34AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 03:40AM] Fishnoob used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 03:42AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 03:42AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:02AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:06AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:07AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:07AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:10AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:10AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:11AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:18AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:23AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:24AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:32AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 04:34AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 04:34AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:35AM] Fishnoob used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 04:36AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:36AM] Fishnoob used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 04:36AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:37AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:37AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:40AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:43AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:43AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:43AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 04:58AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:02AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:06AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:09AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:09AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:25AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:32AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:33AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34AM] Fishnoob used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:35AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:36AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:36AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:36AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:37AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:41AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:43AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:48AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:51AM] Fishnoob used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 05:54AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:54AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:54AM] Fishnoob used command ::Home | Player rights = CLERIC_DONATOR	
[4/22/23 05:55AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:55AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:02AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:02AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:04AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:07AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:30AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:32AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:33AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:34AM] Fishnoob used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:35AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:35AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:40AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:44AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:50AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:52AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:56AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:02AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:15AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:15AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:32AM] Fishnoob used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 07:34AM] Fishnoob used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:36AM] Fishnoob used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 07:37AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:38AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:38AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:39AM] Fishnoob used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:40AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:41AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:41AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:45AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:45AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:45AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/22/23 07:49AM] Fishnoob used command ::empty | Player rights = CLERIC_DONATOR	
[4/26/23 06:31AM] Fishnoob used command ::riads | Player rights = CLERIC_DONATOR	
[4/26/23 06:31AM] Fishnoob used command ::raids | Player rights = CLERIC_DONATOR	
[4/26/23 06:34AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 06:36AM] Fishnoob used command ::Pos | Player rights = CLERIC_DONATOR	
[4/26/23 06:38AM] Fishnoob used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 06:42AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 06:45AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 06:47AM] Fishnoob used command ::pos | Player rights = CLERIC_DONATOR	
