[4/15/23 10:38AM] Tellur used command ::ref | Player rights = PLAYER	
[4/18/23 10:11AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:42AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:42AM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 10:43AM] Tellur used command ::Tasjs | Player rights = CLERIC_DONATOR	
[4/18/23 10:43AM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 11:11AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:26AM] Tellur used command ::kills | Player rights = CLERIC_DONATOR	
[4/18/23 12:00PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:16PM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Tellur used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/18/23 01:12PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:12PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:11PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:14PM] Tellur used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 02:18PM] Tellur used command ::ref | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42PM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:49PM] Tellur used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 02:50PM] Tellur used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 03:01PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 03:11PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:41PM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:11PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:15PM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 06:11PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:11PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:13PM] Tellur used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 08:29PM] Tellur used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 06:32AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:36AM] Tellur used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 06:41AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:47AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:53AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:01AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:10AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:20AM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:23AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:25AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:32AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:43AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:45AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:48AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:50AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:51AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:51AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:52AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:52AM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 07:54AM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 07:55AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:29AM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 08:32AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 08:46AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:47AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:55AM] Tellur used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 09:56AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:01AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:05AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:07AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:07AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:14AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:15AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:20AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:35AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:43AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:46AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:47AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:50AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:07AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:08AM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 11:13AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:15AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:16AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:17AM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:19AM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:28AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:41AM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 11:43AM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:44AM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Tellur used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Tellur used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 11:47AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:57AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:58AM] Tellur used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:01PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 12:08PM] Tellur used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 12:13PM] Tellur used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:14PM] Tellur used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Tellur used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:17PM] Tellur used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 12:18PM] Tellur used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 12:25PM] Tellur used command ::Tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 12:28PM] Tellur used command ::Tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 12:28PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:37PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:39PM] Tellur used command ::Tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 12:39PM] Tellur used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 12:41PM] Tellur used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 12:43PM] Tellur used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:45PM] Tellur used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 12:46PM] Tellur used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 12:50PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:52PM] Tellur used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 01:03PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 01:04PM] Tellur used command ::Tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 01:13PM] Tellur used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] Tellur used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 01:15PM] Tellur used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 01:17PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 01:18PM] Tellur used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/19/23 01:19PM] Tellur used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:19PM] Tellur used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/19/23 01:22PM] Tellur used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:23PM] Tellur used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 02:27PM] Tellur used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 02:29PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:42PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:43PM] Tellur used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 02:54PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:01PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:10PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:12PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:12PM] Tellur used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 03:13PM] Tellur used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 03:15PM] Tellur used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 03:16PM] Tellur used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 03:16PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:17PM] Tellur used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 03:19PM] Tellur used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:20PM] Tellur used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:26PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:26PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:27PM] Tellur used command ::tasks | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:29PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:32PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:35PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:40PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:40PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:43PM] Tellur used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:44PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:46PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:49PM] Tellur used command ::tasks | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:53PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 03:57PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:32PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:35PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:35PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:38PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:43PM] Tellur used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:00PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:12PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:13PM] Tellur used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:14PM] Tellur used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:15PM] Tellur used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:21PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:22PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:26PM] Tellur used command ::tasks | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:26PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:27PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:27PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:34PM] Tellur used command ::tasks | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:43PM] Tellur used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:54PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:59PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 05:59PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:11PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:13PM] Tellur used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:15PM] Tellur used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:15PM] Tellur used command ::Donate | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:16PM] Tellur used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:23PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:28PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:29PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:30PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:43PM] Tellur used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:07PM] Tellur used command ::poa | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:07PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:31PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:33PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:42PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:43PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:43PM] Tellur used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:46PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:47PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:50PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:52PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:53PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:55PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:56PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:56PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:57PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:58PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:59PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:01PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:13PM] Tellur used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:15PM] Tellur used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:18PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:19PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:22PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:23PM] Tellur used command ::collectionlog | Player rights = MYSTICAL_DONATOR	
[4/19/23 08:39PM] Tellur used command ::pos | Player rights = MYSTICAL_DONATOR	
