[4/19/23 12:12AM] Dio used command ::referal | Player rights = PLAYER	
[4/19/23 06:54AM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:09AM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:09AM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:12AM] Dio used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:42PM] Dio used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:43PM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Dio used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Dio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Dio used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:47PM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:49PM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:50PM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:50PM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:50PM] Dio used command ::refer | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:56PM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:11PM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:13PM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Dio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Dio used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Dio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:16PM] Dio used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:19PM] Dio used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:21PM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:23PM] Dio used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:43PM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:18PM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:19PM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:43PM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:11PM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:13PM] Dio used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:13PM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:15PM] Dio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:50AM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:19AM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:21AM] Dio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:49AM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:52AM] Dio used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:54AM] Dio used command ::reward1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:54AM] Dio used command ::reward1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:54AM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:54AM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:54AM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:54AM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:54AM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:54AM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:54AM] Dio used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:58AM] Dio used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:19AM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:21AM] Dio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:34AM] Dio used command ::::perks | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:34AM] Dio used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:36AM] Dio used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:41AM] Dio used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:41AM] Dio used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:45AM] Dio used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:46AM] Dio used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:48AM] Dio used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:49AM] Dio used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:53AM] Dio used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:54AM] Dio used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:54AM] Dio used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:06AM] Dio used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:08AM] Dio used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:10AM] Dio used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:13AM] Dio used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:14AM] Dio used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:19AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:21AM] Dio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 03:22AM] Dio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 03:24AM] Dio used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 03:27AM] Dio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 03:30AM] Dio used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 03:30AM] Dio used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 03:38AM] Dio used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 03:42AM] Dio used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 03:49AM] Dio used command ::veister | Player rights = CLERIC_DONATOR	
[4/20/23 03:49AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:19AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:21AM] Dio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 04:49AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:51AM] Dio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:18AM] Dio used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 05:19AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:21AM] Dio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:22AM] Dio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:24AM] Dio used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 05:43AM] Dio used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 05:44AM] Dio used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 05:47AM] Dio used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 05:49AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:52AM] Dio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:58AM] Dio used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:58AM] Dio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:58AM] Dio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:08AM] Dio used command ::setyellhex 0 | Player rights = CLERIC_DONATOR	
[4/20/23 06:09AM] Dio used command ::setyelltitle shitrng | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Dio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Dio used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Dio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:28AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:33AM] Dio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:02AM] Dio used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:20AM] Dio used command ::vaigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:20AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Dio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Dio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 09:50AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:51AM] Dio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:00AM] Dio used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 10:00AM] Dio used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 10:04AM] Dio used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 10:04AM] Dio used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Dio used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Dio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Dio used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Dio used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Dio used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 10:30AM] Dio used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 10:30AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 10:31AM] Dio used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 10:31AM] Dio used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 10:40AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 10:43AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 10:43AM] Dio used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 10:44AM] Dio used command ::claimvote | Player rights = TORMENTED_DONATOR	
[4/20/23 10:44AM] Dio used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 10:46AM] Dio used command ::golden | Player rights = TORMENTED_DONATOR	
[4/20/23 10:47AM] Dio used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 10:47AM] Dio used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 10:49AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 10:49AM] Dio used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 10:49AM] Dio used command ::yell letsgoo | Player rights = TORMENTED_DONATOR	
[4/20/23 10:54AM] Dio used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 11:16AM] Dio used command ::yell welcome | Player rights = TORMENTED_DONATOR	
[4/20/23 11:18AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 11:19AM] Dio used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 11:21AM] Dio used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 11:22AM] Dio used command ::mureum | Player rights = TORMENTED_DONATOR	
[4/20/23 11:22AM] Dio used command ::mureum | Player rights = TORMENTED_DONATOR	
[4/20/23 11:22AM] Dio used command ::muruem | Player rights = TORMENTED_DONATOR	
[4/20/23 11:22AM] Dio used command ::muruem | Player rights = TORMENTED_DONATOR	
[4/20/23 11:22AM] Dio used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 11:26AM] Dio used command ::yell welcome re | Player rights = TORMENTED_DONATOR	
[4/20/23 12:13PM] Dio used command ::upgrade | Player rights = TORMENTED_DONATOR	
[4/20/23 12:14PM] Dio used command ::upgrade | Player rights = TORMENTED_DONATOR	
[4/20/23 12:26PM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 12:26PM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 12:49PM] Dio used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 12:52PM] Dio used command ::yell welcome chainz | Player rights = TORMENTED_DONATOR	
[4/21/23 11:27AM] Dio used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 11:28AM] Dio used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:28AM] Dio used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:28AM] Dio used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:28AM] Dio used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:28AM] Dio used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:28AM] Dio used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:28AM] Dio used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:29AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:32AM] Dio used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:33AM] Dio used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Dio used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Dio used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:36AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:39AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:42AM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:09PM] Dio used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:25PM] Dio used command ::donate | Player rights = TORMENTED_DONATOR	
[4/21/23 12:27PM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:27PM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:28PM] Dio used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:30PM] Dio used command ::discord | Player rights = TORMENTED_DONATOR	
[4/21/23 12:32PM] Dio used command ::donate | Player rights = TORMENTED_DONATOR	
[4/21/23 12:32PM] Dio used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 12:33PM] Dio used command ::claim | Player rights = TORMENTED_DONATOR	
[4/21/23 12:33PM] Dio used command ::claim | Player rights = TORMENTED_DONATOR	
[4/21/23 12:34PM] Dio used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 12:35PM] Dio used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 12:40PM] Dio used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:49PM] Dio used command ::yell welcome yamaha ;) | Player rights = MYSTICAL_DONATOR	
[4/21/23 12:55PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:02PM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:04PM] Dio used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:05PM] Dio used command ::yell keep voting ;) | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:10PM] Dio used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:11PM] Dio used command ::yell 1 vote for vboss boysss | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:16PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:30PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:30PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:31PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:31PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:32PM] Dio used command ::beigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:32PM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:32PM] Dio used command ::yell veigar > ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:34PM] Dio used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:42PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 01:51PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:02PM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:31PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:31PM] Dio used command ::home | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:32PM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:33PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:33PM] Dio used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:33PM] Dio used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:33PM] Dio used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:34PM] Dio used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:34PM] Dio used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:35PM] Dio used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:43PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 02:43PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:02PM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:05PM] Dio used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/21/23 03:07PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:14PM] Dio used command ::d | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:14PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:14PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:15PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:15PM] Dio used command ::home | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:15PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:15PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:15PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:15PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:16PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:16PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:28PM] Dio used command ::collections | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:32PM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:34PM] Dio used command ::ninetails::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:34PM] Dio used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:35PM] Dio used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:36PM] Dio used command ::home | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:59PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 04:59PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:02PM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:09PM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:10PM] Dio used command ::home | Player rights = MYSTICAL_DONATOR	
[4/21/23 05:12PM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:32AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:32AM] Dio used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:34AM] Dio used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:34AM] Dio used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:34AM] Dio used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:34AM] Dio used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:02AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:32AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:37AM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:42AM] Dio used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:03AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 04:32AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:31AM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:32AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:40AM] Dio used command ::donate | Player rights = MYSTICAL_DONATOR	
[4/22/23 06:03AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:04AM] Dio used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:04AM] Dio used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:04AM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:04AM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:05AM] Dio used command ::fly | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:14AM] Dio used command ::yell 30/50 voteboss keep voting boys ;) | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:31AM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:31AM] Dio used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:32AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 07:33AM] Dio used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:32AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:57AM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:57AM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:01AM] Dio used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 10:18AM] Dio used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:04AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:04AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 11:04AM] Dio used command ::veigar | Player rights = MYSTICAL_DONATOR	
