[4/15/23 06:14AM] Toxic used command ::toggle | Player rights = PLAYER	
[4/15/23 09:23AM] Toxic used command ::Elo | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:26AM] Toxic used command ::yell Buying votes 22b each | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:26AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28AM] Toxic used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Toxic used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Toxic used command ::yell 9tails into ape | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Toxic used command ::yell Buying votes , scrolls , cape | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Toxic used command ::yell Buying votes , scrolls , cape | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Toxic used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31AM] Toxic used command ::Yell Buying votes , scrolls , cape | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:33AM] Toxic used command ::yell Buying votes (101b each) , scrolls / bonds , cape | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:40AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:40AM] Toxic used command ::heal | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:43AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:45AM] Toxic used command ::yell Buying votes , scrolls/bonds , cape (dm) | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:48AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:50AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:52AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:53AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:58AM] Toxic used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:11AM] Toxic used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:19AM] Toxic used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29AM] Toxic used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29AM] Toxic used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29AM] Toxic used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31AM] Toxic used command ::yell Buying votes , scrolls , cape | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:37AM] Toxic used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:59AM] Toxic used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:21AM] Toxic used command ::shops | Player rights = GRACEFUL_DONATOR	
