[4/23/23 05:09AM] I Ftw used command ::ref wr3ckedyou | Player rights = PLAYER	
[4/26/23 06:05AM] I Ftw used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:05AM] I Ftw used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:05AM] I Ftw used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:06AM] I Ftw used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:08AM] I Ftw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:09AM] I Ftw used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:10AM] I Ftw used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:12AM] I Ftw used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:15AM] I Ftw used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/26/23 06:16AM] I Ftw used command ::collection | Player rights = GRACEFUL_DONATOR	
