[4/15/23 05:02AM] Melti used command ::train | Player rights = PLAYER	
[4/15/23 07:29PM] Melti used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:44PM] Melti used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:44PM] Melti used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:45PM] Melti used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:45PM] Melti used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:49PM] Melti used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29PM] Melti used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:30PM] Melti used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:32PM] Melti used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:32PM] Melti used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:39PM] Melti used command ::dz | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:39PM] Melti used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:39PM] Melti used command ::donated 50000 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:16PM] Melti used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28PM] Melti used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Melti used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] Melti used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23AM] Melti used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25AM] Melti used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:26AM] Melti used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:28AM] Melti used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:53PM] Melti used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23PM] Melti used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23PM] Melti used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:24PM] Melti used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:25PM] Melti used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:28PM] Melti used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:31PM] Melti used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:57PM] Melti used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:00PM] Melti used command ::title | Player rights = CLERIC_DONATOR	
[4/16/23 02:00PM] Melti used command ::titles | Player rights = CLERIC_DONATOR	
[4/16/23 02:00PM] Melti used command ::title DOnator | Player rights = CLERIC_DONATOR	
[4/16/23 02:24PM] Melti used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:24PM] Melti used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:25PM] Melti used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Melti used command ::veigar | Player rights = CLERIC_DONATOR	
