[4/15/23 11:24AM] Bookie used command ::vote | Player rights = PLAYER	
[4/21/23 10:33AM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:34AM] Bookie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:02AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:16AM] Bookie used command ::yell sell coll  neck | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:31AM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:33AM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:35AM] Bookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:35AM] Bookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:36AM] Bookie used command ::gamble | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:37AM] Bookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:54AM] Bookie used command ::yell 2 25$ scrolls my pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:56AM] Bookie used command ::yell any1 buying bonds? | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:57AM] Bookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:00PM] Bookie used command ::yell 30$ my pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:01PM] Bookie used command ::yell cheap 30$ my pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:02PM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:05PM] Bookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:08PM] Bookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:10PM] Bookie used command ::yell 20 1$ my pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:11PM] Bookie used command ::yell any1 selling demon bow? | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:13PM] Bookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:32PM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:34PM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:35PM] Bookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:42PM] Bookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 12:59PM] Bookie used command ::ref fpk merk | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:02PM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:05PM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:05PM] Bookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:08PM] Bookie used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:32PM] Bookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:34PM] Bookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:35PM] Bookie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:35PM] Bookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 01:53PM] Bookie used command ::dzone | Player rights = CLERIC_DONATOR	
[4/21/23 01:53PM] Bookie used command ::Dz | Player rights = CLERIC_DONATOR	
[4/21/23 01:53PM] Bookie used command ::cleric | Player rights = CLERIC_DONATOR	
[4/21/23 02:02PM] Bookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:04PM] Bookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:04PM] Bookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:04PM] Bookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Bookie used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Bookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Bookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Bookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Bookie used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:01PM] Bookie used command ::fps | Player rights = CLERIC_DONATOR	
[4/23/23 12:05PM] Bookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:31PM] Bookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:32PM] Bookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 12:33PM] Bookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] Bookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:41PM] Bookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:41PM] Bookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:41PM] Bookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 01:01PM] Bookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:02PM] Bookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 01:02PM] Bookie used command ::golden | Player rights = CLERIC_DONATOR	
