[4/15/23 01:26AM] Rks used command ::refer walkchaos | Player rights = PLAYER	
[4/15/23 08:01AM] Rks used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03AM] Rks used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03AM] Rks used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:03AM] Rks used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:09AM] Rks used command ::walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:21AM] Rks used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:44AM] Rks used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:46AM] Rks used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:46AM] Rks used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:48AM] Rks used command ::walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:01AM] Rks used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12AM] Rks used command ::Voteboss# | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12AM] Rks used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:23AM] Rks used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:23AM] Rks used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:59PM] Rks used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:00PM] Rks used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:00PM] Rks used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:11PM] Rks used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:14PM] Rks used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:15PM] Rks used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:21PM] Rks used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:25PM] Rks used command ::dropmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:27PM] Rks used command ::col | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:27PM] Rks used command ::colmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:27PM] Rks used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:27PM] Rks used command ::dropmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:27PM] Rks used command ::collectionmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:28PM] Rks used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:28PM] Rks used command ::dropmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:28PM] Rks used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] Rks used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] Rks used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] Rks used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:30PM] Rks used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:30PM] Rks used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:31PM] Rks used command ::reward 1  | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:31PM] Rks used command ::reward 1  | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:48PM] Rks used command ::dropmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:48PM] Rks used command ::dropmesage | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:54PM] Rks used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:58PM] Rks used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:58PM] Rks used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:58PM] Rks used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:59PM] Rks used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:02PM] Rks used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:15PM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 02:27PM] Rks used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/15/23 02:29PM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 02:58PM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 03:01PM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 03:02PM] Rks used command ::elo | Player rights = CLERIC_DONATOR	
[4/15/23 03:03PM] Rks used command ::elo | Player rights = CLERIC_DONATOR	
[4/15/23 03:03PM] Rks used command ::elo | Player rights = CLERIC_DONATOR	
[4/15/23 03:05PM] Rks used command ::store | Player rights = CLERIC_DONATOR	
[4/15/23 03:17PM] Rks used command ::walkchaos | Player rights = CLERIC_DONATOR	
[4/15/23 03:26PM] Rks used command ::vboss | Player rights = CLERIC_DONATOR	
[4/15/23 03:28PM] Rks used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/15/23 03:31PM] Rks used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 03:33PM] Rks used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 03:39PM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 03:46PM] Rks used command ::afk | Player rights = CLERIC_DONATOR	
[4/15/23 03:47PM] Rks used command ::bank | Player rights = CLERIC_DONATOR	
[4/15/23 03:47PM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/15/23 11:24PM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 11:27PM] Rks used command ::vote | Player rights = CLERIC_DONATOR	
[4/15/23 11:27PM] Rks used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/15/23 11:27PM] Rks used command ::golden | Player rights = CLERIC_DONATOR	
[4/15/23 11:29PM] Rks used command ::vboss | Player rights = CLERIC_DONATOR	
[4/15/23 11:33PM] Rks used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/15/23 11:38PM] Rks used command ::Store | Player rights = CLERIC_DONATOR	
[4/15/23 11:43PM] Rks used command ::vboss | Player rights = CLERIC_DONATOR	
[4/15/23 11:44PM] Rks used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 11:53PM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:21AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 12:23AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24AM] Rks used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:27AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 12:53AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:58AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:27AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:28AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:30AM] Rks used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 01:31AM] Rks used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 01:53AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:55AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 01:57AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 02:12AM] Rks used command ::teleport | Player rights = CLERIC_DONATOR	
[4/16/23 02:20AM] Rks used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 02:23AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:25AM] Rks used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:26AM] Rks used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 02:26AM] Rks used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:27AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:56AM] Rks used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 02:57AM] Rks used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 03:23AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:25AM] Rks used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:27AM] Rks used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:28AM] Rks used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 03:28AM] Rks used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 03:29AM] Rks used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:29AM] Rks used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:29AM] Rks used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 03:29AM] Rks used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 03:55AM] Rks used command ::Store | Player rights = CLERIC_DONATOR	
[4/16/23 04:18AM] Rks used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:43AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:46AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:47AM] Rks used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Rks used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Rks used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Rks used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 04:50AM] Rks used command ::yell buying votes 20k ea !! home | Player rights = CLERIC_DONATOR	
[4/16/23 04:51AM] Rks used command ::yell buying all votes at home | Player rights = CLERIC_DONATOR	
[4/16/23 04:56AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:56AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 04:57AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:08AM] Rks used command ::Dr | Player rights = CLERIC_DONATOR	
[4/16/23 05:10AM] Rks used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 05:12AM] Rks used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 05:18AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 05:21AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 05:23AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] Rks used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] Rks used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:26AM] Rks used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:28AM] Rks used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:29AM] Rks used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:30AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 05:56AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 05:59AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 06:00AM] Rks used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 06:00AM] Rks used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 06:04AM] Rks used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:27AM] Rks used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] Rks used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Rks used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Rks used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Rks used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Rks used command ::Golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Rks used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 06:31AM] Rks used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 06:32AM] Rks used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 01:31PM] Rks used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 01:51PM] Rks used command ::home | Player rights = TORMENTED_DONATOR	
[4/16/23 01:57PM] Rks used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/16/23 02:00PM] Rks used command ::home | Player rights = MYSTICAL_DONATOR	
[4/16/23 02:05PM] Rks used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/16/23 02:23PM] Rks used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/16/23 02:23PM] Rks used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/16/23 02:24PM] Rks used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/16/23 02:24PM] Rks used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/16/23 02:24PM] Rks used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/16/23 02:54PM] Rks used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/16/23 02:56PM] Rks used command ::home | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:46PM] Rks used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:49PM] Rks used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:49PM] Rks used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:50PM] Rks used command ::reward 1 all | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:50PM] Rks used command ::home | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:51PM] Rks used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:52PM] Rks used command ::store | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:53PM] Rks used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:53PM] Rks used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:53PM] Rks used command ::home | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:55PM] Rks used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/16/23 11:57PM] Rks used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/17/23 12:01AM] Rks used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 12:07AM] Rks used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/17/23 12:07AM] Rks used command ::home | Player rights = MYSTICAL_DONATOR	
[4/17/23 12:07AM] Rks used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/17/23 12:13AM] Rks used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/17/23 12:25AM] Rks used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/17/23 12:30AM] Rks used command ::maxhit | Player rights = MYSTICAL_DONATOR	
[4/17/23 12:43AM] Rks used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:23AM] Rks used command ::home | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:33AM] Rks used command ::yell hurry POS event cheap items !! :D | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:33AM] Rks used command ::yell I quit | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:37AM] Rks used command ::yell bye guys! crazy0g#2382  on discord  | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:38AM] Rks used command ::yell ruthie buying bonds from my shop | Player rights = MYSTICAL_DONATOR	
[4/19/23 10:27AM] Rks used command ::home | Player rights = PLAYER	
[4/19/23 10:43AM] Rks used command ::dzone | Player rights = PLAYER	
[4/19/23 10:43AM] Rks used command ::duel | Player rights = PLAYER	
[4/19/23 10:43AM] Rks used command ::gamble | Player rights = PLAYER	
[4/19/23 10:45AM] Rks used command ::bank | Player rights = PLAYER	
[4/19/23 10:47AM] Rks used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 10:53AM] Rks used command ::pos | Player rights = PLAYER	
[4/19/23 10:53AM] Rks used command :::bank | Player rights = PLAYER	
[4/19/23 10:54AM] Rks used command ::pos | Player rights = PLAYER	
[4/19/23 10:54AM] Rks used command ::home | Player rights = PLAYER	
[4/19/23 10:55AM] Rks used command ::gamble | Player rights = PLAYER	
[4/19/23 11:14AM] Rks used command ::veigar | Player rights = PLAYER	
[4/19/23 11:15AM] Rks used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:16AM] Rks used command ::meruem | Player rights = PLAYER	
[4/19/23 11:17AM] Rks used command ::golden | Player rights = PLAYER	
[4/19/23 11:18AM] Rks used command ::home | Player rights = PLAYER	
[4/19/23 11:20AM] Rks used command ::Vboss | Player rights = PLAYER	
[4/19/23 11:21AM] Rks used command ::home | Player rights = PLAYER	
[4/19/23 11:21AM] Rks used command ::home | Player rights = PLAYER	
