[4/15/23 04:42AM] Boterkoek used command ::starter | Player rights = PLAYER	
[4/15/23 09:28AM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:29AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30AM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:54AM] Boterkoek used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:58AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:00PM] Boterkoek used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:03PM] Boterkoek used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:17PM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:26PM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:28PM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:29PM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:30PM] Boterkoek used command ::muruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:30PM] Boterkoek used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:31PM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:31PM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:31PM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:35PM] Boterkoek used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:36PM] Boterkoek used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:50PM] Boterkoek used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:55PM] Boterkoek used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:58PM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:16PM] Boterkoek used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:25PM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:27PM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:29PM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:44PM] Boterkoek used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:49PM] Boterkoek used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:51PM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:52PM] Boterkoek used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:52PM] Boterkoek used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:53PM] Boterkoek used command ::dropmessage | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:54PM] Boterkoek used command :::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:56PM] Boterkoek used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:58PM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:06PM] Boterkoek used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:06PM] Boterkoek used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:06PM] Boterkoek used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:15PM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:17PM] Boterkoek used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:18PM] Boterkoek used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:19PM] Boterkoek used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:20PM] Boterkoek used command ::well | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:22PM] Boterkoek used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:26PM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:28PM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:59PM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:26PM] Boterkoek used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:27PM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:31PM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:33PM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:37PM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:48PM] Boterkoek used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:58PM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:15PM] Boterkoek used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:28PM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:31PM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:35PM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:36PM] Boterkoek used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:36PM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:55AM] Boterkoek used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:55AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:55AM] Boterkoek used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:56AM] Boterkoek used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:56AM] Boterkoek used command ::claimvotes | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:56AM] Boterkoek used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:56AM] Boterkoek used command ::claimall | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:57AM] Boterkoek used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:58AM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:01AM] Boterkoek used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:11AM] Boterkoek used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:21AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:25AM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:26AM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:27AM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:19AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:25AM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:26AM] Boterkoek used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:28AM] Boterkoek used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:43AM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:44AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:47AM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Boterkoek used command ::golen | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:49AM] Boterkoek used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:49AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:59AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25AM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:26AM] Boterkoek used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:28AM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:29AM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:30AM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:27AM] Boterkoek used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:28AM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:29AM] Boterkoek used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:30AM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:41AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:24AM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25AM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25AM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25AM] Boterkoek used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:26AM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:47AM] Boterkoek used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:50AM] Boterkoek used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:53AM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:54AM] Boterkoek used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:01AM] Boterkoek used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:09AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:39AM] Boterkoek used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:41AM] Boterkoek used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:41AM] Boterkoek used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 07:09AM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:26AM] Boterkoek used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 07:29AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 07:38AM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Boterkoek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:41AM] Boterkoek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 07:41AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 07:49AM] Boterkoek used command ::stats | Player rights = CLERIC_DONATOR	
[4/17/23 07:49AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:07AM] Boterkoek used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 08:10AM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:38AM] Boterkoek used command ::teleport | Player rights = CLERIC_DONATOR	
[4/17/23 08:38AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:39AM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:40AM] Boterkoek used command ::teleport | Player rights = CLERIC_DONATOR	
[4/17/23 08:41AM] Boterkoek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:03AM] Boterkoek used command ::yellowboss | Player rights = CLERIC_DONATOR	
[4/17/23 09:09AM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:16AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:39AM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:42AM] Boterkoek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Boterkoek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:45AM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:46AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:47AM] Boterkoek used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 09:47AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:54AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] Boterkoek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:07AM] Boterkoek used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Boterkoek used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Boterkoek used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:09AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] Boterkoek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:15AM] Boterkoek used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 11:15AM] Boterkoek used command ::teleport | Player rights = CLERIC_DONATOR	
[4/17/23 11:16AM] Boterkoek used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 11:18AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:21AM] Boterkoek used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 11:27AM] Boterkoek used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 11:29AM] Boterkoek used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Boterkoek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:49AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:50AM] Boterkoek used command ::teleport | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] Boterkoek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Boterkoek used command ::task | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Boterkoek used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:58AM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Boterkoek used command ::meurem | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Boterkoek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Boterkoek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Boterkoek used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Boterkoek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Boterkoek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Boterkoek used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:20PM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:28PM] Boterkoek used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Boterkoek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Boterkoek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Boterkoek used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Boterkoek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Boterkoek used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:59PM] Boterkoek used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:08PM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Boterkoek used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Boterkoek used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Boterkoek used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Boterkoek used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:36PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:36PM] Boterkoek used command ::teleport | Player rights = TORMENTED_DONATOR	
[4/17/23 02:36PM] Boterkoek used command ::teleport | Player rights = TORMENTED_DONATOR	
[4/17/23 02:37PM] Boterkoek used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/17/23 02:59PM] Boterkoek used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/17/23 03:01PM] Boterkoek used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 03:02PM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:04PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:04PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:05PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:05PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:28PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:31PM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:33PM] Boterkoek used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 04:02PM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:14PM] Boterkoek used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 04:14PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:16PM] Boterkoek used command ::teleport | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 04:32PM] Boterkoek used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 04:33PM] Boterkoek used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 04:34PM] Boterkoek used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 04:34PM] Boterkoek used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 04:40PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 04:53PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 05:00PM] Boterkoek used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 05:01PM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 05:02PM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:02AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 02:04AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 02:07AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 02:08AM] Boterkoek used command ::reward all 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 02:08AM] Boterkoek used command ::claim all 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 02:08AM] Boterkoek used command ::reward all  | Player rights = TORMENTED_DONATOR	
[4/18/23 02:09AM] Boterkoek used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 02:09AM] Boterkoek used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 02:09AM] Boterkoek used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 02:09AM] Boterkoek used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/18/23 02:11AM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:29AM] Boterkoek used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 02:30AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 03:41AM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 03:42AM] Boterkoek used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 03:43AM] Boterkoek used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 03:53AM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 03:53AM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:03AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 04:04AM] Boterkoek used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/18/23 04:11AM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:17AM] Boterkoek used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 04:17AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 04:18AM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:22AM] Boterkoek used command ::teleport | Player rights = TORMENTED_DONATOR	
[4/18/23 04:40AM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42AM] Boterkoek used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 04:43AM] Boterkoek used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 04:44AM] Boterkoek used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 04:45AM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:50AM] Boterkoek used command ::teleport | Player rights = TORMENTED_DONATOR	
[4/18/23 04:51AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 04:56AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 04:58AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 04:59AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:03AM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:03AM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:11AM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:17AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:23AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:29AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:30AM] Boterkoek used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:34AM] Boterkoek used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:41AM] Boterkoek used command ::veigar | Player rights = TORMENTED_DONATOR	
