[4/19/23 12:13PM] Bokzty used command ::veigar | Player rights = PLAYER	
[4/20/23 07:34AM] Bokzty used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:40AM] Bokzty used command ::totem | Player rights = CLERIC_DONATOR	
[4/20/23 07:49AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Bokzty used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:22AM] Bokzty used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:25AM] Bokzty used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:28AM] Bokzty used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Bokzty used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Bokzty used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Bokzty used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:40AM] Bokzty used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:44AM] Bokzty used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Bokzty used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:26AM] Bokzty used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Bokzty used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 09:35AM] Bokzty used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 09:36AM] Bokzty used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 09:54AM] Bokzty used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 09:54AM] Bokzty used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:56AM] Bokzty used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 10:03AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:03AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 05:04AM] Bokzty used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 05:09AM] Bokzty used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/24/23 09:58AM] Bokzty used command ::vote | Player rights = CLERIC_DONATOR	
[4/24/23 10:00AM] Bokzty used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/24/23 10:01AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 10:31AM] Bokzty used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/24/23 10:31AM] Bokzty used command ::totem | Player rights = CLERIC_DONATOR	
[4/24/23 10:31AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 10:32AM] Bokzty used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 10:33AM] Bokzty used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 10:44AM] Bokzty used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 11:01AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 11:31AM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 11:32AM] Bokzty used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 11:34AM] Bokzty used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 12:01PM] Bokzty used command ::veigar | Player rights = CLERIC_DONATOR	
