[4/18/23 06:40PM] Dwightshrute used command ::train | Player rights = PLAYER	
[4/19/23 11:43AM] Dwightshrute used command ::veigar | Player rights = PLAYER	
[4/19/23 11:44AM] Dwightshrute used command ::ninetails | Player rights = PLAYER	
[4/19/23 11:45AM] Dwightshrute used command ::meruem | Player rights = PLAYER	
[4/19/23 11:46AM] Dwightshrute used command ::golden | Player rights = PLAYER	
[4/19/23 11:49AM] Dwightshrute used command ::home | Player rights = PLAYER	
[4/19/23 12:00PM] Dwightshrute used command ::vote | Player rights = PLAYER	
[4/19/23 12:02PM] Dwightshrute used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 12:03PM] Dwightshrute used command ::home | Player rights = PLAYER	
[4/19/23 12:13PM] Dwightshrute used command ::veigar | Player rights = PLAYER	
[4/19/23 12:15PM] Dwightshrute used command ::vboss | Player rights = PLAYER	
[4/19/23 12:15PM] Dwightshrute used command ::veigar | Player rights = PLAYER	
[4/19/23 12:16PM] Dwightshrute used command ::ninetails | Player rights = PLAYER	
[4/19/23 12:17PM] Dwightshrute used command ::golden | Player rights = PLAYER	
[4/19/23 12:17PM] Dwightshrute used command ::meruem | Player rights = PLAYER	
[4/19/23 12:18PM] Dwightshrute used command ::golden | Player rights = PLAYER	
[4/19/23 12:43PM] Dwightshrute used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:44PM] Dwightshrute used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:45PM] Dwightshrute used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:57PM] Dwightshrute used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Dwightshrute used command ::viegar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Dwightshrute used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Dwightshrute used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Dwightshrute used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:17PM] Dwightshrute used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:19PM] Dwightshrute used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:22PM] Dwightshrute used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:34PM] Dwightshrute used command ::yellowzone | Player rights = CLERIC_DONATOR	
[4/19/23 01:34PM] Dwightshrute used command ::wzone | Player rights = CLERIC_DONATOR	
[4/19/23 01:43PM] Dwightshrute used command ::viegar | Player rights = CLERIC_DONATOR	
[4/19/23 01:43PM] Dwightshrute used command ::viegar | Player rights = CLERIC_DONATOR	
[4/19/23 01:43PM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:48PM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 06:39AM] Dwightshrute used command ::yelling selling in name dono pm me if interested  | Player rights = CLERIC_DONATOR	
[4/20/23 06:47AM] Dwightshrute used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:52AM] Dwightshrute used command ::yellowevent | Player rights = CLERIC_DONATOR	
[4/20/23 06:55AM] Dwightshrute used command ::wboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:56AM] Dwightshrute used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 06:59AM] Dwightshrute used command ::yell selling in name dono pm me | Player rights = CLERIC_DONATOR	
[4/20/23 07:02AM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:07AM] Dwightshrute used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 07:08AM] Dwightshrute used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 07:11AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 07:14AM] Dwightshrute used command ::yelling selling in name dono pm me | Player rights = CLERIC_DONATOR	
[4/20/23 07:19AM] Dwightshrute used command ::viegar | Player rights = CLERIC_DONATOR	
[4/20/23 07:19AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:21AM] Dwightshrute used command ::yell selling in name dono pm me | Player rights = CLERIC_DONATOR	
[4/20/23 07:22AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:24AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:27AM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:34AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 07:44AM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:49AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:53AM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:57AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 08:01AM] Dwightshrute used command ::yell selling 400k melee weapon | Player rights = CLERIC_DONATOR	
[4/20/23 08:04AM] Dwightshrute used command ::yell selling 400k melee weapon  | Player rights = CLERIC_DONATOR	
[4/20/23 08:10AM] Dwightshrute used command ::yell selling 400k melee weapon  | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Dwightshrute used command ::viegar | Player rights = CLERIC_DONATOR	
[4/20/23 08:19AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 08:21AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 08:22AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 08:23AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:33AM] Dwightshrute used command ::yell selling 400k melee weapon  | Player rights = CLERIC_DONATOR	
[4/20/23 08:38AM] Dwightshrute used command ::yell selling 400k melee weapon  | Player rights = CLERIC_DONATOR	
[4/20/23 08:38AM] Dwightshrute used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 08:44AM] Dwightshrute used command ::yell selling 400k melee weapon  | Player rights = CLERIC_DONATOR	
[4/20/23 08:49AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:19AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:20AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:21AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:26AM] Dwightshrute used command ::vbossd | Player rights = CLERIC_DONATOR	
[4/20/23 09:26AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:42AM] Dwightshrute used command ::yell selling or trading 400k melee bonus weapon | Player rights = CLERIC_DONATOR	
[4/20/23 09:47AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:49AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:04AM] Dwightshrute used command ::yell selling 400k melee weapon or trading | Player rights = CLERIC_DONATOR	
[4/20/23 10:17AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:18AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Dwightshrute used command :::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:23AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:23AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:25AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:26AM] Dwightshrute used command ::viegar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:29AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 10:29AM] Dwightshrute used command ::yell selling 400k melee bonus weapon or trading | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:31AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:43AM] Dwightshrute used command ::yell selling 400k melee bonus weapon  | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Dwightshrute used command ::vobss | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Dwightshrute used command ::yell selling cursed chest and 18$1 scrolls | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 11:14AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 11:15AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 11:15AM] Dwightshrute used command ::yell selling 400k melee weapon and santum golem pet | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:24AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 11:47AM] Dwightshrute used command ::yell selling 29 $1 scrolls | Player rights = CLERIC_DONATOR	
[4/20/23 11:49AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:59AM] Dwightshrute used command ::yell selling cursed chest and 29$1  scrolls | Player rights = CLERIC_DONATOR	
[4/20/23 12:16PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:18PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:18PM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:18PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:19PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:20PM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Dwightshrute used command ::mereum | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 12:21PM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 12:23PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:23PM] Dwightshrute used command ::hom | Player rights = CLERIC_DONATOR	
[4/20/23 12:24PM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:25PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:26PM] Dwightshrute used command ::yell buying 2x kc and 3k kc  | Player rights = CLERIC_DONATOR	
[4/20/23 12:28PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:29PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:35PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:38PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:39PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:40PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:41PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:43PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:45PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:48PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Dwightshrute used command ::viegar | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Dwightshrute used command :::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:49PM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 12:50PM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 12:54PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:55PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:58PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:00PM] Dwightshrute used command ::lano | Player rights = CLERIC_DONATOR	
[4/20/23 01:05PM] Dwightshrute used command ::pc on blood victor weapon with 1.1 dmg perk? | Player rights = CLERIC_DONATOR	
[4/20/23 01:05PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:12PM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 01:15PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:19PM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:20PM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:21PM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:22PM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 01:25PM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 01:30PM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:31PM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/20/23 01:32PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:33PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:34PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:35PM] Dwightshrute used command ::yell selling $1 scrolls and bonds my pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:36PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:48PM] Dwightshrute used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 01:49PM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:00PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:02PM] Dwightshrute used command ::Pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:06PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:07PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:13PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:15PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:16PM] Dwightshrute used command ::dn | Player rights = CLERIC_DONATOR	
[4/20/23 02:17PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:19PM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:21PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:21PM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:22PM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 02:39PM] Dwightshrute used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:39PM] Dwightshrute used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 02:40PM] Dwightshrute used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 02:49PM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:50PM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:52PM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:53PM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:43AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:46AM] Dwightshrute used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 07:47AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 07:55AM] Dwightshrute used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 07:57AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:58AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:01AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:13AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 08:13AM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:14AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 08:15AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:15AM] Dwightshrute used command ::yell buying demon bow pm me | Player rights = CLERIC_DONATOR	
[4/21/23 08:19AM] Dwightshrute used command ::yell buying demon bow | Player rights = CLERIC_DONATOR	
[4/21/23 08:22AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:23AM] Dwightshrute used command ::yell buying dr perks low or high | Player rights = CLERIC_DONATOR	
[4/21/23 08:23AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 08:27AM] Dwightshrute used command ::yell buying demon bow + dr perks | Player rights = CLERIC_DONATOR	
[4/21/23 08:28AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:29AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:29AM] Dwightshrute used command ::mereum | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Dwightshrute used command ::viegar | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Dwightshrute used command ::yell buying demon bow | Player rights = CLERIC_DONATOR	
[4/21/23 08:37AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:38AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:41AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Dwightshrute used command ::yell selling 50+ $1 scrolls my pos and buying demon bow | Player rights = CLERIC_DONATOR	
[4/21/23 08:43AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:47AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:51AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:55AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 08:56AM] Dwightshrute used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 08:57AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:02AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:09AM] Dwightshrute used command ::yell buying demon bow selling $1 scrolls in pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:14AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:14AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:15AM] Dwightshrute used command ::yell buying demon bow/ collector neck 2  | Player rights = CLERIC_DONATOR	
[4/21/23 09:17AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:17AM] Dwightshrute used command ::Pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:18AM] Dwightshrute used command ::yell buying demon bow/ t6 aura  | Player rights = CLERIC_DONATOR	
[4/21/23 09:32AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Dwightshrute used command ::viegar | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 09:48AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:56AM] Dwightshrute used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:58AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:02AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:09AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:15AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Dwightshrute used command ::ninetails::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Dwightshrute used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:35AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:02AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:03AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 11:22AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 11:31AM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:34AM] Dwightshrute used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Dwightshrute used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:36AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:43AM] Dwightshrute used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 11:44AM] Dwightshrute used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:02PM] Dwightshrute used command ::veigar | Player rights = CLERIC_DONATOR	
