[4/17/23 01:02AM] Redx12 used command ::vote | Player rights = PLAYER	
[4/17/23 04:33PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 04:34PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 04:43PM] Redx12 used command ::help | Player rights = CLERIC_DONATOR	
[4/17/23 04:55PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 05:00PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 05:00PM] Redx12 used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 05:02PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:04PM] Redx12 used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 05:04PM] Redx12 used command ::afk2 | Player rights = CLERIC_DONATOR	
[4/17/23 05:04PM] Redx12 used command ::afk 2 | Player rights = CLERIC_DONATOR	
[4/17/23 05:05PM] Redx12 used command ::afk 3 | Player rights = CLERIC_DONATOR	
[4/17/23 05:05PM] Redx12 used command ::afk 4 | Player rights = CLERIC_DONATOR	
[4/17/23 05:05PM] Redx12 used command ::afk 5 | Player rights = CLERIC_DONATOR	
[4/17/23 05:05PM] Redx12 used command ::afk2 | Player rights = CLERIC_DONATOR	
[4/17/23 05:05PM] Redx12 used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 05:05PM] Redx12 used command ::afk 5 | Player rights = CLERIC_DONATOR	
[4/17/23 05:05PM] Redx12 used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 05:05PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:07PM] Redx12 used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 05:32PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:34PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 05:34PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 05:35PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:03PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 06:11PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 06:25PM] Redx12 used command ::stats | Player rights = CLERIC_DONATOR	
[4/17/23 06:32PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 06:35PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 06:54PM] Redx12 used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 07:01PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:11PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 07:32PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:35PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 07:51PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 07:54PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 08:14PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:15PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 08:15PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 08:17PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:21PM] Redx12 used command ::ref fpk merk | Player rights = CLERIC_DONATOR	
[4/17/23 08:23PM] Redx12 used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 08:23PM] Redx12 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 08:23PM] Redx12 used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 08:24PM] Redx12 used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 08:24PM] Redx12 used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 08:28PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:33PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:33PM] Redx12 used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 08:33PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:33PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:35PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:40PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:43PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:53PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:58PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:59PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:00PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:01PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 09:01PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:06PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:27PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:59PM] Redx12 used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 09:59PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:59PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 10:02PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 10:29PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:29PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:29PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:29PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:30PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:31PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 10:32PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:41PM] Redx12 used command ::veidar | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Redx12 used command ::veidar | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Redx12 used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:46PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 10:49PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:51PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:54PM] Redx12 used command ::refer fpk merk | Player rights = CLERIC_DONATOR	
[4/17/23 11:08PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:10PM] Redx12 used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:11PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:23PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 11:29PM] Redx12 used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 11:42PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:42PM] Redx12 used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 02:40PM] Redx12 used command ::totem | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Redx12 used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Redx12 used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42PM] Redx12 used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:45PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:45PM] Redx12 used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 02:45PM] Redx12 used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:47PM] Redx12 used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 02:48PM] Redx12 used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:59PM] Redx12 used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 03:40PM] Redx12 used command ::home | Player rights = CLERIC_DONATOR	
