[4/19/23 02:09PM] Black Ear used command ::ref | Player rights = PLAYER	
[4/20/23 04:19AM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:21AM] Black Ear used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:36PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:39PM] Black Ear used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:46PM] Black Ear used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:49PM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:52PM] Black Ear used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:07PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:07PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:19PM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:20PM] Black Ear used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21PM] Black Ear used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21PM] Black Ear used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:22PM] Black Ear used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:22PM] Black Ear used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:36PM] Black Ear used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:34PM] Black Ear used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:45PM] Black Ear used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:46PM] Black Ear used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:47PM] Black Ear used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:48PM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:51PM] Black Ear used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:54PM] Black Ear used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 02:56PM] Black Ear used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:01PM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:19PM] Black Ear used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:30PM] Black Ear used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:31PM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:32PM] Black Ear used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:34PM] Black Ear used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:35PM] Black Ear used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/24/23 03:55PM] Black Ear used command ::noble trolled | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:06AM] Black Ear used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:06AM] Black Ear used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:09AM] Black Ear used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:30AM] Black Ear used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:31AM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:36AM] Black Ear used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:45AM] Black Ear used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/25/23 06:45AM] Black Ear used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:01AM] Black Ear used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/25/23 07:13AM] Black Ear used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 07:16AM] Black Ear used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 07:31AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 07:32AM] Black Ear used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 07:33AM] Black Ear used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 07:34AM] Black Ear used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 07:34AM] Black Ear used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 07:36AM] Black Ear used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 08:01AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 08:08AM] Black Ear used command ::instance | Player rights = CLERIC_DONATOR	
[4/25/23 08:25AM] Black Ear used command ::togglekills | Player rights = CLERIC_DONATOR	
[4/25/23 08:25AM] Black Ear used command ::kills | Player rights = CLERIC_DONATOR	
[4/25/23 08:31AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 08:31AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 08:32AM] Black Ear used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 08:34AM] Black Ear used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 08:34AM] Black Ear used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 08:58AM] Black Ear used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 09:00AM] Black Ear used command ::donate | Player rights = CLERIC_DONATOR	
[4/25/23 09:01AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 09:31AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 09:31AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 09:32AM] Black Ear used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 09:33AM] Black Ear used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 09:35AM] Black Ear used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 09:44AM] Black Ear used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 09:44AM] Black Ear used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 10:01AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 10:08AM] Black Ear used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 10:17AM] Black Ear used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 10:17AM] Black Ear used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 10:31AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 10:32AM] Black Ear used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 10:33AM] Black Ear used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 10:33AM] Black Ear used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 11:01AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 11:06AM] Black Ear used command ::totem | Player rights = CLERIC_DONATOR	
[4/25/23 11:25AM] Black Ear used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 11:31AM] Black Ear used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 11:33AM] Black Ear used command ::meruem | Player rights = CLERIC_DONATOR	
