[4/15/23 05:29PM] Shaxx used command ::veigar | Player rights = PLAYER	
[4/16/23 07:24AM] Shaxx used command ::muruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24AM] Shaxx used command ::mureum | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:25AM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:29AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:30AM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:23AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:24AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:25AM] Shaxx used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:27AM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 08:53AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:06AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:10AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:20AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:40AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:42AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:43AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:23AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:26AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:28AM] Shaxx used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:43AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 10:53AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:23AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:24AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:25AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:30AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:51AM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:53AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 11:54AM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:24PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:25PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:51PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:53PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:54PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:57PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:58PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:06PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:23PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:24PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:24PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:24PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:25PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:24PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:25PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:09PM] Shaxx used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:39AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:41AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:42AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 05:44AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:39AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:41AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 06:41AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:09AM] Shaxx used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:09AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 02:59PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:02PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:31PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 03:33PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:32PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:32PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:33PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 04:34PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:11AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:26AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:41AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:42AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 06:43AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:11AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:41AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:11AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:40AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:42AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:42AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:14AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:41AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:42AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:11AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:41AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:41AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 10:42AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:11AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:41AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 11:42AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:11PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:16PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:41PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:41PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:42PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:11PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:28PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:41PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 01:42PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:11PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:41PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:42PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:15PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:40PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:41PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:42PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 04:55PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:11PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:29PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:30PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:32PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:35PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:41PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 05:43PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 07:52AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:46AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:47AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 08:56AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:14AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 10:16AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:12PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:15PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:17PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 12:18PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:11PM] Shaxx used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:11PM] Shaxx used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:12PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:14PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:15PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:19PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:22PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:46PM] Shaxx used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:43PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:15PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:41PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:41PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:43PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:43PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:45PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:14PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:15PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:42PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:44PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:45PM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:19AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:21AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:23AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:19AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:22AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:34AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:49AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:19AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:21AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 08:49AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:17AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:20AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:21AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:23AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:24AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:19AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:20AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:22AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:24AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:27AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:30AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:35AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:37AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:39AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:41AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:43AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:45AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:48AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:50AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:54AM] Shaxx used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:49PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:50PM] Shaxx used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:18PM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:20PM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:21PM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:22PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 03:23PM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Shaxx used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:32AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:34AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:35AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 05:36AM] Shaxx used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:03AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:17AM] Shaxx used command ::players | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:32AM] Shaxx used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:34AM] Shaxx used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:35AM] Shaxx used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:38AM] Shaxx used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 06:39AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:55AM] Shaxx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:58AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:02AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:02AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:04AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:13AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:19AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:22AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:23AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:27AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Shaxx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:39AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:51AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:57AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:03AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:07AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:15AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:25AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:32AM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:33AM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Shaxx used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 11:36AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:39AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:45AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:48AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:52AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 11:58AM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:02PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Shaxx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Shaxx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Shaxx used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Shaxx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:07PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:09PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:11PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:14PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:18PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:27PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:32PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34PM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:35PM] Shaxx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 01:08PM] Shaxx used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:08PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:08PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:14PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:14PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:26PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:33PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:34PM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 01:55PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:02PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:02PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:08PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:29PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:33PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:33PM] Shaxx used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:34PM] Shaxx used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:35PM] Shaxx used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 02:35PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:44PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:46PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:50PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:52PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:55PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Shaxx used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:03PM] Shaxx used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:04PM] Shaxx used command ::vboss | Player rights = CLERIC_DONATOR	
