[4/20/23 09:25PM] Rak used command ::vote | Player rights = PLAYER	
[4/21/23 09:10PM] Rak used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:12PM] Rak used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:15PM] Rak used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:58PM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:01PM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 10:04PM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:03PM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:23PM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:33PM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:35PM] Rak used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:36PM] Rak used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 11:40PM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:35AM] Rak used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:52AM] Rak used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:01AM] Rak used command ::whatdropsvarth bow | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:01AM] Rak used command ::whatdrops varth bow | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:03AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:03AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:04AM] Rak used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:04AM] Rak used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:21AM] Rak used command ::whatdrops gladiator cape | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:23AM] Rak used command ::whatdrops tyrant wings | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:33AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:34AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:38AM] Rak used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:40AM] Rak used command ::whatdrops agumon gloves | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:42AM] Rak used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:44AM] Rak used command ::whatdrops niteammy | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:44AM] Rak used command ::whatdrops nite ammy | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:44AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:01AM] Rak used command ::whatdrops elite staff | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:02AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:05AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:06AM] Rak used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:06AM] Rak used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:31AM] Rak used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:34AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:36AM] Rak used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:37AM] Rak used command ::dropon | Player rights = GRACEFUL_DONATOR	
[4/22/23 02:37AM] Rak used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:03AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:30AM] Rak used command ::dropsoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:30AM] Rak used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:30AM] Rak used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:32AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:34AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:37AM] Rak used command ::dropson | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:37AM] Rak used command ::dropon | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:48AM] Rak used command ::homew | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:48AM] Rak used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:04AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:05AM] Rak used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:01AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:21AM] Rak used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:32AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:33AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:35AM] Rak used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:46AM] Rak used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:48AM] Rak used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:48AM] Rak used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:48AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 06:02AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:02AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:22AM] Rak used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:28AM] Rak used command ::slayer | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:33AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:34AM] Rak used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:34AM] Rak used command ::dropon | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:36AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 07:59AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:00AM] Rak used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 08:01AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:01AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:02AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:02AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:05AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:12AM] Rak used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:52AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:15PM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:38PM] Rak used command ::Afk | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:20PM] Rak used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:55AM] Rak used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:56AM] Rak used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:58AM] Rak used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:24AM] Rak used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:53AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:57AM] Rak used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:57AM] Rak used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:58AM] Rak used command ::afk | Player rights = GRACEFUL_DONATOR	
