[4/17/23 06:07AM] Tao used command ::ref | Player rights = PLAYER	
[4/17/23 10:09AM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:02AM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:03AM] Tao used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Tao used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Tao used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:07AM] Tao used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:08AM] Tao used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Tao used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Tao used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Tao used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Tao used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Tao used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Tao used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:12PM] Tao used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:15PM] Tao used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:16PM] Tao used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:17PM] Tao used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Tao used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:18PM] Tao used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:19PM] Tao used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:32PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:40PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:47PM] Tao used command ::store | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:11PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:41PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:42PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] Tao used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:44AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:44AM] Tao used command ::Vote | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Tao used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 12:46AM] Tao used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 12:47AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:48AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:49AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:50AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:51AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:11AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Tao used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:11AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:41AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:42AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:43AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:44AM] Tao used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 06:11AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:26AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 06:41AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:42AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:43AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 07:11AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:41AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Tao used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 08:11AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:11AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:11PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:16PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 12:26PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:32PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:38PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:40PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:45PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:46PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:30PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:31PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:32PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:33PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:35PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:38PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 11:42PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 11:46PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:05AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:30AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:46AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:52AM] Tao used command ::meruem] | Player rights = CLERIC_DONATOR	
[4/19/23 12:52AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:15PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:16PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 12:16PM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 12:18PM] Tao used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 12:19PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:43PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:45PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 12:47PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:48PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:48PM] Tao used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 12:50PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:50PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:51PM] Tao used command ::yell buying 8x vote scrolls 35k each pm me | Player rights = CLERIC_DONATOR	
[4/19/23 12:54PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:58PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:01PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:03PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:13PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:14PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 01:15PM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 01:19PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:22PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:36PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:43PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 01:45PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:53PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 01:58PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:07PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:13PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 02:15PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 02:27PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 09:30PM] Tao used command ::totem | Player rights = CLERIC_DONATOR	
[4/19/23 09:49PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:21PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:49PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:19PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:21PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:23PM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:55PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 01:19AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:21AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:23AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 01:49AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:58AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 02:00AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 02:00AM] Tao used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 02:01AM] Tao used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 02:01AM] Tao used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 02:01AM] Tao used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/20/23 02:19AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 02:21AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 02:49AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 03:13AM] Tao used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 03:13AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:01AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:01AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:36AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:40AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Tao used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Tao used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:54AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:56AM] Tao used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 11:06AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:08AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 11:19AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:21AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:22AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:25AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:20PM] Tao used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 09:22PM] Tao used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 09:32PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:34PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:45PM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:51PM] Tao used command ::::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:52PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:02PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:32PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:36PM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:02PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:32PM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:34PM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:35PM] Tao used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 11:47PM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 12:02AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:32AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:36AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:43AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:46AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:02AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:07AM] Tao used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 01:07AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:13AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:14AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:14AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:32AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:35AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 01:55AM] Tao used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:57AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 01:58AM] Tao used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 02:02AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:25AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 02:32AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:34AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:37AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:39AM] Tao used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 03:02AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:32AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:35AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:02AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:06AM] Tao used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 06:02AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Tao used command ::mureum | Player rights = CLERIC_DONATOR	
[4/21/23 06:35AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:38AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 07:02AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:32AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:44AM] Tao used command ::::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:44AM] Tao used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:45AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:32AM] Tao used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Tao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 09:56AM] Tao used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:58AM] Tao used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:35AM] Tao used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 10:56AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:03AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:30AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:33AM] Tao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Tao used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35AM] Tao used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 12:06PM] Tao used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:06PM] Tao used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:06PM] Tao used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 12:08PM] Tao used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 12:22PM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:22PM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:22PM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:26PM] Tao used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:33PM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 11:33PM] Tao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 11:35PM] Tao used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 11:36PM] Tao used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/21/23 11:37PM] Tao used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 11:38PM] Tao used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 11:40PM] Tao used command ::totem | Player rights = TORMENTED_DONATOR	
[4/22/23 12:03AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 01:33AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 01:43AM] Tao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 01:48AM] Tao used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 03:03AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:14AM] Tao used command ::store | Player rights = TORMENTED_DONATOR	
[4/22/23 03:32AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:34AM] Tao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 03:37AM] Tao used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:39AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 03:40AM] Tao used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 03:40AM] Tao used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 03:41AM] Tao used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/22/23 04:23AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:25AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:25AM] Tao used command ::afk | Player rights = TORMENTED_DONATOR	
[4/22/23 04:31AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:35AM] Tao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 04:35AM] Tao used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 04:36AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:36AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 04:37AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 05:20AM] Tao used command ::yell buying 3x3 aoe weapon pm me | Player rights = TORMENTED_DONATOR	
[4/22/23 05:26AM] Tao used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:32AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:33AM] Tao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 05:34AM] Tao used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 05:44AM] Tao used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 05:51AM] Tao used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 06:02AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:33AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 06:33AM] Tao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 06:34AM] Tao used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 06:43AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 07:00AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:33AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 07:33AM] Tao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 07:36AM] Tao used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 07:37AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 08:32AM] Tao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33AM] Tao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Tao used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:35AM] Tao used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37AM] Tao used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 08:50AM] Tao used command ::bank | Player rights = TORMENTED_DONATOR	
