[4/15/23 12:36PM] Rokas used command ::starter | Player rights = PLAYER	
[4/15/23 03:58PM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:59PM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:10PM] Rokas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:23PM] Rokas used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:23PM] Rokas used command ::afk | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:12AM] Rokas used command ::yell hello | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:26AM] Rokas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:29AM] Rokas used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:29AM] Rokas used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:30AM] Rokas used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:32AM] Rokas used command ::yell everyone to ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:33AM] Rokas used command ::yell everyone to ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:36AM] Rokas used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:37AM] Rokas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:40AM] Rokas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:45AM] Rokas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:50AM] Rokas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:51AM] Rokas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:52AM] Rokas used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:53AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:25AM] Rokas used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:30AM] Rokas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:37AM] Rokas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:43AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:45AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:46AM] Rokas used command ::yell merk come to veigar pls | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:46AM] Rokas used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:46AM] Rokas used command ::yell come on merk | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:47AM] Rokas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Rokas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Rokas used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:49AM] Rokas used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:49AM] Rokas used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:51AM] Rokas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:56AM] Rokas used command ::yell someone donate to well please  | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:59AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:11AM] Rokas used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:11AM] Rokas used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:20AM] Rokas used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25AM] Rokas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:05AM] Rokas used command ::yell any contributors to donate to well? pls? | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:22AM] Rokas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:27AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:28AM] Rokas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:29AM] Rokas used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:31AM] Rokas used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Rokas used command ::yell can someone donate to well? | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Rokas used command ::yell you the mvp alex | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Rokas used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:45AM] Rokas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:54AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:00AM] Rokas used command ::yell ruthie sell it to me | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:07AM] Rokas used command ::yell is slayer helmet any good? | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:13AM] Rokas used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Rokas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:23AM] Rokas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:24AM] Rokas used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:25AM] Rokas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:29AM] Rokas used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 07:31AM] Rokas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 07:32AM] Rokas used command ::yell can someone donate to well? | Player rights = CLERIC_DONATOR	
[4/16/23 07:37AM] Rokas used command ::yell can someone donate to well? | Player rights = CLERIC_DONATOR	
[4/16/23 07:39AM] Rokas used command ::progression | Player rights = CLERIC_DONATOR	
[4/16/23 07:39AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 08:07AM] Rokas used command ::yell alex you the mvp | Player rights = CLERIC_DONATOR	
[4/16/23 08:29AM] Rokas used command ::yell small sale at my pos! Check it out | Player rights = CLERIC_DONATOR	
[4/16/23 08:33AM] Rokas used command ::ￌ>3 | Player rights = CLERIC_DONATOR	
[4/16/23 08:33AM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:34AM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:35AM] Rokas used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 08:38AM] Rokas used command ::raid | Player rights = CLERIC_DONATOR	
[4/16/23 08:42AM] Rokas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 08:42AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 08:42AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 08:44AM] Rokas used command ::yell event at 100? | Player rights = CLERIC_DONATOR	
[4/16/23 08:51AM] Rokas used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 08:53AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:58AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:01AM] Rokas used command ::yell all new players check out my pos, SALE! | Player rights = CLERIC_DONATOR	
[4/16/23 09:07AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:08AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:08AM] Rokas used command ::vbos | Player rights = CLERIC_DONATOR	
[4/16/23 09:09AM] Rokas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:14AM] Rokas used command ::yell someone donate to well please | Player rights = CLERIC_DONATOR	
[4/16/23 09:16AM] Rokas used command ::yell tyy | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:25AM] Rokas used command ::yell all new players check out my pos! SALE! | Player rights = CLERIC_DONATOR	
[4/16/23 09:31AM] Rokas used command ::yell selling votes at pm | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Rokas used command ::mureum | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:41AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:44AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:45AM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Rokas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:52AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:54AM] Rokas used command ::yell selling collectors necklace! | Player rights = CLERIC_DONATOR	
[4/16/23 09:55AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:57AM] Rokas used command ::yell huge sale in my pos! | Player rights = CLERIC_DONATOR	
[4/16/23 10:01AM] Rokas used command ::yell huge sale in my pos!  | Player rights = CLERIC_DONATOR	
[4/16/23 10:04AM] Rokas used command ::dzone | Player rights = CLERIC_DONATOR	
[4/16/23 10:07AM] Rokas used command ::yell huge sale in my pos! | Player rights = CLERIC_DONATOR	
[4/16/23 10:12AM] Rokas used command ::yell dont miss out on my POS! HUGE SALE! | Player rights = CLERIC_DONATOR	
[4/16/23 10:19AM] Rokas used command ::yell someone donate to well please | Player rights = CLERIC_DONATOR	
[4/16/23 10:21AM] Rokas used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 10:21AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:28AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:29AM] Rokas used command ::yell huge sale in my pos! | Player rights = CLERIC_DONATOR	
[4/16/23 10:47AM] Rokas used command ::yell huge sale on my pos! check it out! | Player rights = CLERIC_DONATOR	
[4/16/23 10:51AM] Rokas used command ::dice | Player rights = CLERIC_DONATOR	
[4/16/23 10:51AM] Rokas used command ::yell anyone hosting dice | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:55AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 11:04AM] Rokas used command ::yell selling collectors necklace | Player rights = CLERIC_DONATOR	
[4/16/23 11:17AM] Rokas used command ::yell selling collectors | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:27AM] Rokas used command ::yell selling collectors necklace | Player rights = CLERIC_DONATOR	
[4/16/23 11:29AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Rokas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:32AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 12:08PM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 12:53PM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:00AM] Rokas used command ::yell yoo what happened to my pos | Player rights = CLERIC_DONATOR	
[4/17/23 06:01AM] Rokas used command ::yell are there any staff i can contact?  | Player rights = CLERIC_DONATOR	
[4/17/23 06:01AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 06:02AM] Rokas used command ::task | Player rights = CLERIC_DONATOR	
[4/17/23 06:02AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 06:03AM] Rokas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 06:05AM] Rokas used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 06:06AM] Rokas used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 06:07AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 06:09AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:13AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 06:38AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 06:39AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:39AM] Rokas used command ::yell peep we need help | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 06:56AM] Rokas used command ::yell first one to trade me at ig thaurs gets 6k wep | Player rights = CLERIC_DONATOR	
[4/17/23 07:00AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 07:05AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 07:09AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:21AM] Rokas used command ::itemstats | Player rights = CLERIC_DONATOR	
[4/17/23 07:21AM] Rokas used command ::itemstats | Player rights = CLERIC_DONATOR	
[4/17/23 07:26AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 07:35AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 07:35AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 07:36AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 07:37AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 07:37AM] Rokas used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 07:37AM] Rokas used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 07:39AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:41AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 07:41AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 07:42AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 07:49AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 08:01AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:10AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:13AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:13AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:14AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 08:16AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:17AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:23AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 08:23AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:24AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 08:27AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:29AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 09:39AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:42AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 09:44AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 09:45AM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:57AM] Rokas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Rokas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:35AM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:37AM] Rokas used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 10:39AM] Rokas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 10:40AM] Rokas used command ::yell anyone got a decent staff for sale? | Player rights = CLERIC_DONATOR	
[4/17/23 10:42AM] Rokas used command ::yell buying $1 bonds 15k each!! | Player rights = CLERIC_DONATOR	
[4/17/23 10:46AM] Rokas used command ::fpk | Player rights = CLERIC_DONATOR	
[4/17/23 10:59AM] Rokas used command ::ref | Player rights = CLERIC_DONATOR	
[4/17/23 11:02AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:08AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:09AM] Rokas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] Rokas used command ::muruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:53AM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:53AM] Rokas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Rokas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Rokas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Rokas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Rokas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Rokas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Rokas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Rokas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 12:33PM] Rokas used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 12:33PM] Rokas used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 12:37PM] Rokas used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/17/23 12:39PM] Rokas used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/17/23 12:51PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 12:52PM] Rokas used command ::dr | Player rights = TORMENTED_DONATOR	
[4/17/23 01:02PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 01:20PM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 01:31PM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 01:32PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 01:33PM] Rokas used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 01:33PM] Rokas used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 01:47PM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 01:55PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 01:56PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 01:58PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 01:59PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:02PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 02:08PM] Rokas used command ::dr | Player rights = TORMENTED_DONATOR	
[4/17/23 02:09PM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 02:22PM] Rokas used command ::yell selling sword 50k stats | Player rights = TORMENTED_DONATOR	
[4/17/23 02:23PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:32PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 02:33PM] Rokas used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 02:33PM] Rokas used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/17/23 02:38PM] Rokas used command ::yell buying 3x kc perk | Player rights = TORMENTED_DONATOR	
[4/17/23 02:41PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 02:46PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 02:51PM] Rokas used command ::vote | Player rights = TORMENTED_DONATOR	
[4/17/23 02:52PM] Rokas used command ::yell buying decent aura | Player rights = TORMENTED_DONATOR	
[4/17/23 02:53PM] Rokas used command ::yell come home | Player rights = TORMENTED_DONATOR	
[4/17/23 02:53PM] Rokas used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 02:59PM] Rokas used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/17/23 02:59PM] Rokas used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/17/23 03:02PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:03PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:06PM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 03:06PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:13PM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 03:14PM] Rokas used command ::yell buying votes 15k each | Player rights = TORMENTED_DONATOR	
[4/17/23 03:16PM] Rokas used command ::yell buying votes 20k each | Player rights = TORMENTED_DONATOR	
[4/17/23 03:16PM] Rokas used command ::home | Player rights = TORMENTED_DONATOR	
[4/17/23 03:16PM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 03:19PM] Rokas used command ::yell buying votes 20k each | Player rights = TORMENTED_DONATOR	
[4/17/23 03:31PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:32PM] Rokas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 03:33PM] Rokas used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/17/23 03:35PM] Rokas used command ::yell buying votes! | Player rights = TORMENTED_DONATOR	
[4/17/23 03:36PM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 03:37PM] Rokas used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/17/23 03:37PM] Rokas used command ::yell buying votes! 20k each | Player rights = TORMENTED_DONATOR	
[4/17/23 03:37PM] Rokas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 03:37PM] Rokas used command ::teleport | Player rights = TORMENTED_DONATOR	
