[4/15/23 10:24AM] Fpk Merk used command ::bank | Player rights = DEVELOPER	
[4/17/23 11:03AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:04AM] Fpk Merk used command ::ninetails | Player rights = YOUTUBER	
[4/17/23 11:05AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:05AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:06AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:07AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:07AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:07AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:08AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:08AM] Fpk Merk used command ::meruem | Player rights = YOUTUBER	
[4/17/23 11:09AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:10AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:10AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:10AM] Fpk Merk used command ::meruem | Player rights = YOUTUBER	
[4/17/23 11:11AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:12AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:13AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:13AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:13AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:14AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:15AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:16AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:16AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:18AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:20AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:20AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:22AM] Fpk Merk used command ::train | Player rights = YOUTUBER	
[4/17/23 11:22AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:23AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:23AM] Fpk Merk used command ::yell 80 online! 20 more for huge events @@@@@@@@@@@@@@ | Player rights = YOUTUBER	
[4/17/23 11:25AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:25AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:27AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:28AM] Fpk Merk used command ::yell Live! Huge Giveaways & Events!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:30AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy live rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:30AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy live rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:31AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy live rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:31AM] Fpk Merk used command ::Yell 83 online @@@@@@@@@lets go for the 100 | Player rights = YOUTUBER	
[4/17/23 11:32AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy live rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:32AM] Fpk Merk used command ::veigar | Player rights = YOUTUBER	
[4/17/23 11:33AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:33AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:33AM] Fpk Merk used command ::ninetails | Player rights = YOUTUBER	
[4/17/23 11:33AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:33AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:35AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:35AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:36AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:38AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:40AM] Fpk Merk used command ::yell 83 onlnie@@@@@@@@@@@@@@@@@@ | Player rights = YOUTUBER	
[4/17/23 11:41AM] Fpk Merk used command ::yell Rolling varth teddy & cursed mbox in 1 minute @ ::fpk | Player rights = YOUTUBER	
[4/17/23 11:41AM] Fpk Merk used command ::yell last chance to enter huge giveaway now @ ::fpk glglglgl | Player rights = YOUTUBER	
[4/17/23 11:42AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:45AM] Fpk Merk used command ::train | Player rights = YOUTUBER	
[4/17/23 11:45AM] Fpk Merk used command ::home | Player rights = YOUTUBER	
[4/17/23 11:46AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:48AM] Fpk Merk used command ::yell Giving away cursed mbox & varth teddy rn!! TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:49AM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:49AM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:50AM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:50AM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:52AM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:52AM] Fpk Merk used command ::meruem | Player rights = YOUTUBER	
[4/17/23 11:52AM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:53AM] Fpk Merk used command ::yell 86 online@@@@@@@@@@@@@ | Player rights = YOUTUBER	
[4/17/23 11:53AM] Fpk Merk used command ::yell 87@@@@@@@@@@@@@ | Player rights = YOUTUBER	
[4/17/23 11:53AM] Fpk Merk used command ::vboss | Player rights = YOUTUBER	
[4/17/23 11:53AM] Fpk Merk used command ::yell 88@@@@@@@@@@@ | Player rights = YOUTUBER	
[4/17/23 11:54AM] Fpk Merk used command ::golden | Player rights = YOUTUBER	
[4/17/23 11:54AM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:55AM] Fpk Merk used command ::veigar | Player rights = YOUTUBER	
[4/17/23 11:55AM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 11:56AM] Fpk Merk used command ::voteboss | Player rights = YOUTUBER	
[4/17/23 11:56AM] Fpk Merk used command ::yell Rolling huge giveaway live in 1 minute @ ::fpk | Player rights = YOUTUBER	
[4/17/23 11:56AM] Fpk Merk used command ::yell enter now execution armour & cursed mbox g/a @ ::fpk glglgllggl | Player rights = YOUTUBER	
[4/17/23 11:57AM] Fpk Merk used command ::yell ROlling fat giveaway in 30 secs @ ::fpk glglglgllg | Player rights = YOUTUBER	
[4/17/23 11:57AM] Fpk Merk used command ::Voteboss | Player rights = YOUTUBER	
[4/17/23 11:57AM] Fpk Merk used command ::yell 90 online@@@@@@@@@@@@@@@@@@ | Player rights = YOUTUBER	
[4/17/23 11:59AM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 12:01PM] Fpk Merk used command ::yell Hosting huge live giveaways! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 12:01PM] Fpk Merk used command ::Yell 91 online!!!!!!!!!!!!!! | Player rights = YOUTUBER	
[4/17/23 12:02PM] Fpk Merk used command ::Yell 93 @@ road to 100!!!!!!!!!!! | Player rights = YOUTUBER	
[4/17/23 12:02PM] Fpk Merk used command ::veigar | Player rights = YOUTUBER	
[4/17/23 12:02PM] Fpk Merk used command ::yell 94 online!!!!!! | Player rights = YOUTUBER	
[4/17/23 12:03PM] Fpk Merk used command ::yell 95 online!!!!!!!!!!!! | Player rights = YOUTUBER	
[4/17/23 12:03PM] Fpk Merk used command ::Yell 5 more!!!!! huge events | Player rights = YOUTUBER	
[4/17/23 12:03PM] Fpk Merk used command ::home | Player rights = YOUTUBER	
[4/17/23 12:03PM] Fpk Merk used command ::yell 96 online!!!!!!!!!!! 4 more!!!!!!!! | Player rights = YOUTUBER	
[4/17/23 12:04PM] Fpk Merk used command ::yell 97 online 3 more players for 100 ! lets getit! | Player rights = YOUTUBER	
[4/17/23 12:04PM] Fpk Merk used command ::yell Giving away ag thomoths pet live! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 12:04PM] Fpk Merk used command ::yell Giving away ag thomoths pet live! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 12:06PM] Fpk Merk used command ::yell 3 more for 100 players online! lets get it!!!!!!!!!! | Player rights = YOUTUBER	
[4/17/23 12:06PM] Fpk Merk used command ::Yell Rolling ag thomoths pet in less than a minute @ ::Fpk glglglglgl | Player rights = YOUTUBER	
[4/17/23 12:08PM] Fpk Merk used command ::yell 99 @@@@@@@@@@@ | Player rights = YOUTUBER	
[4/17/23 12:08PM] Fpk Merk used command ::veigar | Player rights = YOUTUBER	
[4/17/23 12:08PM] Fpk Merk used command ::yell 102 @@@@@@@@@@@@@@@ | Player rights = YOUTUBER	
[4/17/23 12:08PM] Fpk Merk used command ::veigar | Player rights = YOUTUBER	
[4/17/23 12:09PM] Fpk Merk used command ::meruem | Player rights = YOUTUBER	
[4/17/23 12:10PM] Fpk Merk used command ::yell Giving away ag thomoths pet live! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 12:10PM] Fpk Merk used command ::yell Host huge giveaways live! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 12:11PM] Fpk Merk used command ::ninetails | Player rights = YOUTUBER	
[4/17/23 12:11PM] Fpk Merk used command ::yell Host huge giveaways live! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 12:12PM] Fpk Merk used command ::YELL hOST HUGE GIVEAWAYS LIVE! tO ENTER type @ ::fpk | Player rights = YOUTUBER	
[4/17/23 12:12PM] Fpk Merk used command ::GOLDEN | Player rights = YOUTUBER	
[4/17/23 12:14PM] Fpk Merk used command ::yell Host huge giveaways live! To enter TYPE @ ::FPK | Player rights = YOUTUBER	
[4/17/23 12:14PM] Fpk Merk used command ::golden | Player rights = YOUTUBER	
[4/17/23 12:15PM] Fpk Merk used command ::voteboss | Player rights = YOUTUBER	
[4/17/23 12:17PM] Fpk Merk used command ::veigar | Player rights = YOUTUBER	
[4/17/23 12:18PM] Fpk Merk used command ::meruem | Player rights = YOUTUBER	
[4/17/23 12:18PM] Fpk Merk used command ::golden | Player rights = YOUTUBER	
[4/17/23 12:19PM] Fpk Merk used command ::voteboss | Player rights = YOUTUBER	
[4/17/23 12:20PM] Fpk Merk used command ::home | Player rights = YOUTUBER	
[4/17/23 12:25PM] Fpk Merk used command ::ref | Player rights = YOUTUBER	
