[4/16/23 06:49PM] Death used command ::ref | Player rights = PLAYER	
[4/17/23 08:59PM] Death used command ::redeem 1 | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:59PM] Death used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/17/23 08:59PM] Death used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:00PM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:00PM] Death used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:00PM] Death used command ::.golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:01PM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:02PM] Death used command ::yell 30 1 scrolls my pos | Player rights = GRACEFUL_DONATOR	
[4/17/23 09:05PM] Death used command ::yell buying mage weapon 230k and 301scrolls | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:31AM] Death used command ::yell anyone sellin s good range or mage wepon for 230k cash? | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:40AM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:40AM] Death used command ::yell anyone selling a decent weapon mele or mage for 230k? | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:42AM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 07:47AM] Death used command ::yell buting range or mage weapon got 230k pm me | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:05AM] Death used command ::yell buying weapon for 240k pm me | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:34AM] Death used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:39AM] Death used command ::yell buying range or mage weapon i got 240k  | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:40AM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:42AM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:42AM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:42AM] Death used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43AM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/18/23 08:43AM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:48AM] Death used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:49AM] Death used command ::yell buying a mage or range weapon i have 250k pm me | Player rights = GRACEFUL_DONATOR	
[4/18/23 02:04PM] Death used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:01PM] Death used command ::yell buying a mage or range weapon i got 250k  | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:05PM] Death used command ::yell how much does a decent weapon with x2 kc go for | Player rights = GRACEFUL_DONATOR	
[4/18/23 09:11PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:51AM] Death used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:50PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 12:50PM] Death used command ::yell selling 32 $ scrolls pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:01PM] Death used command ::yell selling 32 1$ scrolls pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:22PM] Death used command ::yell selling 32 1$ scrolls pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:30PM] Death used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:30PM] Death used command ::yell selling 32 1$ scrolls pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:35PM] Death used command ::yell selling 47 1 scrolls pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:36PM] Death used command ::yell 47 1 scrolls my pos 40k each vote scrolls 20k each | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:49PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 01:49PM] Death used command ::yell buying a range weapon with x2 kc | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:19PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 02:20PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:19PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:20PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:25PM] Death used command ::yell buying x2 kills 100k pm mr | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:35PM] Death used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:40PM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:41PM] Death used command ::yell buying x2 kc 150k pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Death used command ::rewrd 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:43PM] Death used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/20/23 04:46PM] Death used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:01PM] Death used command ::yell buying x2 kill pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:08PM] Death used command ::yell buying x2 kills perk pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:10PM] Death used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:19PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:20PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 05:21PM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:11PM] Death used command ::yell buting collector neck pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:18PM] Death used command ::yell butinc collector neck pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:19PM] Death used command ::yell buying** | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:19PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:20PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21PM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:24PM] Death used command ::yell buying collector ammy pm | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:36PM] Death used command ::yell buying collector neck pm me | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:39PM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:41PM] Death used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:49PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:07PM] Death used command ::aoe | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:07PM] Death used command ::aoe | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21PM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:21PM] Death used command ::meriem | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:22PM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:23PM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:49PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:03PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:18PM] Death used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:25PM] Death used command ::yell 16 1$ my pos 65k | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:30PM] Death used command ::yell 16 1$ scrolls my pos | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:33PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 09:35PM] Death used command ::yell will anyone sell me a good piece of arnour not legs for 900k | Player rights = GRACEFUL_DONATOR	
[4/20/23 10:46PM] Death used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/20/23 11:02PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:02AM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:32AM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:33AM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:34AM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:35AM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:36AM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:37AM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:39AM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:40AM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:43AM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:45AM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:45AM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:56AM] Death used command ::::yell 50 plus 1$ my pos 55k each | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:57AM] Death used command ::yell 56 1$ my pos 55k each help a noob with somecash | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:58AM] Death used command ::instance | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:19AM] Death used command ::yell double kills legs my pos | Player rights = GRACEFUL_DONATOR	
[4/21/23 09:20AM] Death used command ::yell 56 !$ my pos 49k each  | Player rights = GRACEFUL_DONATOR	
[4/21/23 02:05PM] Death used command ::home | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:24PM] Death used command ::zones | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:24PM] Death used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:25PM] Death used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/21/23 08:25PM] Death used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:56AM] Death used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:32PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:33PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 12:35PM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 01:03PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:02PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:22PM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:27PM] Death used command ::yell anyone selling any drop rate that isnt legs | Player rights = GRACEFUL_DONATOR	
[4/22/23 03:30PM] Death used command ::yell buying some rop rate gear | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:02PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:12PM] Death used command ::yell buying a few high dr pieces pm me | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:20PM] Death used command ::yell anyone got any drop rate gear theyd sell | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:27PM] Death used command ::yell i got 6m red coins for some high dr gear pm me | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:32PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:33PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:34PM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 04:36PM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:36PM] Death used command ::yell buying some drop rate gear pm me | Player rights = GRACEFUL_DONATOR	
[4/22/23 05:50PM] Death used command ::yell anyone selling some decent drop rate gear pm me | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:02PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 09:03PM] Death used command ::yell buying any decent drop rate items pm me | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:32PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33PM] Death used command ::yell anyone selling any good dr gear pm me | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34PM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:08PM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:11PM] Death used command ::home | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:12PM] Death used command ::yell anyone selling any drop rate gear?  | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:37AM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:37AM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:38AM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:38AM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:40AM] Death used command ::yell buying some drop rate gear pm me | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:40AM] Death used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:41AM] Death used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/23/23 09:43AM] Death used command ::reard 1 all | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:23AM] Death used command ::yell how much does something with 61% dr sell for? | Player rights = GRACEFUL_DONATOR	
[4/23/23 10:24AM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:45AM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:59AM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:59AM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:59AM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 11:59AM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:00PM] Death used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:05PM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:07PM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:08PM] Death used command ::yell selling 61% dr item pm me | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:08PM] Death used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:25PM] Death used command ::yell 61% dr boots my pos | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:31PM] Death used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:32PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:33PM] Death used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:33PM] Death used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:34PM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:35PM] Death used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:36PM] Death used command ::yell selling 61% dr item pm me | Player rights = GRACEFUL_DONATOR	
[4/23/23 12:51PM] Death used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
