[4/15/23 08:56AM] Frog used command ::starterzone | Player rights = PLAYER	
[4/17/23 11:42PM] Frog used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54PM] Frog used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/18/23 12:11AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:41AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Frog used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Frog used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:43AM] Frog used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Frog used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:11AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:38AM] Frog used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Frog used command ::yell selling gold enchantments | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Frog used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Frog used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:47AM] Frog used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Frog used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Frog used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Frog used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:46AM] Frog used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 02:56AM] Frog used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 02:57AM] Frog used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 02:58AM] Frog used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 03:08AM] Frog used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 03:11AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:14AM] Frog used command ::yell selling gold attachments | Player rights = CLERIC_DONATOR	
[4/18/23 03:32AM] Frog used command ::colleciton | Player rights = CLERIC_DONATOR	
[4/18/23 03:32AM] Frog used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 03:32AM] Frog used command ::achievements | Player rights = CLERIC_DONATOR	
[4/18/23 03:32AM] Frog used command ::progress | Player rights = CLERIC_DONATOR	
[4/18/23 03:32AM] Frog used command ::achievements | Player rights = CLERIC_DONATOR	
[4/18/23 03:41AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:43AM] Frog used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:11AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Frog used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:07AM] Frog used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 01:08AM] Frog used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/20/23 01:08AM] Frog used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 01:08AM] Frog used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 01:19AM] Frog used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 01:21AM] Frog used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 01:23AM] Frog used command ::meruem | Player rights = CLERIC_DONATOR	
