[4/16/23 05:57AM] Vaflius used command ::reff | Player rights = PLAYER	
[4/21/23 09:38AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:39AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:53AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 09:55AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:56AM] Vaflius used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 09:57AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:02AM] Vaflius used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:07AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:07AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:09AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:14AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:16AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:21AM] Vaflius used command ::teleport | Player rights = CLERIC_DONATOR	
[4/21/23 10:21AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:21AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:27AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:31AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Vaflius used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Vaflius used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Vaflius used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 10:35AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 10:36AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:39AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:42AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:49AM] Vaflius used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 10:49AM] Vaflius used command ::pos | Player rights = CLERIC_DONATOR	
