[4/18/23 12:13PM] Bandit used command ::referal | Player rights = PLAYER	
[4/21/23 01:02PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:10PM] Bandit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 01:14PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:32PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:34PM] Bandit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:17PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:17PM] Bandit used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 02:17PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:26PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:27PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:27PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:32PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:33PM] Bandit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:34PM] Bandit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:54PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:57PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 02:58PM] Bandit used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 02:58PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 03:02PM] Bandit used command ::progress | Player rights = CLERIC_DONATOR	
[4/21/23 03:02PM] Bandit used command ::prog | Player rights = CLERIC_DONATOR	
[4/21/23 03:02PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:06PM] Bandit used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 03:29PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:30PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:31PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:31PM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 03:32PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:33PM] Bandit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:35PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 04:02PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:02PM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:04PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:05PM] Bandit used command ::noble | Player rights = CLERIC_DONATOR	
[4/21/23 05:12PM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:21AM] Bandit used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 08:22AM] Bandit used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 08:31AM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Bandit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Bandit used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:35AM] Bandit used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 08:37AM] Bandit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 09:02AM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:32AM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:33AM] Bandit used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 09:52AM] Bandit used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:01AM] Bandit used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 10:02AM] Bandit used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:03AM] Bandit used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 10:12AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Bandit used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Bandit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:38AM] Bandit used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 11:02AM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:17AM] Bandit used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 11:19AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:32AM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:32AM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:33AM] Bandit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 11:34AM] Bandit used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 11:35AM] Bandit used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 11:36AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:36AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:51AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:52AM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 11:53AM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 11:53AM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 11:54AM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 11:57AM] Bandit used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 12:02PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 12:08PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 12:09PM] Bandit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 12:11PM] Bandit used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 12:13PM] Bandit used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 12:18PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 12:32PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 12:33PM] Bandit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 12:34PM] Bandit used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 12:44PM] Bandit used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 12:47PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 01:03PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 01:23PM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 01:33PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 01:33PM] Bandit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 02:32PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 02:32PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 02:33PM] Bandit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 02:34PM] Bandit used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 02:35PM] Bandit used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 03:03PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:05PM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:21PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 03:22PM] Bandit used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 03:32PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:34PM] Bandit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 03:35PM] Bandit used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 04:36PM] Bandit used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 04:58PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 05:02PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 05:04PM] Bandit used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 06:02PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 10:48AM] Bandit used command ::VOTE | Player rights = TORMENTED_DONATOR	
[4/23/23 10:49AM] Bandit used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/23/23 10:53AM] Bandit used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/23/23 10:53AM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 10:53AM] Bandit used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 10:54AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 10:55AM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 10:55AM] Bandit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 10:55AM] Bandit used command ::home | Player rights = TORMENTED_DONATOR	
[4/23/23 11:01AM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/26/23 11:54AM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/26/23 11:56AM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/26/23 11:57AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:57AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 11:57AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:57AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:58AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:59AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:59AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 11:59AM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 12:00PM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 12:01PM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 12:02PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:03PM] Bandit used command ::home | Player rights = TORMENTED_DONATOR	
[4/26/23 12:11PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:11PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:11PM] Bandit used command ::home | Player rights = TORMENTED_DONATOR	
[4/26/23 12:12PM] Bandit used command ::pos | Player rights = TORMENTED_DONATOR	
[4/26/23 12:19PM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 12:19PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:19PM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 12:19PM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 12:20PM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 12:20PM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 12:20PM] Bandit used command ::elo | Player rights = TORMENTED_DONATOR	
[4/26/23 12:24PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:29PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:32PM] Bandit used command ::vote | Player rights = TORMENTED_DONATOR	
[4/26/23 12:33PM] Bandit used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/26/23 12:33PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:38PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:40PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:40PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:42PM] Bandit used command ::bank | Player rights = TORMENTED_DONATOR	
[4/26/23 12:44PM] Bandit used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/26/23 01:05PM] Bandit used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/26/23 01:06PM] Bandit used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/26/23 01:07PM] Bandit used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/26/23 01:44PM] Bandit used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/26/23 01:55PM] Bandit used command ::home | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:12PM] Bandit used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:14PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:14PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:14PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:14PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:14PM] Bandit used command ::raid | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:14PM] Bandit used command ::raids | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:17PM] Bandit used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:17PM] Bandit used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:21PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:21PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:21PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:22PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:22PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:22PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:23PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:35PM] Bandit used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:38PM] Bandit used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:40PM] Bandit used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:42PM] Bandit used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:56PM] Bandit used command ::home | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:57PM] Bandit used command ::home | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:58PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 03:58PM] Bandit used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/27/23 04:03PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
[4/27/23 04:05PM] Bandit used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/27/23 04:06PM] Bandit used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/27/23 04:08PM] Bandit used command ::elo | Player rights = MYSTICAL_DONATOR	
