[4/16/23 09:55PM] Sad used command ::refer ents | Player rights = PLAYER	
[4/17/23 10:34AM] Sad used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:35AM] Sad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:38AM] Sad used command ::dropoff | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:42AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:47AM] Sad used command ::fpk | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:55AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 10:56AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:00AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:01AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:03AM] Sad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:04AM] Sad used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:05AM] Sad used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:07AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:08AM] Sad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:23AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:29AM] Sad used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Sad used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Sad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Sad used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:34AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:40AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:45AM] Sad used command ::train | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:45AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Sad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Sad used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Sad used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Sad used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:01PM] Sad used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Sad used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:03PM] Sad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:08PM] Sad used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Sad used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Sad used command ::dropon | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:14PM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Sad used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Sad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Sad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:23PM] Sad used command :::afk | Player rights = CLERIC_DONATOR	
[4/17/23 12:23PM] Sad used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 01:04PM] Sad used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 01:45PM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 01:46PM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 01:50PM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 01:53PM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 02:01PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:09PM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Sad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Sad used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Sad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:00PM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:31PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:49PM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 05:53PM] Sad used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 05:53PM] Sad used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 05:53PM] Sad used command ::zones | Player rights = CLERIC_DONATOR	
[4/17/23 05:53PM] Sad used command ::zones | Player rights = CLERIC_DONATOR	
[4/17/23 05:53PM] Sad used command ::npc  | Player rights = CLERIC_DONATOR	
[4/17/23 05:53PM] Sad used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 06:04PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:08PM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:18PM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 08:20PM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:20PM] Sad used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 09:20PM] Sad used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 09:27PM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 09:27PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:29PM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 09:36PM] Sad used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 09:37PM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 09:55PM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/17/23 09:55PM] Sad used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Sad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:54PM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 10:58PM] Sad used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:04PM] Sad used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:11PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:41PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:42PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:11AM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:39AM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 12:42AM] Sad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 12:45AM] Sad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:10AM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:25AM] Sad used command ::elo | Player rights = CLERIC_DONATOR	
[4/18/23 01:27AM] Sad used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 01:32AM] Sad used command ::collection | Player rights = CLERIC_DONATOR	
[4/18/23 01:41AM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:42AM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 02:11AM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:20AM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 02:22AM] Sad used command ::droprate | Player rights = CLERIC_DONATOR	
[4/18/23 05:43AM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 06:11AM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:27AM] Sad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:10PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:23PM] Sad used command ::totem | Player rights = CLERIC_DONATOR	
[4/18/23 01:23PM] Sad used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 01:24PM] Sad used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Sad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:34PM] Sad used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 01:40PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:43PM] Sad used command ::answer vasa | Player rights = CLERIC_DONATOR	
[4/18/23 02:32PM] Sad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:40PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42PM] Sad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:45PM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 02:49PM] Sad used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 02:50PM] Sad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 03:10PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:41PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:43PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:59PM] Sad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 07:11PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:11PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:14PM] Sad used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 08:40PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:40PM] Sad used command ::yell globals 1 min veigar > ninetails > meruem | Player rights = CLERIC_DONATOR	
[4/18/23 08:44PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:45PM] Sad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 09:11PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:35PM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 09:40PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:43PM] Sad used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 09:50PM] Sad used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 09:54PM] Sad used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:11PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:17PM] Sad used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 10:50PM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 10:50PM] Sad used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 10:56PM] Sad used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 11:07PM] Sad used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 12:32AM] Sad used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:42AM] Sad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:42AM] Sad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:44AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:45AM] Sad used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:45AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:47AM] Sad used command ::meruem::maxhit | Player rights = MYSTICAL_DONATOR	
[4/19/23 12:48AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:05AM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:06AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:08AM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 01:29AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:23AM] Sad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 06:24AM] Sad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:54AM] Sad used command :: veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:57PM] Sad used command ::wr3cked | Player rights = TORMENTED_DONATOR	
[4/19/23 01:13PM] Sad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] Sad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 01:15PM] Sad used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 01:16PM] Sad used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 01:20PM] Sad used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:22PM] Sad used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:23PM] Sad used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 01:25PM] Sad used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 01:25PM] Sad used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 01:25PM] Sad used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 01:43PM] Sad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:46PM] Sad used command ::elo | Player rights = TORMENTED_DONATOR	
[4/19/23 01:54PM] Sad used command ::totem | Player rights = TORMENTED_DONATOR	
[4/19/23 02:13PM] Sad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 02:15PM] Sad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 02:28PM] Sad used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 02:33PM] Sad used command ::totem | Player rights = TORMENTED_DONATOR	
[4/19/23 02:39PM] Sad used command ::noble | Player rights = TORMENTED_DONATOR	
[4/19/23 02:43PM] Sad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 03:06PM] Sad used command ::totem | Player rights = TORMENTED_DONATOR	
[4/19/23 03:08PM] Sad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:10PM] Sad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:12PM] Sad used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 03:12PM] Sad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:15PM] Sad used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 03:16PM] Sad used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 03:17PM] Sad used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 03:17PM] Sad used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 03:25PM] Sad used command ::afk | Player rights = TORMENTED_DONATOR	
[4/19/23 03:26PM] Sad used command ::whatdrops red partyhat | Player rights = TORMENTED_DONATOR	
[4/19/23 03:27PM] Sad used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:42PM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:11PM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:13PM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:15PM] Sad used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:43PM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:45PM] Sad used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 04:48PM] Sad used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:13PM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:15PM] Sad used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:16PM] Sad used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:42PM] Sad used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:44PM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:45PM] Sad used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:00PM] Sad used command ::home | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:14PM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:14PM] Sad used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:15PM] Sad used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:16PM] Sad used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/19/23 07:43PM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:02AM] Sad used command ::wr3cked | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:20AM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:21AM] Sad used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:22AM] Sad used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:26AM] Sad used command ::vote | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:26AM] Sad used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:28AM] Sad used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:28AM] Sad used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:28AM] Sad used command ::reward 1 | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:28AM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:32AM] Sad used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:49AM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:53AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:55AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 06:56AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:19AM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:21AM] Sad used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:22AM] Sad used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:24AM] Sad used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:34AM] Sad used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:34AM] Sad used command ::yell vbos@@@ | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:49AM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 07:49AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:03AM] Sad used command ::totem | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:19AM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 08:21AM] Sad used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:35AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:36AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:36AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:40AM] Sad used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:41AM] Sad used command ::totem | Player rights = MYSTICAL_DONATOR	
[4/20/23 09:49AM] Sad used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 10:09AM] Sad used command ::yell make sure you guys ::vote for amazing rewards and free $$ :) | Player rights = HELPER	
[4/20/23 10:13AM] Sad used command ::yell make sure to vote! awesome rewards and free $$ scrolls! | Player rights = HELPER	
[4/20/23 10:19AM] Sad used command ::veigar | Player rights = HELPER	
[4/20/23 10:19AM] Sad used command ::vboss | Player rights = HELPER	
[4/20/23 10:19AM] Sad used command ::yell vboss first! | Player rights = HELPER	
[4/20/23 10:20AM] Sad used command ::veigar | Player rights = HELPER	
[4/20/23 10:21AM] Sad used command ::ninetails | Player rights = HELPER	
[4/20/23 10:24AM] Sad used command ::veigar | Player rights = HELPER	
[4/20/23 10:25AM] Sad used command ::ninetails | Player rights = HELPER	
[4/20/23 10:25AM] Sad used command ::veigar | Player rights = HELPER	
[4/20/23 10:25AM] Sad used command ::yell veigar  | Player rights = HELPER	
[4/20/23 10:26AM] Sad used command ::ninetails | Player rights = HELPER	
[4/20/23 10:26AM] Sad used command ::veigar | Player rights = HELPER	
[4/20/23 10:27AM] Sad used command ::meruem | Player rights = HELPER	
