[4/18/23 03:46PM] Cancer used command ::refer | Player rights = PLAYER	
[4/19/23 11:12AM] Cancer used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:13AM] Cancer used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:15AM] Cancer used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:16AM] Cancer used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:17AM] Cancer used command ::shops | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:17AM] Cancer used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:19AM] Cancer used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:31AM] Cancer used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:40AM] Cancer used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:41AM] Cancer used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:43AM] Cancer used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:44AM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 11:45AM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 11:46AM] Cancer used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Cancer used command ::noble | Player rights = CLERIC_DONATOR	
[4/19/23 02:43PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 02:45PM] Cancer used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 02:46PM] Cancer used command ::shops | Player rights = CLERIC_DONATOR	
[4/19/23 02:48PM] Cancer used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 02:48PM] Cancer used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 02:56PM] Cancer used command :: go to ::noble, HUGE GIVEAWAYS | Player rights = CLERIC_DONATOR	
[4/19/23 03:12PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 03:15PM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 03:16PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 03:17PM] Cancer used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 03:22PM] Cancer used command ::varrock | Player rights = CLERIC_DONATOR	
[4/19/23 03:23PM] Cancer used command ::canafis | Player rights = CLERIC_DONATOR	
[4/19/23 03:42PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:18PM] Cancer used command ::gamble | Player rights = CLERIC_DONATOR	
[4/19/23 07:29PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:36PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:49AM] Cancer used command ::VEIGAR | Player rights = CLERIC_DONATOR	
[4/20/23 04:19PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:20PM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 04:28PM] Cancer used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 04:43PM] Cancer used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 04:45PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 04:46PM] Cancer used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 04:49PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 04:51PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 04:59PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:13PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:19PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:19PM] Cancer used command ::store | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 05:20PM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 05:21PM] Cancer used command ::store | Player rights = CLERIC_DONATOR	
[4/20/23 05:21PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 06:11AM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 06:12AM] Cancer used command ::discord | Player rights = CLERIC_DONATOR	
[4/26/23 02:07PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 02:07PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 02:07PM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 02:08PM] Cancer used command ::raids | Player rights = CLERIC_DONATOR	
[4/26/23 02:16PM] Cancer used command ::store | Player rights = CLERIC_DONATOR	
[4/26/23 02:37PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 02:37PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 02:37PM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 02:38PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 03:05PM] Cancer used command ::VEIGAR | Player rights = CLERIC_DONATOR	
[4/26/23 03:06PM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 03:07PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 03:08PM] Cancer used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 03:09PM] Cancer used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 03:51PM] Cancer used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 03:51PM] Cancer used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 03:51PM] Cancer used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 03:52PM] Cancer used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 03:54PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 04:05PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 04:06PM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 04:08PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 04:34PM] Cancer used command ::bank | Player rights = CLERIC_DONATOR	
[4/26/23 04:34PM] Cancer used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 04:42PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 05:05PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 05:05PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 05:06PM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 05:07PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 05:33PM] Cancer used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 05:33PM] Cancer used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 05:35PM] Cancer used command ::VEIGAR | Player rights = CLERIC_DONATOR	
[4/27/23 02:00PM] Cancer used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 02:01PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 02:35PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 03:00PM] Cancer used command ::vote | Player rights = CLERIC_DONATOR	
[4/27/23 03:00PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 03:03PM] Cancer used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 03:04PM] Cancer used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 03:04PM] Cancer used command ::pos | Player rights = CLERIC_DONATOR	
[4/27/23 03:05PM] Cancer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 03:06PM] Cancer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 03:07PM] Cancer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 03:08PM] Cancer used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 03:38PM] Cancer used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/27/23 03:40PM] Cancer used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 03:44PM] Cancer used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 03:47PM] Cancer used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 03:50PM] Cancer used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 03:57PM] Cancer used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 04:05PM] Cancer used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 04:06PM] Cancer used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 04:15PM] Cancer used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 04:24PM] Cancer used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 04:27PM] Cancer used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 04:27PM] Cancer used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/27/23 04:34PM] Cancer used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 04:35PM] Cancer used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 04:37PM] Cancer used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:00PM] Cancer used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 05:02PM] Cancer used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/27/23 05:03PM] Cancer used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 05:04PM] Cancer used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/27/23 05:05PM] Cancer used command ::golden | Player rights = TORMENTED_DONATOR	
[4/27/23 05:06PM] Cancer used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/27/23 05:07PM] Cancer used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/27/23 05:16PM] Cancer used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 05:21PM] Cancer used command ::emerald | Player rights = TORMENTED_DONATOR	
[4/27/23 05:22PM] Cancer used command ::ezone | Player rights = TORMENTED_DONATOR	
[4/27/23 05:29PM] Cancer used command ::pos | Player rights = TORMENTED_DONATOR	
[4/27/23 05:31PM] Cancer used command ::bank | Player rights = TORMENTED_DONATOR	
[4/27/23 05:35PM] Cancer used command ::veigar | Player rights = TORMENTED_DONATOR	
