[4/19/23 12:43PM] Tera Wrist used command ::veigar | Player rights = PLAYER	
[4/19/23 04:43PM] Tera Wrist used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:45PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:45PM] Tera Wrist used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:45PM] Tera Wrist used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:55PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:13PM] Tera Wrist used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Tera Wrist used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:15PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:17PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:32PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:43PM] Tera Wrist used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:52PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:08PM] Tera Wrist used command ::store | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:14PM] Tera Wrist used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:15PM] Tera Wrist used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:16PM] Tera Wrist used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:18PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:27PM] Tera Wrist used command ::perks | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:27PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:28PM] Tera Wrist used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:40PM] Tera Wrist used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:40PM] Tera Wrist used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:42PM] Tera Wrist used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:43PM] Tera Wrist used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:45PM] Tera Wrist used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:46PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 06:49PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:51PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:53PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:00PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:00PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:05PM] Tera Wrist used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 07:05PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 07:07PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:07PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 07:08PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Tera Wrist used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:58PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:03PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:07PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:32PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:33PM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:34PM] Tera Wrist used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:35PM] Tera Wrist used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 02:49PM] Tera Wrist used command ::noble | Player rights = CLERIC_DONATOR	
[4/21/23 02:55PM] Tera Wrist used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 02:57PM] Tera Wrist used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 02:57PM] Tera Wrist used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 02:57PM] Tera Wrist used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 02:57PM] Tera Wrist used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 02:58PM] Tera Wrist used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 02:58PM] Tera Wrist used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 02:58PM] Tera Wrist used command ::voted | Player rights = CLERIC_DONATOR	
[4/21/23 02:58PM] Tera Wrist used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 02:58PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Tera Wrist used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Tera Wrist used command ::reward 2 | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Tera Wrist used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Tera Wrist used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Tera Wrist used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Tera Wrist used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/21/23 02:59PM] Tera Wrist used command ::reward  1 | Player rights = CLERIC_DONATOR	
[4/21/23 03:03PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:06PM] Tera Wrist used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/21/23 03:32PM] Tera Wrist used command ::veiga | Player rights = CLERIC_DONATOR	
[4/21/23 03:33PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 03:34PM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 03:35PM] Tera Wrist used command ::noble | Player rights = CLERIC_DONATOR	
[4/21/23 03:36PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 04:00PM] Tera Wrist used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 04:33PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 04:34PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 04:34PM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Tera Wrist used command ::merium | Player rights = CLERIC_DONATOR	
[4/21/23 04:35PM] Tera Wrist used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 05:03PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:09PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:22PM] Tera Wrist used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 05:22PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:27PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:32PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Tera Wrist used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 05:54PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:02PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:03AM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 03:33AM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:32AM] Tera Wrist used command ::events | Player rights = CLERIC_DONATOR	
[4/22/23 11:32AM] Tera Wrist used command ::event | Player rights = CLERIC_DONATOR	
[4/22/23 11:33AM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34AM] Tera Wrist used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:44AM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:45AM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 11:51AM] Tera Wrist used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 11:58AM] Tera Wrist used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 12:03PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:36PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:55PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 01:58PM] Tera Wrist used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/22/23 01:58PM] Tera Wrist used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 01:59PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:03PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:03PM] Tera Wrist used command ::noble | Player rights = CLERIC_DONATOR	
[4/22/23 02:04PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:13PM] Tera Wrist used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/22/23 02:22PM] Tera Wrist used command ::noble | Player rights = CLERIC_DONATOR	
[4/22/23 02:25PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:26PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:27PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:28PM] Tera Wrist used command ::noble | Player rights = CLERIC_DONATOR	
[4/22/23 02:30PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:33PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:33PM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:33PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:34PM] Tera Wrist used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:34PM] Tera Wrist used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:35PM] Tera Wrist used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:36PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:36PM] Tera Wrist used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 02:36PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:37PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:43PM] Tera Wrist used command :::noble | Player rights = CLERIC_DONATOR	
[4/22/23 02:43PM] Tera Wrist used command ::noble | Player rights = CLERIC_DONATOR	
[4/22/23 02:45PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:45PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:48PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:48PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 02:50PM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 11:01AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 11:04AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 11:05AM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 11:06AM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 11:07AM] Tera Wrist used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 11:08AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 11:10AM] Tera Wrist used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/26/23 11:10AM] Tera Wrist used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 11:12AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 11:21AM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 11:30AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 11:31AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 11:35AM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 11:37AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 11:47AM] Tera Wrist used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 01:05PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:06PM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 01:07PM] Tera Wrist used command ::mereum | Player rights = CLERIC_DONATOR	
[4/26/23 01:07PM] Tera Wrist used command ::miruem | Player rights = CLERIC_DONATOR	
[4/26/23 01:07PM] Tera Wrist used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 01:19PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 01:35PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 01:35PM] Tera Wrist used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 01:39PM] Tera Wrist used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 01:39PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 02:05PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 02:06PM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 02:08PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 03:32PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/26/23 03:35PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 11:14AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 11:16AM] Tera Wrist used command ::vote | Player rights = CLERIC_DONATOR	
[4/27/23 11:18AM] Tera Wrist used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 11:26AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 11:27AM] Tera Wrist used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/27/23 11:29AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 11:34AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 11:35AM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 11:36AM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 12:08PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 12:16PM] Tera Wrist used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 12:25PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 12:25PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 12:27PM] Tera Wrist used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 12:27PM] Tera Wrist used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/27/23 12:29PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 12:35PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 12:36PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 02:53PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 03:02PM] Tera Wrist used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 03:06PM] Tera Wrist used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 03:07PM] Tera Wrist used command ::meruem | Player rights = CLERIC_DONATOR	
[4/27/23 03:08PM] Tera Wrist used command ::golden | Player rights = CLERIC_DONATOR	
[4/27/23 03:09PM] Tera Wrist used command ::home | Player rights = CLERIC_DONATOR	
[4/27/23 03:22PM] Tera Wrist used command ::slayer | Player rights = CLERIC_DONATOR	
[4/27/23 03:27PM] Tera Wrist used command ::raids | Player rights = CLERIC_DONATOR	
