[4/15/23 12:06AM] Kandonas used command ::totem | Player rights = PLAYER	
[4/15/23 07:09AM] Kandonas used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:40AM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:41AM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:48AM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:48AM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:48AM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:08AM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:33AM] Kandonas used command ::elo | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:12AM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:13AM] Kandonas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:23AM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:23AM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32AM] Kandonas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:40AM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:46AM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:27AM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:55AM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:24AM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:52AM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:52AM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:52AM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:53AM] Kandonas used command ::prayer | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:58AM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:07PM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:08PM] Kandonas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:56PM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:57PM] Kandonas used command ::progress | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:57PM] Kandonas used command ::progression | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:16PM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:18PM] Kandonas used command ::yell buy all bonds 10k ea per 1$ | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:19PM] Kandonas used command ::TOTEM | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:25PM] Kandonas used command ::YELL BUY GOOD WEOPEN 272K | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:27PM] Kandonas used command ::TOTEM | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:49PM] Kandonas used command ::STORE | Player rights = GRACEFUL_DONATOR	
[4/15/23 01:53PM] Kandonas used command ::AFK | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:21PM] Kandonas used command ::Vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:26PM] Kandonas used command ::store | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:29PM] Kandonas used command ::yell sell 2x drops scrolls 30 min | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:32PM] Kandonas used command ::yell sell 1$ scrolls | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:33PM] Kandonas used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:33PM] Kandonas used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:38PM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:44PM] Kandonas used command ::yell anyone buy afk ore? | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:59PM] Kandonas used command ::yell sell bones  | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:00PM] Kandonas used command ::gome | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:00PM] Kandonas used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:03PM] Kandonas used command ::dissolve | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:06PM] Kandonas used command ::empty | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:20PM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:20PM] Kandonas used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Kandonas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:43AM] Kandonas used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 02:09AM] Kandonas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 02:23AM] Kandonas used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 02:23AM] Kandonas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:28AM] Kandonas used command ::dropon | Player rights = CLERIC_DONATOR	
[4/16/23 02:28AM] Kandonas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 02:48AM] Kandonas used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:48AM] Kandonas used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:48AM] Kandonas used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:48AM] Kandonas used command ::b | Player rights = CLERIC_DONATOR	
[4/16/23 02:56AM] Kandonas used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 02:59AM] Kandonas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 04:25AM] Kandonas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:29AM] Kandonas used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 04:30AM] Kandonas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:18AM] Kandonas used command ::yell sell collector | Player rights = CLERIC_DONATOR	
[4/16/23 06:32AM] Kandonas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 06:42AM] Kandonas used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 06:57AM] Kandonas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:01AM] Kandonas used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 07:55AM] Kandonas used command ::yell sell aura t6 | Player rights = CLERIC_DONATOR	
[4/16/23 07:55AM] Kandonas used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 07:58AM] Kandonas used command ::store | Player rights = CLERIC_DONATOR	
[4/16/23 07:59AM] Kandonas used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 07:59AM] Kandonas used command ::claim | Player rights = CLERIC_DONATOR	
[4/16/23 08:30AM] Kandonas used command ::yell buy in scrolls 10k ea | Player rights = CLERIC_DONATOR	
[4/16/23 08:33AM] Kandonas used command ::yell sell t6 aura or trade for scrols | Player rights = CLERIC_DONATOR	
[4/16/23 08:36AM] Kandonas used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 09:04AM] Kandonas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:05AM] Kandonas used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 09:05AM] Kandonas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:05AM] Kandonas used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 09:06AM] Kandonas used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 09:07AM] Kandonas used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 09:07AM] Kandonas used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 09:08AM] Kandonas used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 09:16AM] Kandonas used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 09:19AM] Kandonas used command ::yell trade 15 votes and aura t6 and blood vitur,for 28 in scroll | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Kandonas used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 09:38AM] Kandonas used command ::VBOSS | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Kandonas used command ::VOTEBOSS | Player rights = TORMENTED_DONATOR	
[4/16/23 09:48AM] Kandonas used command :: | Player rights = TORMENTED_DONATOR	
[4/16/23 09:50AM] Kandonas used command ::YELL THANKS ALEX | Player rights = TORMENTED_DONATOR	
[4/16/23 09:51AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 10:04AM] Kandonas used command ::YELL WE HAVE DONATOR ZONES? | Player rights = TORMENTED_DONATOR	
[4/16/23 10:05AM] Kandonas used command ::TZONE | Player rights = TORMENTED_DONATOR	
[4/16/23 10:05AM] Kandonas used command ::DZONE | Player rights = TORMENTED_DONATOR	
[4/16/23 10:54AM] Kandonas used command ::TOTEM | Player rights = TORMENTED_DONATOR	
[4/16/23 11:43AM] Kandonas used command ::TOTEM | Player rights = TORMENTED_DONATOR	
[4/16/23 12:01PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 12:06PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 12:45PM] Kandonas used command ::TOTEM | Player rights = TORMENTED_DONATOR	
[4/16/23 12:57PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:22PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:22PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/16/23 01:29PM] Kandonas used command ::AFK | Player rights = TORMENTED_DONATOR	
[4/16/23 01:29PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 01:47AM] Kandonas used command ::yell sell executive legs u  | Player rights = TORMENTED_DONATOR	
[4/17/23 01:49AM] Kandonas used command ::Totem | Player rights = TORMENTED_DONATOR	
[4/17/23 02:31AM] Kandonas used command ::Afk | Player rights = TORMENTED_DONATOR	
[4/17/23 03:09AM] Kandonas used command ::eventroom | Player rights = TORMENTED_DONATOR	
[4/17/23 03:12AM] Kandonas used command ::totem | Player rights = TORMENTED_DONATOR	
[4/17/23 03:34AM] Kandonas used command ::demi | Player rights = TORMENTED_DONATOR	
[4/17/23 03:47AM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/17/23 09:56AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/17/23 10:06AM] Kandonas used command ::vot | Player rights = TORMENTED_DONATOR	
[4/17/23 10:06AM] Kandonas used command ::vote | Player rights = TORMENTED_DONATOR	
[4/17/23 10:09AM] Kandonas used command ::reward all 1 | Player rights = TORMENTED_DONATOR	
[4/18/23 01:55AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:14AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 02:14AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 02:14AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 02:43AM] Kandonas used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 02:46AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:48AM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/18/23 10:45AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 10:53AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 11:11AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 11:23AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 11:27AM] Kandonas used command ::yell trade 10 dollar bond for x3 kc, or any good piece  | Player rights = TORMENTED_DONATOR	
[4/18/23 11:49AM] Kandonas used command ::Afk | Player rights = TORMENTED_DONATOR	
[4/18/23 11:49AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 11:49AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 11:50AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 10:55PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 10:56PM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/19/23 10:59AM] Kandonas used command ::Afk | Player rights = TORMENTED_DONATOR	
[4/19/23 10:59AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:59AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:59AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 11:19AM] Kandonas used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 11:19AM] Kandonas used command ::Vote | Player rights = TORMENTED_DONATOR	
[4/19/23 11:20AM] Kandonas used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 11:22AM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/19/23 11:25AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 11:25AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 10:20PM] Kandonas used command ::Afk | Player rights = TORMENTED_DONATOR	
[4/20/23 05:19AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 05:28AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 07:29AM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/20/23 07:35AM] Kandonas used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/20/23 07:36AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 07:43AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 07:45AM] Kandonas used command ::Afk | Player rights = TORMENTED_DONATOR	
[4/20/23 11:15AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 11:15AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 12:03PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 12:03PM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 12:05PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 12:05PM] Kandonas used command ::yell anyone buy afk ores? | Player rights = TORMENTED_DONATOR	
[4/20/23 12:08PM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 12:10PM] Kandonas used command ::zones | Player rights = TORMENTED_DONATOR	
[4/20/23 12:19PM] Kandonas used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 12:22PM] Kandonas used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 01:13PM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/20/23 01:13PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 01:13PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 02:16PM] Kandonas used command ::dn | Player rights = TORMENTED_DONATOR	
[4/20/23 09:39PM] Kandonas used command ::AFK | Player rights = TORMENTED_DONATOR	
[4/20/23 09:39PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:18AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:20AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:23AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:38AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 11:41AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:41AM] Kandonas used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 11:46AM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 11:51AM] Kandonas used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:52AM] Kandonas used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:52AM] Kandonas used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:52AM] Kandonas used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:52AM] Kandonas used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:53AM] Kandonas used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/21/23 11:56AM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:01PM] Kandonas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 12:06PM] Kandonas used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:07PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:08PM] Kandonas used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:19PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:22PM] Kandonas used command ::totem | Player rights = TORMENTED_DONATOR	
[4/21/23 12:22PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 12:25PM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/21/23 12:58PM] Kandonas used command ::yell  anyone wanna trade 20 votes and 58$scroll for good bow? | Player rights = TORMENTED_DONATOR	
[4/21/23 12:58PM] Kandonas used command ::yell good bow or staff | Player rights = TORMENTED_DONATOR	
[4/21/23 12:58PM] Kandonas used command ::yell good bow or staff? | Player rights = TORMENTED_DONATOR	
[4/21/23 01:05PM] Kandonas used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 01:15PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:15PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 01:43PM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/21/23 07:20PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:20PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:39PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:39PM] Kandonas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 07:39PM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/21/23 07:51PM] Kandonas used command ::afk | Player rights = TORMENTED_DONATOR	
[4/21/23 09:28PM] Kandonas used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 09:38PM] Kandonas used command ::store | Player rights = TORMENTED_DONATOR	
[4/21/23 09:41PM] Kandonas used command ::claim | Player rights = TORMENTED_DONATOR	
[4/21/23 09:41PM] Kandonas used command ::Claim | Player rights = TORMENTED_DONATOR	
[4/21/23 09:43PM] Kandonas used command ::Dropoff | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:56PM] Kandonas used command ::vbosss | Player rights = MYSTICAL_DONATOR	
[4/21/23 09:56PM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:44AM] Kandonas used command ::Afk | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:36AM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:39AM] Kandonas used command ::yell sell varth bow | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:40AM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:56AM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:34AM] Kandonas used command ::home | Player rights = MYSTICAL_DONATOR	
[4/22/23 08:37AM] Kandonas used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 09:49PM] Kandonas used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:45AM] Kandonas used command ::home | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:49AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:54AM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:28AM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:07AM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 08:41AM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:26AM] Kandonas used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 09:30AM] Kandonas used command ::save | Player rights = MYSTICAL_DONATOR	
[4/23/23 10:39AM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
<<<<<<< Updated upstream
[4/26/23 01:15AM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
=======
[4/23/23 11:42PM] Kandonas used command ::Afk | Player rights = MYSTICAL_DONATOR	
[4/24/23 01:29AM] Kandonas used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:10AM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:38AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 02:54AM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:00AM] Kandonas used command ::noble | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:04AM] Kandonas used command ::voteboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:11AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:33AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:33AM] Kandonas used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/24/23 05:33AM] Kandonas used command ::afk | Player rights = MYSTICAL_DONATOR	
[4/24/23 06:51AM] Kandonas used command ::drop on | Player rights = MYSTICAL_DONATOR	
[4/24/23 06:51AM] Kandonas used command ::Dropon | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:10AM] Kandonas used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:17AM] Kandonas used command ::dropon | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:25AM] Kandonas used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:29AM] Kandonas used command ::yell sell 76$  100kea | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:31AM] Kandonas used command ::home | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:34AM] Kandonas used command ::yell buy bow 9m | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:39AM] Kandonas used command ::yell buy elte bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:40AM] Kandonas used command ::yell buy elite bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:43AM] Kandonas used command ::dropoff | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:47AM] Kandonas used command ::yell buy elite bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:49AM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 07:49AM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:00AM] Kandonas used command ::yell buy elite bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:10AM] Kandonas used command ::buy elite bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:10AM] Kandonas used command ::yell buy elite bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:20AM] Kandonas used command ::buy elite bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:20AM] Kandonas used command ::yell buy elite bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:28AM] Kandonas used command ::yell buy elite bow | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:36AM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:39AM] Kandonas used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/24/23 08:42AM] Kandonas used command ::teleport | Player rights = MYSTICAL_DONATOR	
[4/24/23 09:25AM] Kandonas used command ::vboss | Player rights = MYSTICAL_DONATOR	
