[4/15/23 09:42AM] Cameron used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 06:05PM] Cameron used command ::ref | Player rights = CLERIC_DONATOR	
[4/16/23 06:08PM] Cameron used command ::youtube | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:23PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:36PM] Cameron used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Cameron used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:54PM] Cameron used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 08:00PM] Cameron used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 08:00PM] Cameron used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 08:00PM] Cameron used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 08:20PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:43PM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:45PM] Cameron used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:51PM] Cameron used command ::fly | Player rights = CLERIC_DONATOR	
[4/16/23 09:51PM] Cameron used command ::sink | Player rights = CLERIC_DONATOR	
[4/16/23 09:51PM] Cameron used command ::swim | Player rights = CLERIC_DONATOR	
[4/16/23 09:51PM] Cameron used command ::god | Player rights = CLERIC_DONATOR	
[4/16/23 09:51PM] Cameron used command ::godmode | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Cameron used command ::infhp | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Cameron used command ::toggledexp | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Cameron used command ::togglekc | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Cameron used command ::toggle | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Cameron used command ::commands | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Cameron used command ::checkdaily | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Cameron used command ::checkdaily | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Cameron used command ::checkdaily | Player rights = CLERIC_DONATOR	
[4/16/23 09:52PM] Cameron used command ::command | Player rights = CLERIC_DONATOR	
[4/16/23 10:09PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:39AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:41AM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:42AM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 03:43AM] Cameron used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 04:39AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:38AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:41AM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:42AM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 05:44AM] Cameron used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 05:48AM] Cameron used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 05:48AM] Cameron used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 06:09AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:39AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Cameron used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:10AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:39AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:41AM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 08:08AM] Cameron used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 08:10AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:16AM] Cameron used command ::kills | Player rights = CLERIC_DONATOR	
[4/17/23 09:02AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:31AM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Cameron used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:58AM] Cameron used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 11:58AM] Cameron used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 01:17PM] Cameron used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:28PM] Cameron used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Cameron used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 01:35PM] Cameron used command ::::yell selling zircon ring (warrior) | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Cameron used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:02PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Cameron used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Cameron used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 05:32PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Cameron used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Cameron used command ::::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:32PM] Cameron used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 07:32PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/17/23 07:33PM] Cameron used command ::golden | Player rights = TORMENTED_DONATOR	
[4/17/23 07:52PM] Cameron used command ::raids | Player rights = TORMENTED_DONATOR	
[4/17/23 07:52PM] Cameron used command ::raid | Player rights = TORMENTED_DONATOR	
[4/17/23 07:52PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 07:54PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 07:54PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 07:54PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 07:54PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 07:55PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 07:55PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 07:55PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:25PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:26PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:26PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:26PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:27PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:27PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:27PM] Cameron used command ::elo | Player rights = TORMENTED_DONATOR	
[4/17/23 08:45PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 03:59AM] Cameron used command ::vote | Player rights = TORMENTED_DONATOR	
[4/18/23 04:01AM] Cameron used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 08:41AM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:42AM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 08:42AM] Cameron used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 09:11AM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 10:12AM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 10:41AM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 10:41AM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 10:42AM] Cameron used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 10:42AM] Cameron used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 01:11PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:11PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:14PM] Cameron used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:24PM] Cameron used command ::vote | Player rights = TORMENTED_DONATOR	
[4/18/23 02:26PM] Cameron used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 02:26PM] Cameron used command ::vote | Player rights = TORMENTED_DONATOR	
[4/18/23 02:27PM] Cameron used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 02:41PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:41PM] Cameron used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 02:41PM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 02:42PM] Cameron used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 02:50PM] Cameron used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 05:11PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:12PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:41PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 07:43PM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 07:44PM] Cameron used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 07:44PM] Cameron used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 06:54AM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 06:59AM] Cameron used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 06:59AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:59AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:59AM] Cameron used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 08:48AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 12:44PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 12:45PM] Cameron used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 01:15PM] Cameron used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 01:54PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:13PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 02:15PM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 03:13PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 03:15PM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 03:16PM] Cameron used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 03:16PM] Cameron used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 03:17PM] Cameron used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 03:18PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:26PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:29PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:58PM] Cameron used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 06:16PM] Cameron used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/19/23 06:30PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:43PM] Cameron used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 06:43PM] Cameron used command ::VEIGAR | Player rights = TORMENTED_DONATOR	
[4/19/23 06:46PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:47PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 06:54PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 07:04PM] Cameron used command ::os | Player rights = TORMENTED_DONATOR	
[4/19/23 07:04PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 07:14PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 07:14PM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 07:15PM] Cameron used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 07:23PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 07:28PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 07:36PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 07:43PM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 03:51AM] Cameron used command ::VEIGAR | Player rights = TORMENTED_DONATOR	
[4/20/23 03:58AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 03:59AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 04:12AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 04:12AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 06:06AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 06:33AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 07:59AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 08:00AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 08:06AM] Cameron used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 10:52AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 10:53AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 10:58AM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 11:14AM] Cameron used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 11:21AM] Cameron used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/20/23 11:22AM] Cameron used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/20/23 01:27PM] Cameron used command ::vote | Player rights = TORMENTED_DONATOR	
[4/20/23 01:29PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 01:30PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 01:31PM] Cameron used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 01:33PM] Cameron used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/20/23 01:35PM] Cameron used command ::claimvote | Player rights = TORMENTED_DONATOR	
[4/20/23 01:35PM] Cameron used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/20/23 01:35PM] Cameron used command ::pos | Player rights = TORMENTED_DONATOR	
[4/20/23 01:49PM] Cameron used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:19PM] Cameron used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:22PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:25PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:49PM] Cameron used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:50PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:52PM] Cameron used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/20/23 02:57PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:01PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:20PM] Cameron used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:20PM] Cameron used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:21PM] Cameron used command ::muruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:21PM] Cameron used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:22PM] Cameron used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:22PM] Cameron used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:29PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:31PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:32PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:49PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 03:54PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:19PM] Cameron used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:21PM] Cameron used command ::ninetails | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:22PM] Cameron used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:22PM] Cameron used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:42PM] Cameron used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/20/23 04:44PM] Cameron used command ::vboss | Player rights = MYSTICAL_DONATOR	
