[4/15/23 09:30PM] Weed used command ::ref walkchaos | Player rights = PLAYER	
[4/16/23 07:51PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:52PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Weed used command ::dropson | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Weed used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 07:54PM] Weed used command ::dropon | Player rights = CLERIC_DONATOR	
[4/16/23 07:55PM] Weed used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:04PM] Weed used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 08:27PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:28PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:29PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:30PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:37PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:38PM] Weed used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 08:44PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:48PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:48PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:52PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 08:57PM] Weed used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 08:57PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 06:04AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:28AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:30AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 09:00AM] Weed used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 09:03AM] Weed used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 09:03AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 09:05AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Weed used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Weed used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Weed used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:20PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:22PM] Weed used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:41PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:44PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:47PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:50PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:50PM] Weed used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 08:53PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 09:03PM] Weed used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 09:08PM] Weed used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 09:09PM] Weed used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 09:27PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:29PM] Weed used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:02PM] Weed used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Weed used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Weed used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Weed used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Weed used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 10:46PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:47PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:49PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:58PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:58PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:03PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:05PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:11PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:12PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:18PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:24PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:36PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:25AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:26AM] Weed used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 06:28AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:30AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:33AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:36AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:41AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 06:45AM] Weed used command ::Afk | Player rights = CLERIC_DONATOR	
[4/18/23 08:55AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:08AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:11AM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 09:14AM] Weed used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 09:15AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:22AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:23AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:23AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:26AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:39AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:39AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:40AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:41AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:41AM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:28PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:41PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 12:51PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:26PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Weed used command ::vboss]\ | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Weed used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:30PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:33PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:41PM] Weed used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 01:42PM] Weed used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 01:42PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:45PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:46PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:49PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:50PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:50PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:52PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:04PM] Weed used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 02:05PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:07PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:09PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:11PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:14PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:20PM] Weed used command ::dropon | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Weed used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:55PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:37PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Weed used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 05:29PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:32PM] Weed used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 05:35PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:36PM] Weed used command ::golen | Player rights = CLERIC_DONATOR	
[4/18/23 05:36PM] Weed used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 05:42PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 05:50PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:36PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:41PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:41PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:45PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:51PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 07:57PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 08:05PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 08:06PM] Weed used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 08:14PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:50PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 08:59PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:07PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:09PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 09:58PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:55AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:56AM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 12:26PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:51PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 05:59PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:00PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:19PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:28PM] Weed used command ::elo | Player rights = CLERIC_DONATOR	
[4/19/23 09:30PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 09:49PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:08PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:13PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:19PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:27PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:30PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:47PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:49PM] Weed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 11:00PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:04PM] Weed used command ::vote | Player rights = CLERIC_DONATOR	
[4/19/23 11:05PM] Weed used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 11:05PM] Weed used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 11:06PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 11:06PM] Weed used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 11:07PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 12:47PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:34PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:35PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:44PM] Weed used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 08:45PM] Weed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:46PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 08:46PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/20/23 09:02PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/20/23 09:46PM] Weed used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 06:04AM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 05:01PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:21PM] Weed used command ::perks | Player rights = TORMENTED_DONATOR	
[4/21/23 08:25PM] Weed used command ::vote | Player rights = TORMENTED_DONATOR	
[4/21/23 08:28PM] Weed used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/21/23 08:28PM] Weed used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:28PM] Weed used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 08:31PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:32PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 08:35PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:51PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:52PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:53PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 08:54PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 09:03PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:21PM] Weed used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/21/23 09:23PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 09:30PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 09:32PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 09:47PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/21/23 10:03PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 09:35AM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:38AM] Weed used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 09:40AM] Weed used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 09:40AM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:46AM] Weed used command ::dropsoff | Player rights = TORMENTED_DONATOR	
[4/22/23 09:46AM] Weed used command ::Dropoff | Player rights = TORMENTED_DONATOR	
[4/22/23 09:51AM] Weed used command ::/i feel like mage atks faster than range | Player rights = TORMENTED_DONATOR	
[4/22/23 09:53AM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 10:15AM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:03AM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:07AM] Weed used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/22/23 11:58AM] Weed used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 12:00PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:02PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 12:04PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:06PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 12:13PM] Weed used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 12:16PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 12:21PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 12:22PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 12:27PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:19PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 06:19PM] Weed used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 08:02PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:15PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:17PM] Weed used command ::noble | Player rights = TORMENTED_DONATOR	
[4/22/23 08:32PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:36PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:36PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:40PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:53PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 08:56PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:36PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:39PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:41PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 09:44PM] Weed used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 09:46PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 09:49PM] Weed used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/22/23 09:49PM] Weed used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 09:56PM] Weed used command ::dropson | Player rights = TORMENTED_DONATOR	
[4/22/23 09:56PM] Weed used command ::dropon | Player rights = TORMENTED_DONATOR	
[4/22/23 10:03PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:06PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:06PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 10:06PM] Weed used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 10:07PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:09PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 10:33PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 11:44AM] Weed used command ::vboiss | Player rights = TORMENTED_DONATOR	
[4/23/23 11:44AM] Weed used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 11:54AM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 12:00PM] Weed used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 12:00PM] Weed used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 12:00PM] Weed used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 12:00PM] Weed used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 12:10PM] Weed used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/23/23 12:13PM] Weed used command ::pos | Player rights = TORMENTED_DONATOR	
