[4/16/23 08:53AM] Happy used command ::veigar | Player rights = PLAYER	
[4/16/23 02:24PM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:38PM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 02:38PM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Happy used command ::otem | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:32PM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Happy used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:58PM] Happy used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 04:22PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 04:25PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 04:25PM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 04:25PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:33PM] Happy used command ::achievement | Player rights = CLERIC_DONATOR	
[4/16/23 04:33PM] Happy used command ::achievements | Player rights = CLERIC_DONATOR	
[4/16/23 04:36PM] Happy used command ::posd | Player rights = CLERIC_DONATOR	
[4/16/23 04:36PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 04:53PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:02PM] Happy used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:25PM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:53PM] Happy used command ::vceigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:53PM] Happy used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:58PM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 05:59PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:25PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:55PM] Happy used command ::achievemts | Player rights = CLERIC_DONATOR	
[4/16/23 06:55PM] Happy used command ::achievements | Player rights = CLERIC_DONATOR	
[4/16/23 07:23PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:25PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:25PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:54PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Happy used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Happy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:57AM] Happy used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 11:58AM] Happy used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/17/23 11:58AM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:03PM] Happy used command ::afl | Player rights = CLERIC_DONATOR	
[4/17/23 12:03PM] Happy used command ::afk | Player rights = CLERIC_DONATOR	
[4/17/23 12:05PM] Happy used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:12PM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Happy used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Happy used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Happy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:20PM] Happy used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:22PM] Happy used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:29PM] Happy used command ::czone | Player rights = CLERIC_DONATOR	
[4/17/23 12:29PM] Happy used command ::cz | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:54PM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:06PM] Happy used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:08PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:15PM] Happy used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 01:21PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 02:07PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Happy used command ::merurm | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:50PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:50PM] Happy used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:31PM] Happy used command ::dropsoff | Player rights = CLERIC_DONATOR	
[4/17/23 03:31PM] Happy used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 03:32PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:49PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 04:02PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:03PM] Happy used command ::log | Player rights = CLERIC_DONATOR	
[4/17/23 04:04PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 04:05PM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:33PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 04:34PM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 04:41PM] Happy used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 05:02PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:20PM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:32PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 06:40PM] Happy used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 07:32PM] Happy used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Happy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:36PM] Happy used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 08:15PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:15PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Happy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 08:16PM] Happy used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 08:19PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:29PM] Happy used command ::wog | Player rights = CLERIC_DONATOR	
[4/17/23 08:33PM] Happy used command ::claim | Player rights = CLERIC_DONATOR	
[4/18/23 12:42PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:45PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:45PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:48PM] Happy used command ::totem | Player rights = CLERIC_DONATOR	
[4/18/23 12:48PM] Happy used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 12:51PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:52PM] Happy used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 12:53PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:54PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 12:54PM] Happy used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:11PM] Happy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 01:20PM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 01:20PM] Happy used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 01:23PM] Happy used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Happy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 01:29PM] Happy used command ::ref | Player rights = CLERIC_DONATOR	
[4/18/23 01:32PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 01:37PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 01:38PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 01:41PM] Happy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 01:42PM] Happy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 01:42PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 01:43PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 01:55PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 02:02PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 02:07PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:11PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:41PM] Happy used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 02:41PM] Happy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 02:42PM] Happy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 02:45PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:50PM] Happy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 02:53PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 02:57PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 03:00PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 03:03PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 03:03PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 03:11PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 03:32PM] Happy used command ::totem | Player rights = TORMENTED_DONATOR	
[4/18/23 03:38PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 03:41PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 03:41PM] Happy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 03:49PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 04:02PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 04:11PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:15PM] Happy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 04:15PM] Happy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 04:15PM] Happy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 04:16PM] Happy used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 04:16PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:16PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:19PM] Happy used command ::achievement | Player rights = TORMENTED_DONATOR	
[4/18/23 04:30PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:31PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:40PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] Happy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42PM] Happy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42PM] Happy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:55PM] Happy used command ::vb | Player rights = TORMENTED_DONATOR	
[4/18/23 04:55PM] Happy used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/18/23 04:57PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:11PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:11PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:29PM] Happy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 05:33PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:33PM] Happy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 05:35PM] Happy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 05:35PM] Happy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 05:36PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:41PM] Happy used command ::Veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:43PM] Happy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 06:05PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:15PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:30PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 07:00PM] Happy used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 07:03PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 07:04PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 07:11PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:27PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 08:28PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 08:41PM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 08:43PM] Happy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 08:45PM] Happy used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 08:56PM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 08:58PM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 08:59PM] Happy used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 08:23AM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 08:23AM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 08:31AM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 08:45AM] Happy used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 08:46AM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 08:46AM] Happy used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 08:46AM] Happy used command ::Reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 08:47AM] Happy used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 08:47AM] Happy used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 08:47AM] Happy used command ::reward 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 08:47AM] Happy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 08:50AM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 08:50AM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 08:51AM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 08:52AM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 08:55AM] Happy used command ::Voteboss | Player rights = TORMENTED_DONATOR	
[4/19/23 08:58AM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 08:58AM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 08:59AM] Happy used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 09:00AM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 09:00AM] Happy used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 09:01AM] Happy used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 09:01AM] Happy used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 09:02AM] Happy used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:02AM] Happy used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:18AM] Happy used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 09:19AM] Happy used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 09:22AM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 09:44AM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 09:52AM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 10:02AM] Happy used command ::yell hit the drystreak | Player rights = TORMENTED_DONATOR	
[4/19/23 10:14AM] Happy used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:15AM] Happy used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 10:21AM] Happy used command ::pos | Player rights = TORMENTED_DONATOR	
