[4/15/23 02:31AM] Slayer used command ::totem | Player rights = PLAYER	
[4/16/23 02:24PM] Slayer used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:50PM] Slayer used command ::totem | Player rights = CLERIC_DONATOR	
[4/16/23 02:53PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:22PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:34PM] Slayer used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 03:34PM] Slayer used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 03:41PM] Slayer used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:23PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:53PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:05PM] Slayer used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:06PM] Slayer used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:22PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:23PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:25PM] Slayer used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:53PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:25PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:43PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:53PM] Slayer used command ::benefits | Player rights = CLERIC_DONATOR	
[4/16/23 11:09PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:11PM] Slayer used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 11:14PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:39PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:46PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:49PM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:05AM] Slayer used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 12:09AM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:36AM] Slayer used command ::dr | Player rights = CLERIC_DONATOR	
[4/17/23 12:44AM] Slayer used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:44AM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:47AM] Slayer used command ::/nice gz | Player rights = CLERIC_DONATOR	
[4/17/23 12:47AM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:47AM] Slayer used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:56AM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:57AM] Slayer used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 01:01AM] Slayer used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 01:10AM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:40AM] Slayer used command :::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:40AM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:40AM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:41AM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 06:09AM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:23PM] Slayer used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 02:56PM] Slayer used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Slayer used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:00PM] Slayer used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:09PM] Slayer used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 03:45PM] Slayer used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 03:49PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:49PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 03:50PM] Slayer used command ::elo | Player rights = CLERIC_DONATOR	
[4/17/23 04:18PM] Slayer used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 04:32PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:32PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:33PM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 06:02PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:09PM] Slayer used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 06:32PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:33PM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 07:02PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:32PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Slayer used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Slayer used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 07:33PM] Slayer used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 09:28PM] Slayer used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Slayer used command ::veigar | Player rights = HELPER	
[4/17/23 09:59PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/17/23 10:12PM] Slayer used command ::totem | Player rights = HELPER	
[4/17/23 10:28PM] Slayer used command ::veigar | Player rights = HELPER	
[4/17/23 11:11PM] Slayer used command ::veigar | Player rights = HELPER	
[4/17/23 11:26PM] Slayer used command ::reward 1 all | Player rights = HELPER	
[4/17/23 11:41PM] Slayer used command ::veigar | Player rights = HELPER	
[4/17/23 11:42PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 12:04AM] Slayer used command ::yellowzone | Player rights = HELPER	
[4/18/23 12:05AM] Slayer used command ::yellowboss | Player rights = HELPER	
[4/18/23 12:11AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 12:11AM] Slayer used command ::yellowboss | Player rights = HELPER	
[4/18/23 12:41AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 12:42AM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 12:42AM] Slayer used command ::meruem | Player rights = HELPER	
[4/18/23 12:45AM] Slayer used command ::voteboss | Player rights = HELPER	
[4/18/23 01:11AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 01:18AM] Slayer used command ::dr | Player rights = HELPER	
[4/18/23 01:41AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 01:42AM] Slayer used command ::ninetals | Player rights = HELPER	
[4/18/23 01:42AM] Slayer used command ::meruem | Player rights = HELPER	
[4/18/23 01:42AM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 01:42AM] Slayer used command ::golden | Player rights = HELPER	
[4/18/23 01:59AM] Slayer used command ::task | Player rights = HELPER	
[4/18/23 01:59AM] Slayer used command ::task | Player rights = HELPER	
[4/18/23 02:11AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 06:11AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 06:18AM] Slayer used command ::vote | Player rights = HELPER	
[4/18/23 06:26AM] Slayer used command ::voteboss | Player rights = HELPER	
[4/18/23 06:41AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 06:42AM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 06:43AM] Slayer used command ::meruem | Player rights = HELPER	
[4/18/23 06:46AM] Slayer used command ::yell buying transfer crystal | Player rights = HELPER	
[4/18/23 07:10AM] Slayer used command ::dropoff | Player rights = HELPER	
[4/18/23 07:11AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 07:41AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 07:42AM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 07:42AM] Slayer used command ::golden | Player rights = HELPER	
[4/18/23 08:11AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 08:41AM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 08:42AM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 08:42AM] Slayer used command ::meruem | Player rights = HELPER	
[4/18/23 08:43AM] Slayer used command ::golden | Player rights = HELPER	
[4/18/23 03:30PM] Slayer used command ::teleto milner | Player rights = HELPER	
[4/18/23 03:35PM] Slayer used command ::vote guys please remember to vote every 12hours if you havent! | Player rights = HELPER	
[4/18/23 03:36PM] Slayer used command ::yell guys remember to vote scrolls give extra exp and double dr | Player rights = HELPER	
[4/18/23 03:36PM] Slayer used command ::yell vote boss also drops 100% $5 scrolls alot more juicy loots!  | Player rights = HELPER	
[4/18/23 03:41PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 03:41PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 04:00PM] Slayer used command ::yell aoe giveaway rn !! | Player rights = HELPER	
[4/18/23 04:11PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 04:23PM] Slayer used command ::reward 1 all | Player rights = HELPER	
[4/18/23 04:24PM] Slayer used command ::vote | Player rights = HELPER	
[4/18/23 04:35PM] Slayer used command ::reward 1 all | Player rights = HELPER	
[4/18/23 04:40PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 04:41PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 04:42PM] Slayer used command ::meruem | Player rights = HELPER	
[4/18/23 04:42PM] Slayer used command ::golden | Player rights = HELPER	
[4/18/23 04:43PM] Slayer used command ::golden | Player rights = HELPER	
[4/18/23 04:45PM] Slayer used command ::yell everyone please vote  , voteboss gives $1 scrolls and great loot! | Player rights = HELPER	
[4/18/23 04:52PM] Slayer used command ::reward 1 all | Player rights = HELPER	
[4/18/23 04:55PM] Slayer used command ::voteboss | Player rights = HELPER	
[4/18/23 05:11PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 05:29PM] Slayer used command ::voteboss | Player rights = HELPER	
[4/18/23 05:29PM] Slayer used command ::yell voteboss! | Player rights = HELPER	
[4/18/23 05:32PM] Slayer used command ::meruem | Player rights = HELPER	
[4/18/23 05:35PM] Slayer used command ::golden | Player rights = HELPER	
[4/18/23 05:41PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 05:43PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 06:10PM] Slayer used command ::dropoff | Player rights = HELPER	
[4/18/23 06:11PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 06:11PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 06:22PM] Slayer used command ::teletojosh | Player rights = HELPER	
[4/18/23 06:22PM] Slayer used command ::teleto josh | Player rights = HELPER	
[4/18/23 06:40PM] Slayer used command ::teleto josh | Player rights = HELPER	
[4/18/23 06:41PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 06:43PM] Slayer used command :::ninetails | Player rights = HELPER	
[4/18/23 06:43PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 06:44PM] Slayer used command ::yell all vote guys 42/50 for vote boss and juicy loot!! | Player rights = HELPER	
[4/18/23 06:45PM] Slayer used command ::meruem | Player rights = HELPER	
[4/18/23 06:53PM] Slayer used command ::yell buying $3 40kea | Player rights = HELPER	
[4/18/23 06:57PM] Slayer used command ::voteboss | Player rights = HELPER	
[4/18/23 06:59PM] Slayer used command ::reward 1 all | Player rights = HELPER	
[4/18/23 06:59PM] Slayer used command ::yell voteboss gogo | Player rights = HELPER	
[4/18/23 07:11PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 07:13PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 07:24PM] Slayer used command ::pos | Player rights = HELPER	
[4/18/23 10:11PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 10:14PM] Slayer used command ::yell vote guys 37/50 voteboss givesjuicy loot and 100% $5 scroll | Player rights = HELPER	
[4/18/23 10:17PM] Slayer used command ::voteboss | Player rights = HELPER	
[4/18/23 10:36PM] Slayer used command ::verigar | Player rights = HELPER	
[4/18/23 10:36PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 10:40PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 10:45PM] Slayer used command ::meruem | Player rights = HELPER	
[4/18/23 10:48PM] Slayer used command ::golden | Player rights = HELPER	
[4/18/23 10:58PM] Slayer used command ::teleto suh | Player rights = HELPER	
[4/18/23 11:05PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 11:13PM] Slayer used command ::pos | Player rights = HELPER	
[4/18/23 11:33PM] Slayer used command ::yell guys if you havent remember to vote ::voteboss gives amazing  | Player rights = HELPER	
[4/18/23 11:33PM] Slayer used command ::yell rewards 100% $5 scrolls and tons of goodies | Player rights = HELPER	
[4/18/23 11:33PM] Slayer used command ::yell vote scrolls give double exp and double dr , 15mins exp  5mins dr | Player rights = HELPER	
[4/18/23 11:35PM] Slayer used command ::veigar | Player rights = HELPER	
[4/18/23 11:38PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/18/23 11:43PM] Slayer used command ::home | Player rights = HELPER	
[4/19/23 12:02AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:05AM] Slayer used command ::veigar | Player rights = HELPER	
[4/19/23 12:22AM] Slayer used command ::eli | Player rights = HELPER	
[4/19/23 12:22AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:24AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:25AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:25AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:26AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:26AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:26AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:26AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:26AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:27AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:27AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:27AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:28AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:28AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:28AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:29AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:29AM] Slayer used command :::elo | Player rights = HELPER	
[4/19/23 12:29AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:29AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 12:30AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:30AM] Slayer used command ::elo | Player rights = HELPER	
[4/19/23 12:31AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 12:33AM] Slayer used command ::veigar | Player rights = HELPER	
[4/19/23 12:33AM] Slayer used command ::yell all pos logs are recorded. | Player rights = HELPER	
[4/19/23 12:35AM] Slayer used command ::home | Player rights = HELPER	
[4/19/23 12:36AM] Slayer used command ::empty | Player rights = HELPER	
[4/19/23 12:36AM] Slayer used command ::veigar | Player rights = HELPER	
[4/19/23 12:38AM] Slayer used command ::mute rks | Player rights = HELPER	
[4/19/23 12:38AM] Slayer used command ::mute 6h rks | Player rights = HELPER	
[4/19/23 12:43AM] Slayer used command ::jail rks | Player rights = HELPER	
[4/19/23 12:43AM] Slayer used command ::kick rks | Player rights = HELPER	
[4/19/23 12:43AM] Slayer used command ::kick2 rks | Player rights = HELPER	
[4/19/23 12:45AM] Slayer used command ::ninetails | Player rights = HELPER	
[4/19/23 12:50AM] Slayer used command ::kick rks | Player rights = HELPER	
[4/19/23 12:51AM] Slayer used command ::meruem | Player rights = HELPER	
[4/19/23 12:59AM] Slayer used command ::empty | Player rights = HELPER	
[4/19/23 01:30AM] Slayer used command ::teleto alex | Player rights = HELPER	
[4/19/23 01:31AM] Slayer used command ::home | Player rights = HELPER	
[4/19/23 01:54AM] Slayer used command ::teleto alex | Player rights = HELPER	
[4/19/23 08:11AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 08:11AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 08:13AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 08:16AM] Slayer used command ::veigar | Player rights = HELPER	
[4/19/23 08:20AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 08:22AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 08:34AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 08:38AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 08:46AM] Slayer used command ::veigar | Player rights = HELPER	
[4/19/23 08:46AM] Slayer used command ::veigar | Player rights = HELPER	
[4/19/23 08:47AM] Slayer used command ::ninetails | Player rights = HELPER	
[4/19/23 08:51AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 08:51AM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 03:14PM] Slayer used command ::veigar | Player rights = HELPER	
[4/19/23 03:15PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/19/23 03:16PM] Slayer used command ::merurem | Player rights = HELPER	
[4/19/23 03:16PM] Slayer used command ::meruem | Player rights = HELPER	
[4/19/23 03:17PM] Slayer used command ::golden | Player rights = HELPER	
[4/19/23 03:19PM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 03:43PM] Slayer used command ::veigar | Player rights = HELPER	
[4/19/23 03:45PM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 03:59PM] Slayer used command ::yell 27/50 voteboss guys vote for juicy loot $ scrolls vote scrolls and | Player rights = HELPER	
[4/19/23 03:59PM] Slayer used command ::yell much more!!  | Player rights = HELPER	
[4/19/23 04:13PM] Slayer used command ::veigar | Player rights = HELPER	
[4/19/23 04:15PM] Slayer used command ::ninetails | Player rights = HELPER	
[4/19/23 04:20PM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 04:32PM] Slayer used command ::pos | Player rights = HELPER	
[4/19/23 04:33PM] Slayer used command ::yell 32/50 voteboss guys remember to vote alex is doubling this round! | Player rights = HELPER	
