[4/18/23 12:38PM] Synthex used command ::home | Player rights = PLAYER	
[4/20/23 09:22AM] Synthex used command ::meruem | Player rights = PLAYER	
[4/20/23 09:23AM] Synthex used command ::golden | Player rights = PLAYER	
[4/20/23 09:24AM] Synthex used command ::vboss | Player rights = PLAYER	
[4/20/23 09:28AM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 09:49AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/20/23 11:18AM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 11:19AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/20/23 11:21AM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/20/23 11:22AM] Synthex used command ::meruem | Player rights = PLAYER	
[4/20/23 11:24AM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 12:18PM] Synthex used command ::veigar | Player rights = PLAYER	
[4/20/23 12:20PM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/20/23 12:21PM] Synthex used command ::golden | Player rights = PLAYER	
[4/20/23 12:22PM] Synthex used command ::vboss | Player rights = PLAYER	
[4/20/23 12:24PM] Synthex used command ::afk | Player rights = PLAYER	
[4/20/23 03:19PM] Synthex used command ::veigar | Player rights = PLAYER	
[4/20/23 03:20PM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/20/23 03:21PM] Synthex used command ::meruem | Player rights = PLAYER	
[4/20/23 03:22PM] Synthex used command ::golden | Player rights = PLAYER	
[4/20/23 03:23PM] Synthex used command ::golden | Player rights = PLAYER	
[4/20/23 03:24PM] Synthex used command ::afk | Player rights = PLAYER	
[4/21/23 02:01AM] Synthex used command ::afk | Player rights = PLAYER	
[4/21/23 02:26AM] Synthex used command ::vboss | Player rights = PLAYER	
[4/21/23 02:29AM] Synthex used command ::afk | Player rights = PLAYER	
[4/21/23 02:32AM] Synthex used command ::veigar | Player rights = PLAYER	
[4/21/23 02:35AM] Synthex used command ::ninetails | Player rights = PLAYER	
[4/21/23 02:37AM] Synthex used command ::meruem | Player rights = PLAYER	
[4/21/23 02:39AM] Synthex used command ::golden | Player rights = PLAYER	
[4/21/23 02:40AM] Synthex used command ::afk | Player rights = PLAYER	
[4/21/23 03:06PM] Synthex used command ::vboss | Player rights = PLAYER	
[4/21/23 03:08PM] Synthex used command ::vboss | Player rights = PLAYER	
[4/21/23 03:08PM] Synthex used command ::afk | Player rights = PLAYER	
