[4/19/23 08:24PM] Tomzi used command ::refer | Player rights = PLAYER	
[4/20/23 05:21PM] Tomzi used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:17PM] Tomzi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:19PM] Tomzi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:20PM] Tomzi used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:21PM] Tomzi used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:23PM] Tomzi used command ::home | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:39PM] Tomzi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:40PM] Tomzi used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/20/23 06:48PM] Tomzi used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/20/23 07:18PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 07:20PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 07:21PM] Tomzi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 07:33PM] Tomzi used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 07:34PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 07:41PM] Tomzi used command ::afk | Player rights = CLERIC_DONATOR	
[4/20/23 09:32PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 09:34PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 09:45PM] Tomzi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:34PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:36PM] Tomzi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 11:05PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 11:32PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 11:34PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 11:35PM] Tomzi used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:07PM] Tomzi used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 05:33PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 05:34PM] Tomzi used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 05:38PM] Tomzi used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 05:39PM] Tomzi used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/21/23 06:04PM] Tomzi used command ::donate | Player rights = CLERIC_DONATOR	
[4/21/23 06:20PM] Tomzi used command ::claim | Player rights = CLERIC_DONATOR	
[4/21/23 06:21PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 06:31PM] Tomzi used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 06:32PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 06:33PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 06:34PM] Tomzi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 06:35PM] Tomzi used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 06:36PM] Tomzi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 06:41PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 07:02PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:31PM] Tomzi used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 07:34PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:25PM] Tomzi used command ::loots | Player rights = CLERIC_DONATOR	
[4/21/23 08:28PM] Tomzi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:31PM] Tomzi used command ::totem | Player rights = CLERIC_DONATOR	
[4/21/23 08:31PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:34PM] Tomzi used command ::neruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:34PM] Tomzi used command ::nereum | Player rights = CLERIC_DONATOR	
[4/21/23 08:34PM] Tomzi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:35PM] Tomzi used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:36PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:11PM] Tomzi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:16PM] Tomzi used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 06:18PM] Tomzi used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 06:18PM] Tomzi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:31PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] Tomzi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:38PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 06:38PM] Tomzi used command ::afk | Player rights = CLERIC_DONATOR	
[4/22/23 06:57PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:04PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:16PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 07:34PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:40PM] Tomzi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 07:57PM] Tomzi used command ::store | Player rights = CLERIC_DONATOR	
[4/22/23 08:03PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:03PM] Tomzi used command ::claim | Player rights = CLERIC_DONATOR	
[4/22/23 08:10PM] Tomzi used command ::claim | Player rights = CLERIC_DONATOR	
[4/22/23 08:19PM] Tomzi used command ::claim | Player rights = CLERIC_DONATOR	
[4/22/23 08:33PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34PM] Tomzi used command ::neruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:34PM] Tomzi used command ::nereum | Player rights = CLERIC_DONATOR	
[4/22/23 08:34PM] Tomzi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:35PM] Tomzi used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 09:02PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:32PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 09:32PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 09:33PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 09:35PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 09:49PM] Tomzi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 09:57PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 09:57PM] Tomzi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 09:58PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 10:02PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:09PM] Tomzi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:10PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 10:12PM] Tomzi used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 10:29PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 10:31PM] Tomzi used command ::skill | Player rights = CLERIC_DONATOR	
[4/22/23 10:31PM] Tomzi used command ::herb | Player rights = CLERIC_DONATOR	
[4/22/23 10:32PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 10:33PM] Tomzi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 10:34PM] Tomzi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:01PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:01PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:02PM] Tomzi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:04PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:05PM] Tomzi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/22/23 11:12PM] Tomzi used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 11:20PM] Tomzi used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 11:30PM] Tomzi used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 11:31PM] Tomzi used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 11:33PM] Tomzi used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 11:34PM] Tomzi used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 11:35PM] Tomzi used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 11:37PM] Tomzi used command ::home | Player rights = TORMENTED_DONATOR	
[4/22/23 11:37PM] Tomzi used command ::pos | Player rights = TORMENTED_DONATOR	
