[4/15/23 12:47AM] Tew used command ::refer  | Player rights = PLAYER	
[4/15/23 12:29PM] Tew used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:30PM] Tew used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:30PM] Tew used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:30PM] Tew used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:30PM] Tew used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:31PM] Tew used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:31PM] Tew used command ::Home | Player rights = GRACEFUL_DONATOR	
[4/15/23 12:59PM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:27PM] Tew used command ::Train | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:29PM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:43AM] Tew used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:45AM] Tew used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:46AM] Tew used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:51AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:04AM] Tew used command ::kc | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:22AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:27AM] Tew used command ::ninetailks | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:28AM] Tew used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:30AM] Tew used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:31AM] Tew used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:53AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:57AM] Tew used command ::Reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:09AM] Tew used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:09AM] Tew used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:23AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:25AM] Tew used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:26AM] Tew used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:58AM] Tew used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:05AM] Tew used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:19AM] Tew used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:20AM] Tew used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:22AM] Tew used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:25AM] Tew used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:26AM] Tew used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:27AM] Tew used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:29AM] Tew used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:52AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:53AM] Tew used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:53AM] Tew used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:55AM] Tew used command ::Vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:27AM] Tew used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:28AM] Tew used command ::gold | Player rights = CLERIC_DONATOR	
[4/16/23 05:29AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:29AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 05:33AM] Tew used command ::title | Player rights = CLERIC_DONATOR	
[4/16/23 05:33AM] Tew used command ::titles | Player rights = CLERIC_DONATOR	
[4/16/23 05:33AM] Tew used command ::dz | Player rights = CLERIC_DONATOR	
[4/16/23 05:53AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] Tew used command ::ninetials | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] Tew used command ::ninetalils | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Tew used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Tew used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 07:36AM] Tew used command ::Vote | Player rights = CLERIC_DONATOR	
[4/22/23 01:40AM] Tew used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 01:43AM] Tew used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 01:45AM] Tew used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 01:53AM] Tew used command ::Home | Player rights = CLERIC_DONATOR	
[4/22/23 01:54AM] Tew used command ::Home | Player rights = CLERIC_DONATOR	
[4/22/23 02:02AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:05AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:05AM] Tew used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:06AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:06AM] Tew used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 02:06AM] Tew used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 02:30AM] Tew used command ::home | Player rights = CLERIC_DONATOR	
[4/22/23 02:30AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 02:32AM] Tew used command ::Dr | Player rights = CLERIC_DONATOR	
[4/22/23 02:34AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 02:34AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 02:36AM] Tew used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 02:37AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:24AM] Tew used command ::Vote | Player rights = CLERIC_DONATOR	
[4/23/23 12:32AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:33AM] Tew used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 12:39AM] Tew used command ::kills | Player rights = CLERIC_DONATOR	
[4/23/23 12:39AM] Tew used command ::kills | Player rights = CLERIC_DONATOR	
[4/23/23 12:45AM] Tew used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:45AM] Tew used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:45AM] Tew used command ::Bank | Player rights = CLERIC_DONATOR	
[4/23/23 12:50AM] Tew used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:50AM] Tew used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 12:55AM] Tew used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:00AM] Tew used command ::Home | Player rights = CLERIC_DONATOR	
[4/23/23 01:02AM] Tew used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:04AM] Tew used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:05AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:06AM] Tew used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:22AM] Tew used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 01:25AM] Tew used command ::kills | Player rights = CLERIC_DONATOR	
[4/23/23 01:27AM] Tew used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:27AM] Tew used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 01:32AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 01:34AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 01:35AM] Tew used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 01:35AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 01:48AM] Tew used command ::noble | Player rights = CLERIC_DONATOR	
[4/23/23 02:02AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:05AM] Tew used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 02:09AM] Tew used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 02:14AM] Tew used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 02:32AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:33AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 02:34AM] Tew used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 02:35AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 02:36AM] Tew used command ::Home | Player rights = CLERIC_DONATOR	
[4/23/23 03:14AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:14AM] Tew used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 03:15AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 03:31AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:32AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 03:32AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 03:32AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 03:32AM] Tew used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 03:33AM] Tew used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 03:33AM] Tew used command ::voteobss | Player rights = CLERIC_DONATOR	
[4/23/23 03:34AM] Tew used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 03:35AM] Tew used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 03:38AM] Tew used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/23/23 03:47AM] Tew used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:04AM] Tew used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:05AM] Tew used command ::vigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:06AM] Tew used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:06AM] Tew used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:30AM] Tew used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 04:32AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:34AM] Tew used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 04:36AM] Tew used command ::Home | Player rights = CLERIC_DONATOR	
[4/23/23 05:04AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 05:05AM] Tew used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:19AM] Tew used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:34AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 05:35AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 05:37AM] Tew used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 05:37AM] Tew used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 05:46AM] Tew used command ::Dr | Player rights = CLERIC_DONATOR	
[4/23/23 06:02AM] Tew used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 06:02AM] Tew used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 06:02AM] Tew used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 06:04AM] Tew used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 06:05AM] Tew used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 06:10AM] Tew used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 06:17AM] Tew used command ::upgrade | Player rights = TORMENTED_DONATOR	
[4/23/23 06:34AM] Tew used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 07:02AM] Tew used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 07:02AM] Tew used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 07:03AM] Tew used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 07:04AM] Tew used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 07:05AM] Tew used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 07:05AM] Tew used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 07:11AM] Tew used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 07:12AM] Tew used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 07:14AM] Tew used command ::Help | Player rights = TORMENTED_DONATOR	
[4/23/23 07:58AM] Tew used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/23/23 08:04AM] Tew used command ::wordboss | Player rights = TORMENTED_DONATOR	
[4/23/23 08:04AM] Tew used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 08:04AM] Tew used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 08:04AM] Tew used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 08:05AM] Tew used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 08:05AM] Tew used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/23/23 08:05AM] Tew used command ::golden | Player rights = TORMENTED_DONATOR	
[4/23/23 08:06AM] Tew used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 08:18AM] Tew used command ::hide | Player rights = TORMENTED_DONATOR	
[4/23/23 08:18AM] Tew used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 08:21AM] Tew used command ::Store | Player rights = TORMENTED_DONATOR	
[4/23/23 08:22AM] Tew used command ::dr | Player rights = TORMENTED_DONATOR	
[4/23/23 09:04AM] Tew used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 09:05AM] Tew used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/23/23 09:26AM] Tew used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/23/23 09:31AM] Tew used command ::wzone | Player rights = TORMENTED_DONATOR	
[4/23/23 09:32AM] Tew used command ::dzone | Player rights = TORMENTED_DONATOR	
[4/23/23 09:32AM] Tew used command ::donate | Player rights = TORMENTED_DONATOR	
[4/23/23 10:24AM] Tew used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 11:24AM] Tew used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/23/23 11:27AM] Tew used command ::bank | Player rights = TORMENTED_DONATOR	
[4/23/23 11:47AM] Tew used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/23/23 11:51AM] Tew used command ::yellowzone | Player rights = TORMENTED_DONATOR	
