[4/15/23 12:37PM] Edvinas used command ::home | Player rights = PLAYER	
[4/15/23 02:02PM] Edvinas used command ::vboss | Player rights = PLAYER	
[4/15/23 02:03PM] Edvinas used command ::home | Player rights = PLAYER	
[4/15/23 02:05PM] Edvinas used command ::bank | Player rights = PLAYER	
[4/15/23 02:09PM] Edvinas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:09PM] Edvinas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:10PM] Edvinas used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:11PM] Edvinas used command ::yell someone donate to well | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:23PM] Edvinas used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Edvinas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Edvinas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Edvinas used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:59PM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:08PM] Edvinas used command ::kills | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:11PM] Edvinas used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:17PM] Edvinas used command ::reffer | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:17PM] Edvinas used command ::walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:18PM] Edvinas used command ::ref walkchaos | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:19PM] Edvinas used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:26PM] Edvinas used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:33PM] Edvinas used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:34PM] Edvinas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:34PM] Edvinas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:35PM] Edvinas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:35PM] Edvinas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:36PM] Edvinas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:41PM] Edvinas used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:58PM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:14PM] Edvinas used command ::dr | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:48PM] Edvinas used command ::ref | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:48PM] Edvinas used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 04:49PM] Edvinas used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:00PM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 05:05PM] Edvinas used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:36PM] Edvinas used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:58AM] Edvinas used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:18AM] Edvinas used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:19AM] Edvinas used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:19AM] Edvinas used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:23AM] Edvinas used command ::donate | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:23AM] Edvinas used command ::rewards | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:23AM] Edvinas used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:45AM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:45AM] Edvinas used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:47AM] Edvinas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Edvinas used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:48AM] Edvinas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:49AM] Edvinas used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:53AM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:57AM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:00AM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:11AM] Edvinas used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:11AM] Edvinas used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:14AM] Edvinas used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:18AM] Edvinas used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:23AM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:25AM] Edvinas used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:26AM] Edvinas used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:27AM] Edvinas used command ::rewards 1 all | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:28AM] Edvinas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:29AM] Edvinas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:29AM] Edvinas used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:31AM] Edvinas used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:53AM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:56AM] Edvinas used command ::prestige | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:56AM] Edvinas used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 05:57AM] Edvinas used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:15AM] Edvinas used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:23AM] Edvinas used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:32AM] Edvinas used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 06:53AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:25AM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 07:29AM] Edvinas used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 08:33AM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:35AM] Edvinas used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 08:35AM] Edvinas used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/16/23 08:36AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:38AM] Edvinas used command ::raid | Player rights = CLERIC_DONATOR	
[4/16/23 08:53AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:55AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:05AM] Edvinas used command ::vbos | Player rights = CLERIC_DONATOR	
[4/16/23 09:05AM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:14AM] Edvinas used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:23AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:24AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:39AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:42AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:44AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:46AM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 09:47AM] Edvinas used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 09:49AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 09:53AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:54AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:54AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 09:58AM] Edvinas used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 10:01AM] Edvinas used command ::yell Biggest sale in my POS! | Player rights = CLERIC_DONATOR	
[4/16/23 10:13AM] Edvinas used command ::rewards 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 10:15AM] Edvinas used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:16AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 10:29AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 10:43AM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 04:40AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 04:42AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 05:10AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:12AM] Edvinas used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 05:13AM] Edvinas used command ::rewards 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 05:39AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 05:41AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 05:42AM] Edvinas used command ::mureum | Player rights = CLERIC_DONATOR	
[4/17/23 05:42AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 05:43AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 07:22AM] Edvinas used command ::itemstats | Player rights = CLERIC_DONATOR	
[4/17/23 07:22AM] Edvinas used command ::itemstats @rokas | Player rights = CLERIC_DONATOR	
[4/17/23 07:22AM] Edvinas used command ::itemstats @Rokas | Player rights = CLERIC_DONATOR	
[4/17/23 08:08AM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 08:14AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:28AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 08:38AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:39AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:41AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 08:42AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:11AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:29AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:32AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:33AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:34AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:35AM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:36AM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 10:36AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 10:59AM] Edvinas used command ::ref fpk merk big gains | Player rights = CLERIC_DONATOR	
[4/17/23 10:59AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:02AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:03AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Edvinas used command ::rewards 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 11:04AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:05AM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:09AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:09AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:10AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:24AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:32AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:33AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 11:36AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:52AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 11:53AM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 11:53AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 11:54AM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 11:55AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 11:56AM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:00PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:02PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:04PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:08PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:09PM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:11PM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:19PM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:24PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:26PM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:41PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:42PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 12:48PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:12PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 01:21PM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 01:23PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 01:32PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 01:33PM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 01:34PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:35PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 01:41PM] Edvinas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 01:45PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:47PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 01:51PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 01:56PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 01:57PM] Edvinas used command ::hoe | Player rights = CLERIC_DONATOR	
[4/17/23 01:57PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 01:58PM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 02:02PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:03PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:15PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 02:24PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 02:27PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:31PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:32PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 02:33PM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 02:34PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:35PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:46PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 02:51PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:53PM] Edvinas used command ::rewards 1 all | Player rights = CLERIC_DONATOR	
[4/17/23 02:58PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 02:59PM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/17/23 03:01PM] Edvinas used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 03:01PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:02PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:03PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:06PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 03:09PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:10PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 03:11PM] Edvinas used command ::taks | Player rights = CLERIC_DONATOR	
[4/17/23 03:11PM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/17/23 03:29PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:32PM] Edvinas used command ::veihar | Player rights = CLERIC_DONATOR	
[4/17/23 03:32PM] Edvinas used command ::vegar | Player rights = CLERIC_DONATOR	
[4/17/23 03:32PM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:43PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 03:47PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 04:19PM] Edvinas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 04:20PM] Edvinas used command ::perk | Player rights = CLERIC_DONATOR	
[4/17/23 04:20PM] Edvinas used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 04:20PM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 04:20PM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:45AM] Edvinas used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 01:46AM] Edvinas used command ::rewards 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 01:46AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:57AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 01:59AM] Edvinas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 02:01AM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 02:04AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:11AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:16AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:17AM] Edvinas used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 02:39AM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Edvinas used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:44AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 02:46AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:50AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:08AM] Edvinas used command ::tasks | Player rights = CLERIC_DONATOR	
[4/18/23 03:10AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 03:11AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:12AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 03:19AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:39AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:18AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:20AM] Edvinas used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 04:39AM] Edvinas used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 04:40AM] Edvinas used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 04:42AM] Edvinas used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 04:43AM] Edvinas used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 04:44AM] Edvinas used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 04:45AM] Edvinas used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 04:52AM] Edvinas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 04:55AM] Edvinas used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 05:00AM] Edvinas used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:11AM] Edvinas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:11AM] Edvinas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:11AM] Edvinas used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:13AM] Edvinas used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:14AM] Edvinas used command ::pos | Player rights = TORMENTED_DONATOR	
