[4/15/23 02:06AM] Ao used command ::starter | Player rights = PLAYER	
[4/15/23 01:29PM] Ao used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 01:30PM] Ao used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 01:36PM] Ao used command ::Store | Player rights = CLERIC_DONATOR	
[4/15/23 01:40PM] Ao used command ::claim | Player rights = CLERIC_DONATOR	
[4/15/23 01:41PM] Ao used command ::tzone | Player rights = TORMENTED_DONATOR	
[4/15/23 01:58PM] Ao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/15/23 02:02PM] Ao used command ::vboss  | Player rights = TORMENTED_DONATOR	
[4/15/23 02:05PM] Ao used command ::::bank | Player rights = TORMENTED_DONATOR	
[4/15/23 02:05PM] Ao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/15/23 02:05PM] Ao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/15/23 02:29PM] Ao used command ::veigart | Player rights = TORMENTED_DONATOR	
[4/15/23 02:29PM] Ao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/15/23 02:29PM] Ao used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/15/23 02:29PM] Ao used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/15/23 03:03PM] Ao used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/15/23 04:21PM] Ao used command ::bank | Player rights = TORMENTED_DONATOR	
[4/15/23 04:31PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 04:31PM] Ao used command ::ninetails | Player rights = HELPER	
[4/15/23 04:33PM] Ao used command ::meruem | Player rights = HELPER	
[4/15/23 04:47PM] Ao used command ::vote | Player rights = HELPER	
[4/15/23 04:48PM] Ao used command ::reward 1 all | Player rights = HELPER	
[4/15/23 04:59PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 05:28PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 05:29PM] Ao used command ::ninetails | Player rights = HELPER	
[4/15/23 05:58PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 06:24PM] Ao used command ::bank | Player rights = HELPER	
[4/15/23 06:29PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 06:30PM] Ao used command ::ninetails | Player rights = HELPER	
[4/15/23 06:31PM] Ao used command ::meruem | Player rights = HELPER	
[4/15/23 06:32PM] Ao used command ::golden | Player rights = HELPER	
[4/15/23 06:41PM] Ao used command ::bank | Player rights = HELPER	
[4/15/23 06:59PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 07:02PM] Ao used command ::ref | Player rights = HELPER	
[4/15/23 07:03PM] Ao used command ::teleto mike | Player rights = HELPER	
[4/15/23 07:04PM] Ao used command ::pos | Player rights = HELPER	
[4/15/23 07:14PM] Ao used command ::pos | Player rights = HELPER	
[4/15/23 07:19PM] Ao used command ::pos | Player rights = HELPER	
[4/15/23 07:29PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 07:30PM] Ao used command ::ninetails | Player rights = HELPER	
[4/15/23 07:36PM] Ao used command ::bank | Player rights = HELPER	
[4/15/23 07:50PM] Ao used command ::voteboss | Player rights = HELPER	
[4/15/23 07:52PM] Ao used command ::voteboss | Player rights = HELPER	
[4/15/23 07:57PM] Ao used command ::pos | Player rights = HELPER	
[4/15/23 07:59PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 08:00PM] Ao used command ::pos | Player rights = HELPER	
[4/15/23 08:03PM] Ao used command ::staffzone | Player rights = HELPER	
[4/15/23 08:04PM] Ao used command ::czone | Player rights = HELPER	
[4/15/23 08:04PM] Ao used command ::ezone | Player rights = HELPER	
[4/15/23 08:04PM] Ao used command ::szone | Player rights = HELPER	
[4/15/23 08:04PM] Ao used command ::home | Player rights = HELPER	
[4/15/23 08:25PM] Ao used command ::bank | Player rights = HELPER	
[4/15/23 08:29PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 08:30PM] Ao used command ::ninetails | Player rights = HELPER	
[4/15/23 08:32PM] Ao used command ::meruem | Player rights = HELPER	
[4/15/23 08:59PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 09:01PM] Ao used command ::afk | Player rights = HELPER	
[4/15/23 09:01PM] Ao used command ::teleto marble | Player rights = HELPER	
[4/15/23 09:29PM] Ao used command ::veigar | Player rights = HELPER	
[4/15/23 09:30PM] Ao used command ::ninetails | Player rights = HELPER	
[4/15/23 09:31PM] Ao used command ::golden | Player rights = HELPER	
[4/16/23 01:21AM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 01:24AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 01:25AM] Ao used command ::veifar | Player rights = HELPER	
[4/16/23 01:25AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 01:27AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 01:28AM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 01:30AM] Ao used command ::meruem | Player rights = HELPER	
[4/16/23 01:32AM] Ao used command ::home | Player rights = HELPER	
[4/16/23 01:33AM] Ao used command ::teleto you | Player rights = HELPER	
[4/16/23 01:34AM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 01:35AM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 01:54AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 01:55AM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 01:55AM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 01:57AM] Ao used command ::vote | Player rights = HELPER	
[4/16/23 02:05AM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 02:23AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 02:25AM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 02:26AM] Ao used command ::golden | Player rights = HELPER	
[4/16/23 02:30AM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 02:48AM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 02:53AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 03:23AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 03:25AM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 03:26AM] Ao used command ::meruem | Player rights = HELPER	
[4/16/23 03:30AM] Ao used command ::vboss | Player rights = HELPER	
[4/16/23 03:42AM] Ao used command ::vote | Player rights = HELPER	
[4/16/23 09:39AM] Ao used command ::teletome Marble | Player rights = HELPER	
[4/16/23 09:40AM] Ao used command ::meruem | Player rights = HELPER	
[4/16/23 09:41AM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 09:42AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 09:44AM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 09:45AM] Ao used command ::golden | Player rights = HELPER	
[4/16/23 09:47AM] Ao used command ::voteboss | Player rights = HELPER	
[4/16/23 09:49AM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 09:49AM] Ao used command ::meruem | Player rights = HELPER	
[4/16/23 09:53AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 10:00AM] Ao used command ::Staffzone | Player rights = HELPER	
[4/16/23 10:02AM] Ao used command ::vote | Player rights = HELPER	
[4/16/23 10:04AM] Ao used command ::home | Player rights = HELPER	
[4/16/23 10:04AM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 10:23AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 10:23AM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 10:25AM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 10:33AM] Ao used command ::reward 1 all | Player rights = HELPER	
[4/16/23 10:53AM] Ao used command ::Veigar | Player rights = HELPER	
[4/16/23 11:23AM] Ao used command ::Veigar | Player rights = HELPER	
[4/16/23 11:24AM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 11:24AM] Ao used command ::meruem | Player rights = HELPER	
[4/16/23 11:25AM] Ao used command ::golden | Player rights = HELPER	
[4/16/23 11:30AM] Ao used command ::voteboss | Player rights = HELPER	
[4/16/23 11:53AM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 11:55AM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 12:23PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 12:23PM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 12:24PM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 12:53PM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 01:33PM] Ao used command ::Szone | Player rights = HELPER	
[4/16/23 01:33PM] Ao used command ::tzone | Player rights = HELPER	
[4/16/23 01:33PM] Ao used command ::hzone | Player rights = HELPER	
[4/16/23 01:33PM] Ao used command ::rzone | Player rights = HELPER	
[4/16/23 01:35PM] Ao used command ::ozone | Player rights = HELPER	
[4/16/23 01:35PM] Ao used command ::dzone | Player rights = HELPER	
[4/16/23 01:36PM] Ao used command ::pzone | Player rights = HELPER	
[4/16/23 01:36PM] Ao used command ::azone | Player rights = HELPER	
[4/16/23 01:36PM] Ao used command ::qzone | Player rights = HELPER	
[4/16/23 01:37PM] Ao used command ::gzone | Player rights = HELPER	
[4/16/23 01:37PM] Ao used command ::fzone | Player rights = HELPER	
[4/16/23 01:37PM] Ao used command ::lzone | Player rights = HELPER	
[4/16/23 01:37PM] Ao used command ::mzone | Player rights = HELPER	
[4/16/23 01:37PM] Ao used command ::zzone | Player rights = HELPER	
[4/16/23 01:37PM] Ao used command ::qzone | Player rights = HELPER	
[4/16/23 01:37PM] Ao used command ::wzone | Player rights = HELPER	
[4/16/23 01:37PM] Ao used command ::ezone | Player rights = HELPER	
[4/16/23 01:41PM] Ao used command ::rzone/owner cape and t2 prayer pot :P | Player rights = HELPER	
[4/16/23 01:44PM] Ao used command ::ents | Player rights = HELPER	
[4/16/23 03:27PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 03:29PM] Ao used command ::meruem | Player rights = HELPER	
[4/16/23 03:32PM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 03:35PM] Ao used command ::claim | Player rights = HELPER	
[4/16/23 03:45PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 03:49PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 04:20PM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 04:47PM] Ao used command ::vboss | Player rights = HELPER	
[4/16/23 04:54PM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 04:59PM] Ao used command ::vboss | Player rights = HELPER	
[4/16/23 05:02PM] Ao used command ::reward 1 all | Player rights = HELPER	
[4/16/23 05:04PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 05:50PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 05:52PM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 05:54PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 06:04PM] Ao used command ::jipy | Player rights = HELPER	
[4/16/23 06:12PM] Ao used command ::teleto atz | Player rights = HELPER	
[4/16/23 06:12PM] Ao used command ::jail atz | Player rights = HELPER	
[4/16/23 06:13PM] Ao used command ::jail | Player rights = HELPER	
[4/16/23 06:13PM] Ao used command ::kick atz | Player rights = HELPER	
[4/16/23 06:23PM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 06:25PM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 06:28PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 06:29PM] Ao used command ::bank | Player rights = HELPER	
[4/16/23 06:53PM] Ao used command ::veigar | Player rights = HELPER	
[4/16/23 07:03PM] Ao used command ::teleto ruthie | Player rights = HELPER	
[4/16/23 07:05PM] Ao used command ::teleto ruthie | Player rights = HELPER	
[4/16/23 08:28PM] Ao used command ::home | Player rights = HELPER	
[4/16/23 08:30PM] Ao used command ::teleto me Ruthie | Player rights = HELPER	
[4/16/23 08:30PM] Ao used command ::teletome Ruthie | Player rights = HELPER	
[4/16/23 08:53PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 08:54PM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 08:54PM] Ao used command ::meruem | Player rights = HELPER	
[4/16/23 08:56PM] Ao used command ::golden | Player rights = HELPER	
[4/16/23 08:57PM] Ao used command ::vboss | Player rights = HELPER	
[4/16/23 09:40PM] Ao used command ::Veigar | Player rights = HELPER	
[4/16/23 09:41PM] Ao used command ::ninetails | Player rights = HELPER	
[4/16/23 09:42PM] Ao used command ::meruem | Player rights = HELPER	
[4/16/23 09:43PM] Ao used command ::golden | Player rights = HELPER	
[4/16/23 09:44PM] Ao used command ::pos | Player rights = HELPER	
[4/16/23 09:45PM] Ao used command ::vboss | Player rights = HELPER	
[4/16/23 10:08PM] Ao used command ::reward 1 | Player rights = HELPER	
[4/16/23 10:08PM] Ao used command ::reward 1 | Player rights = HELPER	
[4/16/23 10:09PM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 05:45AM] Ao used command ::vboss | Player rights = HELPER	
[4/17/23 05:53AM] Ao used command ::pos | Player rights = HELPER	
[4/17/23 06:09AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 06:41AM] Ao used command ::ninetails | Player rights = HELPER	
[4/17/23 06:41AM] Ao used command ::golden | Player rights = HELPER	
[4/17/23 07:05AM] Ao used command ::pos | Player rights = HELPER	
[4/17/23 07:07AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 07:09AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 07:10AM] Ao used command ::pos | Player rights = HELPER	
[4/17/23 07:11AM] Ao used command ::home | Player rights = HELPER	
[4/17/23 07:29AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 07:29AM] Ao used command ::pos | Player rights = HELPER	
[4/17/23 07:34AM] Ao used command ::home | Player rights = HELPER	
[4/17/23 07:34AM] Ao used command ::teleto like my peep | Player rights = HELPER	
[4/17/23 07:34AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 07:39AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 07:40AM] Ao used command ::ninetails | Player rights = HELPER	
[4/17/23 07:41AM] Ao used command ::meruem | Player rights = HELPER	
[4/17/23 07:45AM] Ao used command ::Szone | Player rights = HELPER	
[4/17/23 08:07AM] Ao used command ::voterboss | Player rights = HELPER	
[4/17/23 08:07AM] Ao used command ::voteboss | Player rights = HELPER	
[4/17/23 08:10AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 08:13AM] Ao used command ::pos | Player rights = HELPER	
[4/17/23 08:13AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 08:13AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 08:14AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 08:17AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 08:17AM] Ao used command ::teleto dc ftw | Player rights = HELPER	
[4/17/23 08:33AM] Ao used command ::teleto like my peeps | Player rights = HELPER	
[4/17/23 08:39AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 08:40AM] Ao used command ::ninetails | Player rights = HELPER	
[4/17/23 08:42AM] Ao used command ::pos | Player rights = HELPER	
[4/17/23 08:47AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 08:47AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 08:49AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 08:49AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 08:54AM] Ao used command ::yell buying $20 paying 20k per $ | Player rights = HELPER	
[4/17/23 09:08AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 09:08AM] Ao used command ::pos | Player rights = HELPER	
[4/17/23 09:09AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 09:09AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 09:09AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 09:25AM] Ao used command ::teleto bulba | Player rights = HELPER	
[4/17/23 09:32AM] Ao used command ::pos | Player rights = HELPER	
[4/17/23 09:39AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 09:39AM] Ao used command ::home | Player rights = HELPER	
[4/17/23 09:40AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 09:42AM] Ao used command ::ninetails | Player rights = HELPER	
[4/17/23 09:44AM] Ao used command ::meruem | Player rights = HELPER	
[4/17/23 09:45AM] Ao used command ::golden | Player rights = HELPER	
[4/17/23 09:49AM] Ao used command ::teleto the chins | Player rights = HELPER	
[4/17/23 09:50AM] Ao used command ::teleto dc ftw | Player rights = HELPER	
[4/17/23 09:53AM] Ao used command ::teleto alex | Player rights = HELPER	
[4/17/23 10:02AM] Ao used command ::checkbank oblivion | Player rights = HELPER	
[4/17/23 10:02AM] Ao used command ::checkinv you | Player rights = HELPER	
[4/17/23 10:02AM] Ao used command ::checkbank you | Player rights = HELPER	
[4/17/23 10:06AM] Ao used command ::pos | Player rights = HELPER	
[4/17/23 10:07AM] Ao used command ::teleto netflix | Player rights = HELPER	
[4/17/23 10:29AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 10:33AM] Ao used command ::ninetails | Player rights = HELPER	
[4/17/23 10:34AM] Ao used command ::meruem | Player rights = HELPER	
[4/17/23 10:35AM] Ao used command ::golden | Player rights = HELPER	
[4/17/23 10:36AM] Ao used command ::staffzone | Player rights = HELPER	
[4/17/23 10:43AM] Ao used command ::goto oblivion | Player rights = HELPER	
[4/17/23 10:44AM] Ao used command ::teleto oblivion | Player rights = HELPER	
[4/17/23 10:46AM] Ao used command ::fpk | Player rights = HELPER	
[4/17/23 10:57AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 10:57AM] Ao used command ::bank | Player rights = HELPER	
[4/17/23 11:01AM] Ao used command ::checkalt fosters | Player rights = HELPER	
[4/17/23 11:02AM] Ao used command ::checkalt foster | Player rights = HELPER	
[4/17/23 11:02AM] Ao used command ::checkalt Ao | Player rights = HELPER	
[4/17/23 11:02AM] Ao used command ::checkalt entropy | Player rights = HELPER	
[4/17/23 11:02AM] Ao used command ::veigar | Player rights = HELPER	
[4/17/23 11:03AM] Ao used command ::meruem | Player rights = HELPER	
[4/17/23 11:04AM] Ao used command ::ninetails | Player rights = HELPER	
[4/17/23 11:04AM] Ao used command ::checkalt frikadel | Player rights = HELPER	
[4/17/23 11:05AM] Ao used command ::golden | Player rights = HELPER	
[4/17/23 11:06AM] Ao used command ::checkalt nexthokage | Player rights = HELPER	
[4/17/23 11:07AM] Ao used command ::checkalt elcf | Player rights = HELPER	
[4/17/23 11:08AM] Ao used command ::meruem | Player rights = HELPER	
[4/17/23 11:11AM] Ao used command ::checkalt razvy | Player rights = HELPER	
[4/17/23 11:11AM] Ao used command ::checkalt pokker | Player rights = HELPER	
[4/17/23 11:13AM] Ao used command ::checkalt aaron | Player rights = HELPER	
[4/17/23 11:13AM] Ao used command ::checkalt bothersome | Player rights = HELPER	
[4/17/23 11:14AM] Ao used command ::checkalt iampk3r | Player rights = HELPER	
[4/17/23 11:16AM] Ao used command ::home | Player rights = HELPER	
[4/17/23 11:16AM] Ao used command ::checkalt mr pokley | Player rights = HELPER	
[4/17/23 11:17AM] Ao used command ::checkalt divine | Player rights = HELPER	
[4/17/23 11:18AM] Ao used command ::checkalt pinpinabcd | Player rights = HELPER	
[4/17/23 11:18AM] Ao used command ::checkalt anchor | Player rights = HELPER	
[4/17/23 11:19AM] Ao used command ::checkalt 2147m | Player rights = HELPER	
[4/17/23 11:20AM] Ao used command ::checkalt chevette | Player rights = HELPER	
[4/17/23 11:21AM] Ao used command ::checkalt winter | Player rights = HELPER	
[4/17/23 11:21AM] Ao used command ::checkalt edvines | Player rights = HELPER	
[4/17/23 11:21AM] Ao used command ::checkalt edvinas | Player rights = HELPER	
