[4/15/23 06:34AM] Ruthie used command ::vote | Player rights = PLAYER	
[4/15/23 09:21AM] Ruthie used command ::Reward 2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:21AM] Ruthie used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:22AM] Ruthie used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:56AM] Ruthie used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:56AM] Ruthie used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:57AM] Ruthie used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:59AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:04AM] Ruthie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:18PM] Ruthie used command ::train | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:19PM] Ruthie used command ::Starter | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:22PM] Ruthie used command ::Ref | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:28PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:31PM] Ruthie used command ::monsters | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:52PM] Ruthie used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:52PM] Ruthie used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:55PM] Ruthie used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/15/23 06:59PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:08PM] Ruthie used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:08PM] Ruthie used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:08PM] Ruthie used command ::starters | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:08PM] Ruthie used command ::Starter | Player rights = GRACEFUL_DONATOR	
[4/15/23 07:58PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:00PM] Ruthie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:01PM] Ruthie used command ::train2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:28PM] Ruthie used command ::veiga | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:29PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:40PM] Ruthie used command ::yell gz | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:40PM] Ruthie used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:45PM] Ruthie used command ::veigar:: | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:45PM] Ruthie used command ::Reward 2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:45PM] Ruthie used command ::Reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:45PM] Ruthie used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:45PM] Ruthie used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:45PM] Ruthie used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:46PM] Ruthie used command ::reward 2 | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:46PM] Ruthie used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:53PM] Ruthie used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:53PM] Ruthie used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:53PM] Ruthie used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:58PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 08:59PM] Ruthie used command ::yell 1 vote for sale pm | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:28PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:30PM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:31PM] Ruthie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 09:55PM] Ruthie used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:28PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Ruthie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:29PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:30PM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:31PM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:32PM] Ruthie used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:32PM] Ruthie used command ::mereum | Player rights = GRACEFUL_DONATOR	
[4/15/23 10:32PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:05PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:08PM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:09PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:10PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:23PM] Ruthie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:23PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:25PM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:25PM] Ruthie used command ::prayers | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:25PM] Ruthie used command ::curses | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:26PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Ruthie used command ::goldlen | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:27PM] Ruthie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:34PM] Ruthie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:43PM] Ruthie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:45PM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:51PM] Ruthie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:54PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 11:54PM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:03AM] Ruthie used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:23AM] Ruthie used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:24AM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:25AM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:25AM] Ruthie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:25AM] Ruthie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:54AM] Ruthie used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:55AM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:55AM] Ruthie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 12:55AM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:08AM] Ruthie used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:16AM] Ruthie used command ::yell welcome to tarn Rsps, toxicity | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:23AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:28AM] Ruthie used command ::Yell welcome don digeo to tarn | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:34AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:34AM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:34AM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:53AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:55AM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:55AM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 01:55AM] Ruthie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:22AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:25AM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:26AM] Ruthie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:27AM] Ruthie used command ::meruemgf | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:27AM] Ruthie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:38AM] Ruthie used command ::Collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:38AM] Ruthie used command ::collection | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:53AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 02:54AM] Ruthie used command ::yell hey voyage how are u welcome to tarn rsps | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23AM] Ruthie used command ::vEIGAR | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23AM] Ruthie used command ::NNINETAILS | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23AM] Ruthie used command ::NINETAILS | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:23AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:25AM] Ruthie used command ::ninetail | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:25AM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:27AM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:27AM] Ruthie used command ::yell ::vote it up pl0x | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:30AM] Ruthie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:30AM] Ruthie used command ::Yell all ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:36AM] Ruthie used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:39AM] Ruthie used command ::yell voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:45AM] Ruthie used command ::yell feel free if u need help, pm me | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:53AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:53AM] Ruthie used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:56AM] Ruthie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:56AM] Ruthie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:56AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 03:56AM] Ruthie used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:04AM] Ruthie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:05AM] Ruthie used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:24AM] Ruthie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:24AM] Ruthie used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:34AM] Ruthie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:43AM] Ruthie used command ::Veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 04:44AM] Ruthie used command ::yell cleric donar ::bank for me yeye | Player rights = CLERIC_DONATOR	
[4/16/23 04:44AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:44AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:44AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:44AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:44AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:45AM] Ruthie used command ::yell welcome pandra pm if u need any help or have trouble | Player rights = CLERIC_DONATOR	
[4/16/23 04:47AM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 04:48AM] Ruthie used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 04:53AM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:56AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:56AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 04:56AM] Ruthie used command ::commands | Player rights = CLERIC_DONATOR	
[4/16/23 04:57AM] Ruthie used command ::yell hi ? | Player rights = CLERIC_DONATOR	
[4/16/23 04:57AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:00AM] Ruthie used command ::yell welcome iron mike! hope u enjoy your stay at tarn | Player rights = CLERIC_DONATOR	
[4/16/23 05:01AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:01AM] Ruthie used command ::yel welcome turbz. enjoy ur time here | Player rights = CLERIC_DONATOR	
[4/16/23 05:01AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:01AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:01AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:04AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:17AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:17AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 05:23AM] Ruthie used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:25AM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:26AM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:54AM] Ruthie used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23AM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:28AM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:29AM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:30AM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:31AM] Ruthie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 06:32AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 06:32AM] Ruthie used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 06:37AM] Ruthie used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 06:37AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 06:53AM] Ruthie used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:54AM] Ruthie used command ::Claim | Player rights = CLERIC_DONATOR	
[4/16/23 06:54AM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:54AM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:54AM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:54AM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 07:07AM] Ruthie used command ::Yell welcome koresas | Player rights = CLERIC_DONATOR	
[4/16/23 07:23AM] Ruthie used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:24AM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 07:25AM] Ruthie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:43AM] Ruthie used command ::yell thanks for your tribute to the rsps i play, enjoy and gl | Player rights = CLERIC_DONATOR	
[4/16/23 07:53AM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:59AM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 10:46AM] Ruthie used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 10:53AM] Ruthie used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:54AM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:23AM] Ruthie used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 11:24AM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 11:25AM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:26AM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:27AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:30AM] Ruthie used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 11:40AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:40AM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:40AM] Ruthie used command ::commands | Player rights = CLERIC_DONATOR	
[4/16/23 11:41AM] Ruthie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/16/23 11:53AM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 11:53AM] Ruthie used command ::yell welcome pluto | Player rights = CLERIC_DONATOR	
[4/16/23 11:54AM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:03PM] Ruthie used command ::yell welcome kariko | Player rights = CLERIC_DONATOR	
[4/16/23 12:04PM] Ruthie used command ::yell welcome prey | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] Ruthie used command ::::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:24PM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:51PM] Ruthie used command ::yell veigar 1min  | Player rights = CLERIC_DONATOR	
[4/16/23 12:52PM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:53PM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 12:54PM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 12:54PM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 12:54PM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 12:57PM] Ruthie used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/16/23 12:58PM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 01:01PM] Ruthie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 04:58PM] Ruthie used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 04:59PM] Ruthie used command ::Reward 1 | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Ruthie used command ::musuerm | Player rights = CLERIC_DONATOR	
[4/16/23 06:23PM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 06:24PM] Ruthie used command ::yell save ur votes for t3 infinity prayer guys, or get t1 (60 seconds) last | Player rights = CLERIC_DONATOR	
[4/16/23 06:24PM] Ruthie used command ::yell it only last 60 seconds on t1 | Player rights = CLERIC_DONATOR	
[4/16/23 06:25PM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 06:27PM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 06:27PM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 06:29PM] Ruthie used command ::yell welcome kto | Player rights = CLERIC_DONATOR	
[4/16/23 06:45PM] Ruthie used command ::yell welcome iron lileiri gl on ironmode | Player rights = CLERIC_DONATOR	
[4/16/23 06:52PM] Ruthie used command ::veigar/ayyy nice body drop | Player rights = CLERIC_DONATOR	
[4/16/23 06:53PM] Ruthie used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:00PM] Ruthie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:01PM] Ruthie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 07:04PM] Ruthie used command ::mystics | Player rights = CLERIC_DONATOR	
[4/16/23 07:04PM] Ruthie used command ::mystic | Player rights = CLERIC_DONATOR	
[4/16/23 07:23PM] Ruthie used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:24PM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 07:25PM] Ruthie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 07:26PM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 07:27PM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 07:45PM] Ruthie used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 07:51PM] Ruthie used command ::donate | Player rights = CLERIC_DONATOR	
[4/16/23 07:53PM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 07:55PM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:06PM] Ruthie used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 08:11PM] Ruthie used command ::Veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:15PM] Ruthie used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:15PM] Ruthie used command ::goldeen | Player rights = CLERIC_DONATOR	
[4/16/23 08:15PM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:15PM] Ruthie used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:23PM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 08:25PM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:28PM] Ruthie used command ::Yell hi duhs welcome | Player rights = CLERIC_DONATOR	
[4/16/23 08:52PM] Ruthie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/16/23 08:52PM] Ruthie used command ::yell alex, the vote count got reset was at like 40. rip | Player rights = CLERIC_DONATOR	
[4/16/23 08:52PM] Ruthie used command ::home | Player rights = CLERIC_DONATOR	
[4/16/23 08:54PM] Ruthie used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 08:56PM] Ruthie used command ::yell ::golden up | Player rights = CLERIC_DONATOR	
[4/16/23 08:57PM] Ruthie used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/16/23 09:41PM] Ruthie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 09:41PM] Ruthie used command ::ninetails | Player rights = CLERIC_DONATOR	
