[4/18/23 08:34PM] Cursed used command ::train | Player rights = PLAYER	
[4/19/23 09:43AM] Cursed used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:44AM] Cursed used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:49AM] Cursed used command ::dropmessage | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:51AM] Cursed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 09:53AM] Cursed used command ::pos | Player rights = GRACEFUL_DONATOR	
[4/19/23 11:14AM] Cursed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:43PM] Cursed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 01:45PM] Cursed used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:12PM] Cursed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:13PM] Cursed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:15PM] Cursed used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:17PM] Cursed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 02:57PM] Cursed used command ::noble | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:13PM] Cursed used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:15PM] Cursed used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:16PM] Cursed used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:17PM] Cursed used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:18PM] Cursed used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:23PM] Cursed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:26PM] Cursed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:38PM] Cursed used command ::redeem 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:38PM] Cursed used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:38PM] Cursed used command ::claimvote | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:38PM] Cursed used command ::voted | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:38PM] Cursed used command ::redeem 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:38PM] Cursed used command ::redeem all 1 | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:39PM] Cursed used command ::commands | Player rights = GRACEFUL_DONATOR	
[4/19/23 03:39PM] Cursed used command ::reward 1 all | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:05PM] Cursed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:46PM] Cursed used command ::Voteboss | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:48PM] Cursed used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/19/23 04:49PM] Cursed used command ::teleport | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:23PM] Cursed used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:23PM] Cursed used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:23PM] Cursed used command ::home | Player rights = GRACEFUL_DONATOR	
[4/19/23 05:23PM] Cursed used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/19/23 06:13PM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:13PM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:14PM] Cursed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:14PM] Cursed used command ::stats | Player rights = CLERIC_DONATOR	
[4/19/23 06:15PM] Cursed used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Cursed used command ::mereum | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Cursed used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:16PM] Cursed used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:17PM] Cursed used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 06:18PM] Cursed used command ::guide | Player rights = CLERIC_DONATOR	
[4/19/23 06:18PM] Cursed used command ::guides | Player rights = CLERIC_DONATOR	
[4/19/23 06:19PM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:22PM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:25PM] Cursed used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 06:25PM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:26PM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:27PM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 06:28PM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:43AM] Cursed used command ::vote | Player rights = CLERIC_DONATOR	
[4/20/23 05:44AM] Cursed used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/20/23 05:44AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:45AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:48AM] Cursed used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 05:48AM] Cursed used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 05:50AM] Cursed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 05:53AM] Cursed used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 05:55AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 05:58AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:17AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:17AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:18AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:18AM] Cursed used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 06:19AM] Cursed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:20AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:21AM] Cursed used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 06:22AM] Cursed used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 06:27AM] Cursed used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 06:29AM] Cursed used command ::teleport | Player rights = CLERIC_DONATOR	
[4/20/23 06:29AM] Cursed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:33AM] Cursed used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 06:36AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:37AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:37AM] Cursed used command ::bank | Player rights = CLERIC_DONATOR	
[4/20/23 06:38AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:38AM] Cursed used command ::home | Player rights = CLERIC_DONATOR	
[4/20/23 06:39AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:50AM] Cursed used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 06:54AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:55AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:55AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 06:56AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 08:00AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:23AM] Cursed used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:24AM] Cursed used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/20/23 09:39AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:41AM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
[4/20/23 09:42AM] Cursed used command ::home | Player rights = CLERIC_DONATOR	
[4/21/23 01:21PM] Cursed used command ::bank | Player rights = CLERIC_DONATOR	
[4/21/23 01:21PM] Cursed used command ::pos | Player rights = CLERIC_DONATOR	
