[4/18/23 01:40PM] Wooxy used command ::refer | Player rights = PLAYER	
[4/22/23 10:32AM] Wooxy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:33AM] Wooxy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:34AM] Wooxy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:35AM] Wooxy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:37AM] Wooxy used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:38AM] Wooxy used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:39AM] Wooxy used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:41AM] Wooxy used command ::Tasks | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:53AM] Wooxy used command ::Ref nobledefeat | Player rights = GRACEFUL_DONATOR	
[4/22/23 10:59AM] Wooxy used command ::tasks | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:02AM] Wooxy used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:06AM] Wooxy used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/22/23 11:08AM] Wooxy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:08AM] Wooxy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 11:32AM] Wooxy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 11:33AM] Wooxy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 11:34AM] Wooxy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 11:34AM] Wooxy used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 11:35AM] Wooxy used command ::shops | Player rights = CLERIC_DONATOR	
[4/22/23 11:57AM] Wooxy used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 11:59AM] Wooxy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 12:00PM] Wooxy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 12:00PM] Wooxy used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 12:01PM] Wooxy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 12:04PM] Wooxy used command ::collectionlog | Player rights = CLERIC_DONATOR	
[4/22/23 12:06PM] Wooxy used command ::Yell yus ? | Player rights = CLERIC_DONATOR	
[4/22/23 12:10PM] Wooxy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 12:11PM] Wooxy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 12:13PM] Wooxy used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:25PM] Wooxy used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:32PM] Wooxy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 05:33PM] Wooxy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 05:34PM] Wooxy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 05:34PM] Wooxy used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 05:36PM] Wooxy used command ::sasuke | Player rights = CLERIC_DONATOR	
[4/22/23 05:39PM] Wooxy used command ::tasks | Player rights = CLERIC_DONATOR	
[4/22/23 05:50PM] Wooxy used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 05:50PM] Wooxy used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 05:50PM] Wooxy used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 06:02PM] Wooxy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:13PM] Wooxy used command ::npckills | Player rights = CLERIC_DONATOR	
[4/22/23 06:22PM] Wooxy used command ::tasks | Player rights = CLERIC_DONATOR	
[4/22/23 06:32PM] Wooxy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 06:34PM] Wooxy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 06:35PM] Wooxy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 06:37PM] Wooxy used command ::tasks | Player rights = CLERIC_DONATOR	
[4/23/23 02:02AM] Wooxy used command ::collectionlog | Player rights = CLERIC_DONATOR	
[4/23/23 02:02AM] Wooxy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:28AM] Wooxy used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 02:29AM] Wooxy used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/23/23 02:32AM] Wooxy used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 02:33AM] Wooxy used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 02:34AM] Wooxy used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 02:35AM] Wooxy used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 02:36AM] Wooxy used command ::Save | Player rights = CLERIC_DONATOR	
[4/23/23 02:37AM] Wooxy used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 02:58AM] Wooxy used command ::yell rip | Player rights = CLERIC_DONATOR	
[4/23/23 02:58AM] Wooxy used command ::veigar | Player rights = CLERIC_DONATOR	
