[4/20/23 05:15AM] Bright used command ::train | Player rights = PLAYER	
[4/21/23 07:23AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 07:31AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 07:33AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 07:34AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 07:48AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 07:58AM] Bright used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:02AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 08:10AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 08:30AM] Bright used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:31AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Bright used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:32AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:33AM] Bright used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:34AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 08:35AM] Bright used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 08:36AM] Bright used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 08:38AM] Bright used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:39AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 08:40AM] Bright used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 08:44AM] Bright used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 09:14AM] Bright used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:14AM] Bright used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:16AM] Bright used command ::pos | Player rights = CLERIC_DONATOR	
[4/21/23 09:20AM] Bright used command ::dr | Player rights = CLERIC_DONATOR	
[4/21/23 09:33AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 09:34AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 09:56AM] Bright used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 10:02AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:32AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 10:33AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 10:34AM] Bright used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 11:31AM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 11:33AM] Bright used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 11:35AM] Bright used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 12:02PM] Bright used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:05PM] Bright used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:11PM] Bright used command ::upgrade | Player rights = TORMENTED_DONATOR	
[4/21/23 12:13PM] Bright used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 12:13PM] Bright used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 01:02PM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:05PM] Bright used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/21/23 01:09PM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:10PM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:15PM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:17PM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 01:23PM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/21/23 01:32PM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 01:34PM] Bright used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 01:54PM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/21/23 02:03PM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:32PM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 02:33PM] Bright used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/21/23 02:34PM] Bright used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/21/23 02:35PM] Bright used command ::golden | Player rights = TORMENTED_DONATOR	
[4/21/23 02:36PM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/21/23 02:37PM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/21/23 03:02PM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 03:04PM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/21/23 03:06PM] Bright used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 01:45AM] Bright used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 01:51AM] Bright used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 02:02AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 02:03AM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 02:11AM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:21AM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:32AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 02:32AM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 02:34AM] Bright used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 02:36AM] Bright used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 02:37AM] Bright used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 02:39AM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:49AM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:50AM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 02:59AM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:02AM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:07AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 03:07AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 03:12AM] Bright used command ::store | Player rights = TORMENTED_DONATOR	
[4/22/23 03:12AM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:14AM] Bright used command ::yell what transfer crystal does? | Player rights = TORMENTED_DONATOR	
[4/22/23 03:23AM] Bright used command ::pos | Player rights = TORMENTED_DONATOR	
[4/22/23 03:33AM] Bright used command ::veigaat | Player rights = TORMENTED_DONATOR	
[4/22/23 03:33AM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 03:34AM] Bright used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 03:39AM] Bright used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 03:39AM] Bright used command ::vote | Player rights = TORMENTED_DONATOR	
[4/22/23 03:40AM] Bright used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 03:44AM] Bright used command ::bank | Player rights = TORMENTED_DONATOR	
[4/22/23 03:46AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 03:53AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 07:33AM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:33AM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Bright used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 08:34AM] Bright used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 08:37AM] Bright used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 09:54AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:55AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 09:57AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 10:01AM] Bright used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/22/23 10:02AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 10:02AM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:22AM] Bright used command ::dr | Player rights = TORMENTED_DONATOR	
[4/22/23 10:33AM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:33AM] Bright used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:34AM] Bright used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:35AM] Bright used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Bright used command ::ninetaais | Player rights = TORMENTED_DONATOR	
[4/22/23 10:37AM] Bright used command ::nintails | Player rights = TORMENTED_DONATOR	
[4/22/23 10:38AM] Bright used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/22/23 10:39AM] Bright used command ::golden | Player rights = TORMENTED_DONATOR	
[4/22/23 01:30PM] Bright used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:32PM] Bright used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:44PM] Bright used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 01:49PM] Bright used command ::wr3cked | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:03PM] Bright used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:32PM] Bright used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:35PM] Bright used command ::golden | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:40PM] Bright used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/22/23 02:44PM] Bright used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/22/23 03:03PM] Bright used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/22/23 05:42PM] Bright used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 01:49AM] Bright used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:02AM] Bright used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:06AM] Bright used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:07AM] Bright used command ::pos\ | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:07AM] Bright used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 02:19AM] Bright used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:04PM] Bright used command ::vboss | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:05PM] Bright used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:05PM] Bright used command ::meruem | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:25PM] Bright used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:25PM] Bright used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:33PM] Bright used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:35PM] Bright used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:42PM] Bright used command ::dr | Player rights = MYSTICAL_DONATOR	
[4/23/23 12:47PM] Bright used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/26/23 12:58AM] Bright used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/26/23 12:59AM] Bright used command ::bank | Player rights = MYSTICAL_DONATOR	
