[4/15/23 04:14AM] Killajeffa used command ::commands | Player rights = PLAYER	
[4/15/23 02:29PM] Killajeffa used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:29PM] Killajeffa used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:49PM] Killajeffa used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/15/23 02:58PM] Killajeffa used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:00PM] Killajeffa used command ::store | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:18PM] Killajeffa used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:25PM] Killajeffa used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] Killajeffa used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:28PM] Killajeffa used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:31PM] Killajeffa used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:33PM] Killajeffa used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/15/23 03:41PM] Killajeffa used command ::poz | Player rights = CLERIC_DONATOR	
[4/15/23 03:41PM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/15/23 03:58PM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 04:21PM] Killajeffa used command ::afk | Player rights = CLERIC_DONATOR	
[4/15/23 04:22PM] Killajeffa used command ::shops | Player rights = CLERIC_DONATOR	
[4/15/23 04:23PM] Killajeffa used command ::afk | Player rights = CLERIC_DONATOR	
[4/15/23 04:28PM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/15/23 04:29PM] Killajeffa used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/15/23 04:31PM] Killajeffa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/15/23 04:33PM] Killajeffa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/15/23 04:35PM] Killajeffa used command ::vote | Player rights = CLERIC_DONATOR	
[4/15/23 04:57PM] Killajeffa used command ::vote | Player rights = CLERIC_DONATOR	
[4/15/23 04:58PM] Killajeffa used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/15/23 04:58PM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:48AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 01:53AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 01:53AM] Killajeffa used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 02:23AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 02:25AM] Killajeffa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 02:26AM] Killajeffa used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 02:40AM] Killajeffa used command ::tasks | Player rights = CLERIC_DONATOR	
[4/16/23 02:50AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] Killajeffa used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] Killajeffa used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 02:53AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:20PM] Killajeffa used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/16/23 03:21PM] Killajeffa used command ::vote | Player rights = CLERIC_DONATOR	
[4/16/23 03:22PM] Killajeffa used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Killajeffa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 03:23PM] Killajeffa used command ::dropon | Player rights = CLERIC_DONATOR	
[4/16/23 03:24PM] Killajeffa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:29PM] Killajeffa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 03:46PM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 03:53PM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:23PM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 04:24PM] Killajeffa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 04:53PM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:02PM] Killajeffa used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:06PM] Killajeffa used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/16/23 05:22PM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Killajeffa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/16/23 05:24PM] Killajeffa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/16/23 05:25PM] Killajeffa used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 06:10AM] Killajeffa used command ::vote | Player rights = CLERIC_DONATOR	
[4/17/23 06:11AM] Killajeffa used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 06:11AM] Killajeffa used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/17/23 06:39AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Killajeffa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 06:41AM] Killajeffa used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 07:09AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:17AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 07:18AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 07:39AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 07:40AM] Killajeffa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 07:41AM] Killajeffa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 07:49AM] Killajeffa used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 07:49AM] Killajeffa used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 08:07AM] Killajeffa used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 08:10AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:20AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 08:39AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 08:40AM] Killajeffa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 07:58AM] Killajeffa used command ::altar | Player rights = CLERIC_DONATOR	
[4/22/23 08:03AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:05AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:17AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:19AM] Killajeffa used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 08:19AM] Killajeffa used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 08:19AM] Killajeffa used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 08:20AM] Killajeffa used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/22/23 08:22AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:23AM] Killajeffa used command ::bank | Player rights = CLERIC_DONATOR	
[4/22/23 08:26AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:30AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:32AM] Killajeffa used command ::veigar | Player rights = CLERIC_DONATOR	
[4/22/23 08:32AM] Killajeffa used command ::vote | Player rights = CLERIC_DONATOR	
[4/22/23 08:32AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:33AM] Killajeffa used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Killajeffa used command ::meruem | Player rights = CLERIC_DONATOR	
[4/22/23 08:34AM] Killajeffa used command ::golden | Player rights = CLERIC_DONATOR	
[4/22/23 08:35AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:37AM] Killajeffa used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/22/23 08:39AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:39AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:44AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/22/23 08:49AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:46AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 03:49AM] Killajeffa used command ::pos | Player rights = CLERIC_DONATOR	
