[4/15/23 05:07PM] Thiago used command ::Train | Player rights = PLAYER	
[4/17/23 03:32PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 03:33PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 03:39PM] Thiago used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 03:54PM] Thiago used command ::totem | Player rights = CLERIC_DONATOR	
[4/17/23 04:02PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:08PM] Thiago used command ::perks | Player rights = CLERIC_DONATOR	
[4/17/23 09:27PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:56PM] Thiago used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 09:58PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:28PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:35PM] Thiago used command ::save | Player rights = CLERIC_DONATOR	
[4/17/23 10:41PM] Thiago used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:42PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 10:43PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 10:44PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 10:45PM] Thiago used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 10:46PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 10:46PM] Thiago used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:52PM] Thiago used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 10:58PM] Thiago used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:10PM] Thiago used command ::pos | Player rights = CLERIC_DONATOR	
[4/17/23 11:11PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:11PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:14PM] Thiago used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 10:15PM] Thiago used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 10:17PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 10:39PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:40PM] Thiago used command ::nnetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:40PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:45PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:46PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:48PM] Thiago used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 09:03PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:05PM] Thiago used command ::vote | Player rights = CLERIC_DONATOR	
[4/23/23 09:06PM] Thiago used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/23/23 09:06PM] Thiago used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/23/23 09:06PM] Thiago used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/23/23 09:06PM] Thiago used command ::reward 1 1 | Player rights = CLERIC_DONATOR	
[4/23/23 09:15PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/23/23 09:31PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 09:33PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 09:34PM] Thiago used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 09:43PM] Thiago used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 09:43PM] Thiago used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 09:43PM] Thiago used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 10:01PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:31PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 10:33PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 10:35PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 10:39PM] Thiago used command ::totem | Player rights = CLERIC_DONATOR	
[4/23/23 11:01PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:31PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:33PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 11:40PM] Thiago used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 11:41PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/24/23 12:01AM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 12:03AM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 12:31AM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 12:33AM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 12:34AM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 12:36AM] Thiago used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 02:29PM] Thiago used command ::totem | Player rights = CLERIC_DONATOR	
[4/25/23 02:31PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 02:32PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 02:39PM] Thiago used command ::noble | Player rights = CLERIC_DONATOR	
[4/25/23 03:01PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 03:04PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 03:07PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 03:31PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 03:32PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 03:34PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 03:48PM] Thiago used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/25/23 03:54PM] Thiago used command ::wr3cked | Player rights = CLERIC_DONATOR	
[4/25/23 04:01PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:15PM] Thiago used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 04:31PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:32PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 04:34PM] Thiago used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 04:40PM] Thiago used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 04:59PM] Thiago used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 05:00PM] Thiago used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/25/23 05:01PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 05:20PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 05:23PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 05:31PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 05:32PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 05:34PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 05:55PM] Thiago used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/25/23 06:01PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 06:49PM] Thiago used command ::store | Player rights = CLERIC_DONATOR	
[4/25/23 07:01PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 07:17PM] Thiago used command ::bank | Player rights = CLERIC_DONATOR	
[4/25/23 07:17PM] Thiago used command ::home | Player rights = CLERIC_DONATOR	
[4/25/23 07:19PM] Thiago used command ::totem | Player rights = CLERIC_DONATOR	
[4/25/23 07:27PM] Thiago used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 07:28PM] Thiago used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 07:31PM] Thiago used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 07:32PM] Thiago used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 07:34PM] Thiago used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 07:35PM] Thiago used command ::golden | Player rights = CLERIC_DONATOR	
