[4/16/23 05:53AM] Trobi used command ::slayer imperial minigyn | Player rights = PLAYER	
[4/18/23 12:11PM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:33AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 09:43AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 09:54AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 10:02AM] Trobi used command ::yell how do i even get drops from npcs | Player rights = CLERIC_DONATOR	
[4/19/23 10:03AM] Trobi used command ::yell not even gotten 1 drop after getting my rev gear | Player rights = CLERIC_DONATOR	
[4/19/23 10:06AM] Trobi used command ::task | Player rights = CLERIC_DONATOR	
[4/19/23 10:06AM] Trobi used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 10:06AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 10:13AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:15AM] Trobi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 10:19AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 10:20AM] Trobi used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 10:40AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 10:43AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 10:53AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 10:54AM] Trobi used command ::yell where is kuradel slayer task?? | Player rights = CLERIC_DONATOR	
[4/19/23 10:56AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/19/23 11:02AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 10:16AM] Trobi used command ::slayer | Player rights = CLERIC_DONATOR	
[4/20/23 10:19AM] Trobi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:20AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:21AM] Trobi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:24AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:27AM] Trobi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:30AM] Trobi used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:34AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:38AM] Trobi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/20/23 10:42AM] Trobi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/20/23 10:45AM] Trobi used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:46AM] Trobi used command ::golden | Player rights = CLERIC_DONATOR	
[4/20/23 10:47AM] Trobi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/20/23 10:49AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:32AM] Trobi used command ::yellowzone::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:32AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 12:34AM] Trobi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 12:36AM] Trobi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 12:37AM] Trobi used command ::vote | Player rights = CLERIC_DONATOR	
[4/21/23 12:39AM] Trobi used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/21/23 12:39AM] Trobi used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/21/23 12:43AM] Trobi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 12:49AM] Trobi used command ::claim | Player rights = CLERIC_DONATOR	
[4/21/23 01:03AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 01:14AM] Trobi used command ::skilling | Player rights = CLERIC_DONATOR	
[4/21/23 01:14AM] Trobi used command ::skiller | Player rights = CLERIC_DONATOR	
[4/21/23 01:54AM] Trobi used command ::collection | Player rights = CLERIC_DONATOR	
[4/21/23 01:55AM] Trobi used command ::collection | Player rights = CLERIC_DONATOR	
[4/21/23 02:03AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:17AM] Trobi used command ::tasks | Player rights = CLERIC_DONATOR	
[4/21/23 02:18AM] Trobi used command ::tasks | Player rights = CLERIC_DONATOR	
[4/21/23 02:20AM] Trobi used command ::afk | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Trobi used command ::vboss | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Trobi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Trobi used command ::golden | Player rights = CLERIC_DONATOR	
[4/21/23 02:29AM] Trobi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:32AM] Trobi used command ::tasks | Player rights = CLERIC_DONATOR	
[4/21/23 02:32AM] Trobi used command ::veigar | Player rights = CLERIC_DONATOR	
[4/21/23 02:34AM] Trobi used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/21/23 02:37AM] Trobi used command ::meruem | Player rights = CLERIC_DONATOR	
[4/21/23 02:39AM] Trobi used command ::golden | Player rights = CLERIC_DONATOR	
