[4/23/23 12:43AM] Alcoholic used command ::reffer wr3ckedyou | Player rights = PLAYER	
[4/23/23 02:57AM] Alcoholic used command ::veigar | Player rights = PLAYER	
[4/23/23 03:13AM] Alcoholic used command ::ninetails | Player rights = PLAYER	
[4/23/23 03:13AM] Alcoholic used command ::ninetails | Player rights = PLAYER	
[4/23/23 03:14AM] Alcoholic used command ::mereum | Player rights = PLAYER	
[4/23/23 03:14AM] Alcoholic used command ::meruem | Player rights = PLAYER	
[4/23/23 03:14AM] Alcoholic used command ::golden | Player rights = PLAYER	
[4/23/23 03:31AM] Alcoholic used command ::veigar | Player rights = PLAYER	
[4/23/23 03:31AM] Alcoholic used command ::ninetails | Player rights = PLAYER	
[4/23/23 03:32AM] Alcoholic used command ::meruem | Player rights = PLAYER	
[4/23/23 03:32AM] Alcoholic used command ::meruem | Player rights = PLAYER	
[4/23/23 03:33AM] Alcoholic used command ::golden | Player rights = PLAYER	
[4/23/23 03:34AM] Alcoholic used command ::vboss | Player rights = PLAYER	
[4/23/23 03:39AM] Alcoholic used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:39AM] Alcoholic used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:39AM] Alcoholic used command ::claim | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:40AM] Alcoholic used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:41AM] Alcoholic used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:44AM] Alcoholic used command ::bank | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:05AM] Alcoholic used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:05AM] Alcoholic used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:06AM] Alcoholic used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:06AM] Alcoholic used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:07AM] Alcoholic used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:31AM] Alcoholic used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:34AM] Alcoholic used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:41AM] Alcoholic used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:41AM] Alcoholic used command ::reward 1 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 04:45AM] Alcoholic used command ::totem | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:04AM] Alcoholic used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:05AM] Alcoholic used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/23/23 05:34AM] Alcoholic used command ::veigar | Player rights = GRACEFUL_DONATOR	
<<<<<<< Updated upstream
[4/26/23 01:30AM] Alcoholic used command ::bank | Player rights = CLERIC_DONATOR	
[4/26/23 01:30AM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/26/23 02:11AM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 02:13AM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 02:18AM] Alcoholic used command ::raids | Player rights = CLERIC_DONATOR	
[4/26/23 02:19AM] Alcoholic used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 02:20AM] Alcoholic used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 02:20AM] Alcoholic used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 02:20AM] Alcoholic used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 02:20AM] Alcoholic used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 02:20AM] Alcoholic used command ::elo | Player rights = CLERIC_DONATOR	
[4/26/23 02:20AM] Alcoholic used command ::elo | Player rights = CLERIC_DONATOR	
=======
[4/23/23 02:45PM] Alcoholic used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:45PM] Alcoholic used command ::vote | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:46PM] Alcoholic used command ::reward 1  | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:46PM] Alcoholic used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:46PM] Alcoholic used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:46PM] Alcoholic used command ::reward 1 | Player rights = GRACEFUL_DONATOR	
[4/23/23 02:52PM] Alcoholic used command ::vboss | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:01PM] Alcoholic used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/23/23 03:07PM] Alcoholic used command ::benefits | Player rights = CLERIC_DONATOR	
[4/23/23 03:31PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 03:31PM] Alcoholic used command ::bank | Player rights = CLERIC_DONATOR	
[4/23/23 03:32PM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 03:33PM] Alcoholic used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 04:01PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:13PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:14PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:22PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:26PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:28PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:31PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 04:32PM] Alcoholic used command ::muruem | Player rights = CLERIC_DONATOR	
[4/23/23 04:32PM] Alcoholic used command ::meurem | Player rights = CLERIC_DONATOR	
[4/23/23 04:32PM] Alcoholic used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 04:32PM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 04:33PM] Alcoholic used command ::meruem | Player rights = CLERIC_DONATOR	
[4/23/23 04:34PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:35PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:52PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 04:54PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/23/23 05:01PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 05:02PM] Alcoholic used command ::dr | Player rights = CLERIC_DONATOR	
[4/23/23 05:03PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 01:53AM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 02:01AM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:04AM] Alcoholic used command ::tiers | Player rights = CLERIC_DONATOR	
[4/24/23 02:05AM] Alcoholic used command ::collection | Player rights = CLERIC_DONATOR	
[4/24/23 02:08AM] Alcoholic used command ::vote | Player rights = CLERIC_DONATOR	
[4/24/23 02:08AM] Alcoholic used command ::vboss | Player rights = CLERIC_DONATOR	
[4/24/23 02:09AM] Alcoholic used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/24/23 02:12AM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 02:16AM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 02:24AM] Alcoholic used command ::zones | Player rights = CLERIC_DONATOR	
[4/24/23 02:27AM] Alcoholic used command ::zones | Player rights = CLERIC_DONATOR	
[4/24/23 02:31AM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 02:32AM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 02:34AM] Alcoholic used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 02:37AM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 03:27AM] Alcoholic used command ::veigat | Player rights = CLERIC_DONATOR	
[4/24/23 03:27AM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 03:33AM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 03:35AM] Alcoholic used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 03:35AM] Alcoholic used command ::golden | Player rights = CLERIC_DONATOR	
[4/24/23 03:54PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 04:01PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 04:21PM] Alcoholic used command ::totem | Player rights = CLERIC_DONATOR	
[4/24/23 04:31PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 04:32PM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/24/23 04:34PM] Alcoholic used command ::meruem | Player rights = CLERIC_DONATOR	
[4/24/23 04:35PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 04:36PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 04:43PM] Alcoholic used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/24/23 04:54PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 04:54PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 04:59PM] Alcoholic used command ::oozau | Player rights = CLERIC_DONATOR	
[4/24/23 05:01PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/24/23 05:01PM] Alcoholic used command ::bank | Player rights = CLERIC_DONATOR	
[4/24/23 05:06PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/24/23 05:16PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:48AM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 02:44AM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:31PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 01:32PM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 01:33PM] Alcoholic used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 01:34PM] Alcoholic used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 01:35PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 01:48PM] Alcoholic used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 02:01PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 02:31PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 02:32PM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 02:34PM] Alcoholic used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 02:35PM] Alcoholic used command ::noble | Player rights = CLERIC_DONATOR	
[4/25/23 03:01PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 03:03PM] Alcoholic used command ::vote | Player rights = CLERIC_DONATOR	
[4/25/23 03:03PM] Alcoholic used command ::claimvotes | Player rights = CLERIC_DONATOR	
[4/25/23 03:03PM] Alcoholic used command ::claimvote | Player rights = CLERIC_DONATOR	
[4/25/23 03:04PM] Alcoholic used command ::vboss | Player rights = CLERIC_DONATOR	
[4/25/23 03:30PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 03:32PM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 03:34PM] Alcoholic used command ::meruem | Player rights = CLERIC_DONATOR	
[4/25/23 03:35PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 03:36PM] Alcoholic used command ::golden | Player rights = CLERIC_DONATOR	
[4/25/23 03:39PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 03:42PM] Alcoholic used command ::donate | Player rights = CLERIC_DONATOR	
[4/25/23 03:48PM] Alcoholic used command ::wr3ckedyou | Player rights = CLERIC_DONATOR	
[4/25/23 03:48PM] Alcoholic used command ::w3rcked | Player rights = CLERIC_DONATOR	
[4/25/23 04:01PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:03PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 04:04PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 04:07PM] Alcoholic used command ::pos | Player rights = CLERIC_DONATOR	
[4/25/23 04:29PM] Alcoholic used command ::veigar | Player rights = CLERIC_DONATOR	
[4/25/23 04:32PM] Alcoholic used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/25/23 04:34PM] Alcoholic used command ::golden | Player rights = CLERIC_DONATOR	
>>>>>>> Stashed changes
