[4/17/23 09:52AM] Cookie used command ::Vote | Player rights = PLAYER	
[4/17/23 11:29AM] Cookie used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:32AM] Cookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Cookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Cookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:33AM] Cookie used command ::iron | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:34AM] Cookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:40AM] Cookie used command ::upgrade | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:40AM] Cookie used command ::upgrades | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:48AM] Cookie used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:48AM] Cookie used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:49AM] Cookie used command ::yell noob | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:52AM] Cookie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:53AM] Cookie used command ::home | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:54AM] Cookie used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Cookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:55AM] Cookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:56AM] Cookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 11:57AM] Cookie used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:01PM] Cookie used command ::minigames | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:02PM] Cookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Cookie used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:09PM] Cookie used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Cookie used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Cookie used command ::maxhit | Player rights = GRACEFUL_DONATOR	
[4/17/23 12:11PM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 12:12PM] Cookie used command ::home | Player rights = CLERIC_DONATOR	
[4/17/23 12:13PM] Cookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:14PM] Cookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:15PM] Cookie used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:16PM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:17PM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:18PM] Cookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/17/23 12:32PM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Cookie used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/17/23 12:33PM] Cookie used command ::mereum | Player rights = CLERIC_DONATOR	
[4/17/23 12:37PM] Cookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/17/23 12:37PM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 12:39PM] Cookie used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/17/23 12:43PM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/17/23 12:44PM] Cookie used command ::hidetext | Player rights = CLERIC_DONATOR	
[4/17/23 12:44PM] Cookie used command ::displayhide | Player rights = CLERIC_DONATOR	
[4/17/23 12:44PM] Cookie used command ::commands | Player rights = CLERIC_DONATOR	
[4/17/23 12:45PM] Cookie used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/17/23 01:02PM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:15AM] Cookie used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 02:17AM] Cookie used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 02:17AM] Cookie used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 02:20AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 02:20AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 02:26AM] Cookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 02:29AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 02:29AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 02:29AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 02:34AM] Cookie used command ::commands | Player rights = CLERIC_DONATOR	
[4/18/23 02:34AM] Cookie used command ::checkdaily | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Cookie used command ::afk | Player rights = CLERIC_DONATOR	
[4/18/23 02:40AM] Cookie used command ::commands | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Cookie used command ::rewards | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Cookie used command ::perks | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Cookie used command ::commands | Player rights = CLERIC_DONATOR	
[4/18/23 02:41AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42AM] Cookie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/18/23 02:43AM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:49AM] Cookie used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 02:56AM] Cookie used command ::totem | Player rights = CLERIC_DONATOR	
[4/18/23 03:06AM] Cookie used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 03:11AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:14AM] Cookie used command ::discord | Player rights = CLERIC_DONATOR	
[4/18/23 03:14AM] Cookie used command ::pos | Player rights = CLERIC_DONATOR	
[4/18/23 03:40AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 03:40AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 03:40AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 03:41AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 03:42AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 03:47AM] Cookie used command ::guide | Player rights = CLERIC_DONATOR	
[4/18/23 03:48AM] Cookie used command ::guides | Player rights = CLERIC_DONATOR	
[4/18/23 03:52AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 05:29AM] Cookie used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 05:30AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 05:35AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 05:41AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 05:42AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 05:51AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 05:51AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 05:59AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 06:07AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 06:08AM] Cookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 06:11AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:16AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 06:19AM] Cookie used command ::elo | Player rights = CLERIC_DONATOR	
[4/18/23 06:19AM] Cookie used command ::mh | Player rights = CLERIC_DONATOR	
[4/18/23 06:19AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 06:23AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 06:26AM] Cookie used command ::voteboss | Player rights = CLERIC_DONATOR	
[4/18/23 06:31AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 06:31AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 06:41AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 06:42AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 06:43AM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 06:54AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 07:11AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:29AM] Cookie used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 07:41AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 07:42AM] Cookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 07:43AM] Cookie used command ::home | Player rights = CLERIC_DONATOR	
[4/18/23 07:50AM] Cookie used command ::donate | Player rights = CLERIC_DONATOR	
[4/18/23 07:53AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 08:12AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:21AM] Cookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 08:21AM] Cookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/18/23 08:41AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 08:42AM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:26AM] Cookie used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 10:31AM] Cookie used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 10:32AM] Cookie used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Cookie used command ::ninetials | Player rights = CLERIC_DONATOR	
[4/18/23 10:41AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 10:42AM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 10:42AM] Cookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/18/23 11:02AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 11:11AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:16AM] Cookie used command ::iron | Player rights = CLERIC_DONATOR	
[4/18/23 11:26AM] Cookie used command ::kills | Player rights = CLERIC_DONATOR	
[4/18/23 11:26AM] Cookie used command ::kills | Player rights = CLERIC_DONATOR	
[4/18/23 11:29AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 11:41AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:33PM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/18/23 02:34PM] Cookie used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/18/23 02:36PM] Cookie used command ::vote | Player rights = CLERIC_DONATOR	
[4/18/23 02:37PM] Cookie used command ::reward 1  all | Player rights = CLERIC_DONATOR	
[4/18/23 02:37PM] Cookie used command ::reward 1 | Player rights = CLERIC_DONATOR	
[4/18/23 02:40PM] Cookie used command ::collections | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Cookie used command ::collections | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Cookie used command ::collecttions | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/18/23 02:41PM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/18/23 02:42PM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/18/23 02:46PM] Cookie used command ::dzone | Player rights = CLERIC_DONATOR	
[4/18/23 02:46PM] Cookie used command ::ozone | Player rights = CLERIC_DONATOR	
[4/18/23 02:48PM] Cookie used command ::Vboss | Player rights = CLERIC_DONATOR	
[4/19/23 01:05AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:27AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 06:28AM] Cookie used command ::Dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 06:31AM] Cookie used command ::NINETAILS | Player rights = CLERIC_DONATOR	
[4/19/23 06:32AM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Cookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Cookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 06:35AM] Cookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 06:40AM] Cookie used command ::daily | Player rights = CLERIC_DONATOR	
[4/19/23 06:41AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 06:44AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 06:49AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 06:53AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 06:59AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 07:00AM] Cookie used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:02AM] Cookie used command ::Tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:02AM] Cookie used command ::tasks | Player rights = CLERIC_DONATOR	
[4/19/23 07:03AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 07:15AM] Cookie used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Cookie used command ::reward 1 al | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Cookie used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/19/23 07:21AM] Cookie used command ::vboss | Player rights = CLERIC_DONATOR	
[4/19/23 07:23AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:24AM] Cookie used command ::hide | Player rights = CLERIC_DONATOR	
[4/19/23 07:25AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:35AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 07:40AM] Cookie used command ::poss | Player rights = CLERIC_DONATOR	
[4/19/23 07:40AM] Cookie used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:40AM] Cookie used command :::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:40AM] Cookie used command ::pos | Player rights = CLERIC_DONATOR	
[4/19/23 07:40AM] Cookie used command ::ref | Player rights = CLERIC_DONATOR	
[4/19/23 07:43AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 07:48AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 07:50AM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 07:52AM] Cookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 07:52AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 07:54AM] Cookie used command ::home | Player rights = CLERIC_DONATOR	
[4/19/23 07:57AM] Cookie used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 08:02AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:13AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:16AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:24AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:24AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:25AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:25AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:26AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:27AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:30AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:45AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:46AM] Cookie used command ::veigar | Player rights = CLERIC_DONATOR	
[4/19/23 08:46AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 08:47AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 08:49AM] Cookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 08:56AM] Cookie used command ::Voteboss | Player rights = CLERIC_DONATOR	
[4/19/23 08:59AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 09:03AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 09:05AM] Cookie used command ::bank | Player rights = CLERIC_DONATOR	
[4/19/23 09:09AM] Cookie used command ::vigor | Player rights = CLERIC_DONATOR	
[4/19/23 09:09AM] Cookie used command ::viger | Player rights = CLERIC_DONATOR	
[4/19/23 09:14AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 09:14AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 09:14AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 09:15AM] Cookie used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/19/23 09:15AM] Cookie used command ::dropoff | Player rights = CLERIC_DONATOR	
[4/19/23 09:16AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 09:16AM] Cookie used command ::meruem | Player rights = CLERIC_DONATOR	
[4/19/23 09:18AM] Cookie used command ::golden | Player rights = CLERIC_DONATOR	
[4/19/23 09:18AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 09:19AM] Cookie used command ::maxhit | Player rights = CLERIC_DONATOR	
[4/19/23 09:19AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:20AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:20AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:21AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 09:21AM] Cookie used command ::Dropoff | Player rights = TORMENTED_DONATOR	
[4/19/23 09:23AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:32AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:33AM] Cookie used command ::Dropoff | Player rights = TORMENTED_DONATOR	
[4/19/23 09:33AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 09:33AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 09:33AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 09:34AM] Cookie used command ::zone | Player rights = TORMENTED_DONATOR	
[4/19/23 09:34AM] Cookie used command ::dzone | Player rights = TORMENTED_DONATOR	
[4/19/23 09:34AM] Cookie used command ::Rubyzone | Player rights = TORMENTED_DONATOR	
[4/19/23 09:34AM] Cookie used command ::rzone | Player rights = TORMENTED_DONATOR	
[4/19/23 09:37AM] Cookie used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 09:39AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:43AM] Cookie used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 09:46AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:50AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 09:59AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 09:59AM] Cookie used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/19/23 10:10AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:13AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:13AM] Cookie used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:15AM] Cookie used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 10:18AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 10:18AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 10:18AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 10:19AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 10:20AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:20AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:20AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:21AM] Cookie used command ::perks | Player rights = TORMENTED_DONATOR	
[4/19/23 10:23AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:24AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:24AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 10:36AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:43AM] Cookie used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:46AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:46AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:47AM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:55AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 10:55AM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 11:00AM] Cookie used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/19/23 11:13AM] Cookie used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 11:15AM] Cookie used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 11:16AM] Cookie used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 01:09PM] Cookie used command ::dropoff | Player rights = TORMENTED_DONATOR	
[4/19/23 01:12PM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:12PM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:13PM] Cookie used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 01:13PM] Cookie used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] Cookie used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:15PM] Cookie used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 01:19PM] Cookie used command ::Vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:22PM] Cookie used command ::vboss | Player rights = TORMENTED_DONATOR	
[4/19/23 01:35PM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 01:35PM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 01:43PM] Cookie used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:45PM] Cookie used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:48PM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
[4/19/23 01:48PM] Cookie used command ::maxhit | Player rights = TORMENTED_DONATOR	
