[4/15/23 03:41PM] Loot used command ::ref | Player rights = PLAYER	
[4/16/23 09:11AM] Loot used command ::hideplayers | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:17AM] Loot used command ::switchmagic | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:17AM] Loot used command ::ancients | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:17AM] Loot used command ::varrock | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:17AM] Loot used command ::oldhome | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:17AM] Loot used command ::newhome | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:17AM] Loot used command ::Dr | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:18AM] Loot used command ::home | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:18AM] Loot used command ::skill | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Loot used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:23AM] Loot used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:24AM] Loot used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:25AM] Loot used command ::globals | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:38AM] Loot used command ::players | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:39AM] Loot used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:41AM] Loot used command ::veigar | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:44AM] Loot used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Loot used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:45AM] Loot used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:46AM] Loot used command ::golden | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:47AM] Loot used command ::voteboss | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:48AM] Loot used command ::npc tarnrsps2023 | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:48AM] Loot used command ::npc tarnrsps2023 | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Loot used command ::ninetails | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:49AM] Loot used command ::meruem | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:50AM] Loot used command ::mohh | Player rights = GRACEFUL_DONATOR	
[4/16/23 09:53AM] Loot used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:05AM] Loot used command ::::czone | Player rights = CLERIC_DONATOR	
[4/16/23 10:05AM] Loot used command ::cleric | Player rights = CLERIC_DONATOR	
[4/16/23 10:05AM] Loot used command ::dzone | Player rights = CLERIC_DONATOR	
[4/16/23 10:05AM] Loot used command ::donatorzone# | Player rights = CLERIC_DONATOR	
[4/16/23 10:05AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:06AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:06AM] Loot used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:06AM] Loot used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:08AM] Loot used command ::pos | Player rights = CLERIC_DONATOR	
[4/16/23 10:09AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:09AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:09AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:09AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:09AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:09AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:09AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:09AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:09AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 10:10AM] Loot used command ::getloot | Player rights = CLERIC_DONATOR	
[4/16/23 10:10AM] Loot used command ::perks | Player rights = CLERIC_DONATOR	
[4/16/23 10:10AM] Loot used command ::::dr | Player rights = CLERIC_DONATOR	
[4/16/23 10:10AM] Loot used command ::dr | Player rights = CLERIC_DONATOR	
[4/16/23 10:23AM] Loot used command ::veigar | Player rights = CLERIC_DONATOR	
[4/16/23 10:25AM] Loot used command ::golden | Player rights = CLERIC_DONATOR	
[4/16/23 11:03AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 11:58AM] Loot used command ::bank | Player rights = CLERIC_DONATOR	
[4/16/23 12:03PM] Loot used command ::pickup 293 1 | Player rights = CLERIC_DONATOR	
[4/16/23 12:03PM] Loot used command ::giveitem 12334 1 | Player rights = CLERIC_DONATOR	
[4/16/23 12:03PM] Loot used command ::getitem 3494 1 | Player rights = CLERIC_DONATOR	
[4/16/23 12:03PM] Loot used command ::maxed | Player rights = CLERIC_DONATOR	
[4/16/23 12:41PM] Loot used command ::zones | Player rights = PLAYER	
[4/16/23 12:41PM] Loot used command ::bank | Player rights = PLAYER	
[4/16/23 12:41PM] Loot used command ::npc  | Player rights = PLAYER	
[4/16/23 12:41PM] Loot used command ::bank | Player rights = PLAYER	
[4/16/23 12:41PM] Loot used command ::home | Player rights = PLAYER	
[4/16/23 12:41PM] Loot used command ::auth  | Player rights = PLAYER	
[4/16/23 12:41PM] Loot used command ::auth  | Player rights = PLAYER	
[4/16/23 12:41PM] Loot used command ::auth 91929 | Player rights = PLAYER	
[4/16/23 12:44PM] Loot used command ::ref | Player rights = PLAYER	
[4/16/23 12:47PM] Loot used command ::home | Player rights = PLAYER	
[4/16/23 12:47PM] Loot used command ::auth  | Player rights = PLAYER	
[4/16/23 12:47PM] Loot used command ::zones | Player rights = PLAYER	
[4/16/23 12:47PM] Loot used command ::bank | Player rights = PLAYER	
[4/16/23 12:47PM] Loot used command ::npc ,. | Player rights = PLAYER	
[4/16/23 12:47PM] Loot used command ::home | Player rights = PLAYER	
[4/16/23 12:47PM] Loot used command ::teleport | Player rights = PLAYER	
[4/16/23 12:47PM] Loot used command ::upgrade | Player rights = PLAYER	
[4/16/23 12:47PM] Loot used command ::pos | Player rights = PLAYER	
[4/18/23 12:53PM] Loot used command ::checkbank alt | Player rights = PLAYER	
[4/18/23 12:53PM] Loot used command ::checkbank | Player rights = PLAYER	
[4/18/23 12:53PM] Loot used command ::checkbank | Player rights = PLAYER	
[4/18/23 12:54PM] Loot used command ::checkbank | Player rights = PLAYER	
[4/18/23 04:00PM] Loot used command ::stats | Player rights = PLAYER	
[4/18/23 04:00PM] Loot used command ::compare | Player rights = PLAYER	
[4/18/23 04:00PM] Loot used command ::stats | Player rights = PLAYER	
[4/18/23 04:00PM] Loot used command ::bis | Player rights = PLAYER	
[4/18/23 04:01PM] Loot used command ::commands | Player rights = PLAYER	
[4/18/23 04:01PM] Loot used command ::checkdaily | Player rights = PLAYER	
[4/18/23 04:01PM] Loot used command ::checkdaily | Player rights = PLAYER	
[4/18/23 04:41PM] Loot used command ::vote | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] Loot used command ::viergar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 04:41PM] Loot used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42PM] Loot used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 04:42PM] Loot used command ::golden | Player rights = TORMENTED_DONATOR	
[4/18/23 04:45PM] Loot used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 04:46PM] Loot used command ::train | Player rights = TORMENTED_DONATOR	
[4/18/23 04:47PM] Loot used command ::train | Player rights = TORMENTED_DONATOR	
[4/18/23 04:47PM] Loot used command ::Train | Player rights = TORMENTED_DONATOR	
[4/18/23 04:48PM] Loot used command ::train | Player rights = TORMENTED_DONATOR	
[4/18/23 04:48PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:49PM] Loot used command ::train | Player rights = TORMENTED_DONATOR	
[4/18/23 04:49PM] Loot used command ::train | Player rights = TORMENTED_DONATOR	
[4/18/23 04:50PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:52PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:54PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 04:55PM] Loot used command ::voteboss | Player rights = TORMENTED_DONATOR	
[4/18/23 04:57PM] Loot used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 05:09PM] Loot used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 05:11PM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:32PM] Loot used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/18/23 05:34PM] Loot used command ::dr | Player rights = TORMENTED_DONATOR	
[4/18/23 05:40PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:41PM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 05:44PM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 05:46PM] Loot used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 05:46PM] Loot used command ::home | Player rights = TORMENTED_DONATOR	
[4/18/23 05:47PM] Loot used command ::killme | Player rights = TORMENTED_DONATOR	
[4/18/23 05:47PM] Loot used command ::fixme | Player rights = TORMENTED_DONATOR	
[4/18/23 05:47PM] Loot used command ::killme | Player rights = TORMENTED_DONATOR	
[4/18/23 05:47PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:47PM] Loot used command ::dissolveall | Player rights = TORMENTED_DONATOR	
[4/18/23 05:48PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:48PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:51PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 05:54PM] Loot used command ::voted | Player rights = TORMENTED_DONATOR	
[4/18/23 05:54PM] Loot used command ::reward 1 all | Player rights = TORMENTED_DONATOR	
[4/18/23 06:08PM] Loot used command ::nagendra 2 | Player rights = TORMENTED_DONATOR	
[4/18/23 06:08PM] Loot used command ::negendra2 | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11PM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:11PM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/18/23 06:12PM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/18/23 06:14PM] Loot used command ::elo | Player rights = TORMENTED_DONATOR	
[4/18/23 06:17PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:27PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:27PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:27PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/18/23 06:31PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 02:01AM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 02:03AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:04AM] Loot used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 02:05AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:06AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:07AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:07AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:08AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:08AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:09AM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 02:10AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:11AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:12AM] Loot used command ::save | Player rights = TORMENTED_DONATOR	
[4/19/23 02:12AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:13AM] Loot used command ::pickup 141 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 02:13AM] Loot used command ::item 3321 1 | Player rights = TORMENTED_DONATOR	
[4/19/23 02:15AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:16AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:16AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:17AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:18AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:20AM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 02:22AM] Loot used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:23AM] Loot used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:23AM] Loot used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:23AM] Loot used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:25AM] Loot used command ::Dr | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:27AM] Loot used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:27AM] Loot used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:27AM] Loot used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:35AM] Loot used command ::veigar | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:39AM] Loot used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:39AM] Loot used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:39AM] Loot used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:39AM] Loot used command ::pos | Player rights = MYSTICAL_DONATOR	
[4/19/23 02:43AM] Loot used command ::bank | Player rights = MYSTICAL_DONATOR	
[4/19/23 06:50AM] Loot used command ::ref | Player rights = PLAYER	
[4/19/23 06:53AM] Loot used command ::pos | Player rights = PLAYER	
[4/19/23 06:53AM] Loot used command ::veigar | Player rights = PLAYER	
[4/19/23 07:00AM] Loot used command ::pos | Player rights = PLAYER	
[4/19/23 07:01AM] Loot used command ::￰?Ze | Player rights = PLAYER	
[4/19/23 07:02AM] Loot used command ::tasks | Player rights = PLAYER	
[4/19/23 07:21AM] Loot used command ::voteboss | Player rights = PLAYER	
[4/19/23 07:44AM] Loot used command ::simulator | Player rights = PLAYER	
[4/19/23 07:44AM] Loot used command ::sim | Player rights = PLAYER	
[4/19/23 07:44AM] Loot used command ::simulator | Player rights = PLAYER	
[4/19/23 08:08AM] Loot used command ::title hi | Player rights = PLAYER	
[4/19/23 08:08AM] Loot used command ::settitle gi | Player rights = PLAYER	
[4/19/23 08:10AM] Loot used command ::staffzone | Player rights = PLAYER	
[4/19/23 08:10AM] Loot used command ::staff | Player rights = PLAYER	
[4/19/23 08:10AM] Loot used command ::afk | Player rights = PLAYER	
[4/19/23 08:10AM] Loot used command ::chill | Player rights = PLAYER	
[4/19/23 08:10AM] Loot used command ::chill | Player rights = PLAYER	
[4/19/23 08:10AM] Loot used command ::home | Player rights = PLAYER	
[4/19/23 08:10AM] Loot used command ::jail | Player rights = PLAYER	
[4/19/23 08:10AM] Loot used command ::szne | Player rights = PLAYER	
[4/19/23 08:10AM] Loot used command ::szone | Player rights = PLAYER	
[4/19/23 08:11AM] Loot used command ::peng | Player rights = PLAYER	
[4/19/23 08:11AM] Loot used command ::pen | Player rights = PLAYER	
[4/19/23 08:11AM] Loot used command ::peng | Player rights = PLAYER	
[4/19/23 08:11AM] Loot used command ::hydra | Player rights = PLAYER	
[4/19/23 08:11AM] Loot used command ::sod | Player rights = PLAYER	
[4/19/23 08:11AM] Loot used command ::sod | Player rights = PLAYER	
[4/19/23 08:12AM] Loot used command ::ref | Player rights = PLAYER	
[4/19/23 08:12AM] Loot used command ::reset | Player rights = PLAYER	
[4/19/23 08:16AM] Loot used command ::verigar | Player rights = PLAYER	
[4/19/23 08:16AM] Loot used command ::veigar | Player rights = PLAYER	
[4/19/23 08:16AM] Loot used command ::veigar | Player rights = PLAYER	
[4/19/23 08:18AM] Loot used command ::ninetails | Player rights = PLAYER	
[4/19/23 08:21AM] Loot used command ::pos | Player rights = PLAYER	
[4/19/23 08:21AM] Loot used command ::reward 1 all | Player rights = PLAYER	
[4/19/23 10:29AM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:31AM] Loot used command ::train | Player rights = TORMENTED_DONATOR	
[4/19/23 10:32AM] Loot used command ::train | Player rights = TORMENTED_DONATOR	
[4/19/23 10:34AM] Loot used command ::train | Player rights = TORMENTED_DONATOR	
[4/19/23 10:34AM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:35AM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 10:43AM] Loot used command ::dzone | Player rights = TORMENTED_DONATOR	
[4/19/23 10:43AM] Loot used command ::onyx | Player rights = TORMENTED_DONATOR	
[4/19/23 10:43AM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 10:44AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 10:47AM] Loot used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 10:47AM] Loot used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 10:47AM] Loot used command ::showdrops | Player rights = TORMENTED_DONATOR	
[4/19/23 10:47AM] Loot used command ::Dropson | Player rights = TORMENTED_DONATOR	
[4/19/23 10:47AM] Loot used command ::dropson | Player rights = TORMENTED_DONATOR	
[4/19/23 10:47AM] Loot used command ::showdrop | Player rights = TORMENTED_DONATOR	
[4/19/23 10:47AM] Loot used command ::showdrops | Player rights = TORMENTED_DONATOR	
[4/19/23 10:51AM] Loot used command ::ref | Player rights = TORMENTED_DONATOR	
[4/19/23 10:51AM] Loot used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/19/23 10:53AM] Loot used command ::fly | Player rights = TORMENTED_DONATOR	
[4/19/23 10:54AM] Loot used command ::daily | Player rights = TORMENTED_DONATOR	
[4/19/23 10:54AM] Loot used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 10:55AM] Loot used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 10:56AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 10:57AM] Loot used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 10:57AM] Loot used command ::Dr | Player rights = TORMENTED_DONATOR	
[4/19/23 11:01AM] Loot used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 11:01AM] Loot used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 11:02AM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 01:06PM] Loot used command ::wr3cked | Player rights = TORMENTED_DONATOR	
[4/19/23 01:09PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:10PM] Loot used command ::vote | Player rights = TORMENTED_DONATOR	
[4/19/23 01:11PM] Loot used command ::Reward 1 all | Player rights = TORMENTED_DONATOR	
[4/19/23 01:13PM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 01:14PM] Loot used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 01:15PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:15PM] Loot used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 01:17PM] Loot used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 01:17PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:18PM] Loot used command ::ref# | Player rights = TORMENTED_DONATOR	
[4/19/23 01:18PM] Loot used command ::ref | Player rights = TORMENTED_DONATOR	
[4/19/23 01:31PM] Loot used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 01:34PM] Loot used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 01:39PM] Loot used command ::tasks | Player rights = TORMENTED_DONATOR	
[4/19/23 01:42PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 01:53PM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:37PM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:39PM] Loot used command ::home | Player rights = TORMENTED_DONATOR	
[4/19/23 02:39PM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:43PM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 02:44PM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 02:45PM] Loot used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 02:59PM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 03:01PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 03:04PM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:05PM] Loot used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 04:07PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:07PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:07PM] Loot used command ::dr | Player rights = TORMENTED_DONATOR	
[4/19/23 04:09PM] Loot used command ::pos | Player rights = TORMENTED_DONATOR	
[4/19/23 04:11PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:14PM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:14PM] Loot used command ::veigar | Player rights = TORMENTED_DONATOR	
[4/19/23 04:15PM] Loot used command ::ninetails | Player rights = TORMENTED_DONATOR	
[4/19/23 04:15PM] Loot used command ::bank | Player rights = TORMENTED_DONATOR	
[4/19/23 04:16PM] Loot used command ::meruem | Player rights = TORMENTED_DONATOR	
[4/19/23 04:16PM] Loot used command ::golden | Player rights = TORMENTED_DONATOR	
[4/19/23 04:16PM] Loot used command ::money | Player rights = TORMENTED_DONATOR	
[4/19/23 04:17PM] Loot used command ::moneyzone | Player rights = TORMENTED_DONATOR	
