[4/22/23 05:15PM] Powers used command ::refe | Player rights = PLAYER	
[4/23/23 10:25AM] Powers used command ::veigAR | Player rights = CLERIC_DONATOR	
[4/23/23 10:31AM] Powers used command ::Yell selling inname for 3x3 | Player rights = CLERIC_DONATOR	
[4/23/23 10:53AM] Powers used command ::Yell selling $ in name for 3x3 | Player rights = CLERIC_DONATOR	
[4/23/23 11:24AM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:43AM] Powers used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/23/23 11:44AM] Powers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 11:47AM] Powers used command ::yell selling $200 in name | Player rights = CLERIC_DONATOR	
[4/23/23 11:54AM] Powers used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 11:55AM] Powers used command ::home | Player rights = CLERIC_DONATOR	
[4/23/23 11:59AM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:00PM] Powers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/23/23 12:31PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/23/23 12:32PM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/23/23 12:33PM] Powers used command ::golden | Player rights = CLERIC_DONATOR	
[4/23/23 12:34PM] Powers used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 08:06AM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 08:06AM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 08:36AM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 08:38AM] Powers used command ::ninetAILS | Player rights = CLERIC_DONATOR	
[4/26/23 08:54AM] Powers used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 09:05AM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:06AM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 09:10AM] Powers used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 09:13AM] Powers used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 09:16AM] Powers used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 09:21AM] Powers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 09:35AM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:55AM] Powers used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/26/23 10:06AM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 10:07AM] Powers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:08AM] Powers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:08AM] Powers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 10:09AM] Powers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 10:10AM] Powers used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 02:44PM] Powers used command ::youtube | Player rights = CLERIC_DONATOR	
[4/26/23 03:05PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 03:53PM] Powers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 04:00PM] Powers used command ::bank | Player rights = CLERIC_DONATOR	
[4/26/23 04:00PM] Powers used command ::bank | Player rights = CLERIC_DONATOR	
[4/26/23 04:05PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 04:08PM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 04:08PM] Powers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 04:33PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 05:04PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 05:05PM] Powers used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 05:06PM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 05:07PM] Powers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 05:08PM] Powers used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 05:33PM] Powers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/26/23 05:35PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 08:10PM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 08:35PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 08:37PM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 08:45PM] Powers used command ::Yell selling triple kill perk | Player rights = CLERIC_DONATOR	
[4/26/23 08:56PM] Powers used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 09:05PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/26/23 09:06PM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/26/23 09:08PM] Powers used command ::meruem | Player rights = CLERIC_DONATOR	
[4/26/23 09:09PM] Powers used command ::golden | Player rights = CLERIC_DONATOR	
[4/26/23 09:09PM] Powers used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 09:21PM] Powers used command ::vote | Player rights = CLERIC_DONATOR	
[4/26/23 09:25PM] Powers used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 07:13PM] Powers used command ::reward 1 all | Player rights = CLERIC_DONATOR	
[4/27/23 07:31PM] Powers used command ::youtube | Player rights = CLERIC_DONATOR	
[4/27/23 07:31PM] Powers used command ::bank | Player rights = CLERIC_DONATOR	
[4/27/23 07:35PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 08:05PM] Powers used command ::veigar | Player rights = CLERIC_DONATOR	
[4/27/23 08:07PM] Powers used command ::ninetails | Player rights = CLERIC_DONATOR	
[4/27/23 08:09PM] Powers used command ::vboss | Player rights = CLERIC_DONATOR	
[4/27/23 08:14PM] Powers used command ::Reward 1 all | Player rights = CLERIC_DONATOR	
